total_january_2016_identified_need,district
1504,21.0
476,21.0
476,22.0
2416,31.0
640,13.0
572,8.0
1040,26.0
2744,15.0
572,9.0
2057,25.0
1262,2.0
3337,20.0
1853,24.0
1397,30.0
3066,25.0
400,
5288,24.0
