pepid,inspection_id,observation,comments
47557,192636,Exemplary staff performance,"Park House attendant cleaning and disenfecting area with NBF, keeping restrooms free of homeless people, and a busy Park in great shape."
47661,193545,Other patron complaints or suggestions,Patrons suggest that the playground's exit adj. to Clove Rd. should have a gate so the kids while they are running around they tend to wander near the road.
47648,193416,Homeless persons present,at gazebo
47509,192310,Patrons feeding animals (not natural area),"Animal feeds poured on paths, tree lines and tree pits at several areas on both sides of mall."
47543,192535,Smoking/cigarette butts inside park,Male patron was smoking at lawn area west of oval at north side of park.
47556,192636,Homeless persons present,Throughout park and on sidewalks with many belongings.
47511,192196,Homeless persons present,5 Homeless persons present
47593,192835,Illegal vending,Vendors install tent on boardwalk selling food.
47645,193339,Drainage issues/standing water,large pools of water adj. to the flagpoles.
47542,192528,Unleashed or unauthorized dogs,in BBCT.
47533,192456,Smoking/cigarette butts inside park,
47571,192649,Other inspector suggestions for improving site,Suggest that construction of a Public Restroom be considered for this playground.
47631,193235,Homeless persons present,in both public restrooms.
47529,192439,Exemplary staff performance,staff was doing an excellent job removing syringes and cleaning a tough site.
47655,193449,Unleashed or unauthorized dogs,in playground.
47570,192649,Other patron complaints or suggestions,Patrons complained about unavailability of Public Restroom inside playground.
47590,192824,Unleashed or unauthorized dogs,
47581,192779,Homeless (or other) encampment,multiple in sitting area @ site
47504,192244,Drainage issues/standing water,A fountain constantly running and causing wet area near K-swings.
47566,192664,Homeless persons present,Dozens.  Some acting erratically and scaring patrons.
47638,193288,Smoking/cigarette butts inside park,Several patrons were smoking cigarette at many areas in the interior of park.
47678,193740,Unleashed or unauthorized dogs,
47651,193434,Other positive observations,Deteriorated paths paved and old benches replaced; Park greatly improved since my last visit!
47573,192700,Illegal BBQ,Charcoal found in non-designated areas.
47657,193507,Drainage issues/standing water,at sprinkler
47540,192495,Other inspector suggestions for improving site,"Given that the majority of patrons bringing small children to the park are female, inspector recommends the one changing table present be moved from the men's to the women's PR."
47679,193740,Exemplary staff performance,PR very clean! Site very well maintained overall.
47610,192989,Homeless persons present,5-10 Homeless persons present near PR area
47524,192404,Homeless persons present,of more then 10 in plgd
47606,192908,Unleashed or unauthorized dogs,in MPPA and in K-Swing.
47654,193447,Other patron complaints or suggestions,Patrons requested fencing around dog run be higher to prevent large dogs from jumping over it. Patrons requested London Plane tree at dog run be evaluated for trimming due to branches growing downward. Branches observed to be healthy by inspector.
47649,193428,Patrons feeding animals (not natural area),bread and other food left on site for pigeons.
47544,192539,Alcohol use,Beer cases around park.
47532,192456,Drug use,
47608,192957,Other inspector suggestions for improving site,Sprinkler and lack of path connectivity impede people's ability to move through the site
47640,193299,Unleashed or unauthorized dogs,in plgd equipment area.
47601,192880,Homeless persons present,
47633,193285,Other positive observations,Athletic field was being used for non-parks circus show (Universal Soul Circus Show).
47561,192658,Other patron complaints or suggestions,Patron asked to be provided with broom and dustpan to be kept on site. He wants to remove dog feces others do not clean
47647,193359,Homeless persons present,
47576,192757,Drainage issues/standing water,Pool of water on stairs inside park at south end of zone near west 116th street.
47568,192673,Other patron complaints or suggestions,Park patron complained about non-working sprinkler.
47658,193521,Illegal BBQ,Charcoal on lawn not designated for bbq.
47626,193211,Forever Wild Area: feral cat shelters/feeding,visible from trailhead opposite parking lot
47615,193087,Patrons feeding animals (not natural area),Animal feeds poured on paved surface at mall.
47574,192703,Illegal BBQ,Charcoal present in pckleball court.
47497,192219,Homeless (or other) encampment,Homeless encampment in lawn adj Mosholu Pkwy North & 206 st
47617,193128,Unleashed or unauthorized dogs,at BF #14.
47492,192225,Drone usage,Five to six people setup their remote control airplane tables at the corner of Baisley & Rockaway Blvd and flying their planes nearby on the cricket field.
47534,192458,Other patron complaints or suggestions,Patron stated she observes an individual dumping her household trash at the trash receptacle area on an ongoing basis.
47567,192664,Unleashed or unauthorized dogs,North lawn being used as dog run.
47591,192819,Drainage issues/standing water,Standing water on floor at drinking fountain adjacent to basketball court inside playground.
47596,192844,Alcohol use,Beer cases included in litter.
47505,192254,Other enforcement issues,"Unknown usage at fitness area: structure has been erected, torches affixed to equipment, and a shopping basket full of unhulled coconuts are present."
47613,193020,Other patron complaints or suggestions,Kids are using two French barriccades to climb into and out of  a fenced area behind the storage unit bulding adj. to the swings.
47506,192264,Homeless (or other) encampment,Sleeping area set up on benches.
47619,193161,Homeless (or other) encampment,Homeless encampment on lawn inside playground adjacent to Vermont Street near Linden Boulevard.
47643,193321,Illegal vehicles/dirt bikes,Vehicles being parked on GS
47531,192456,Homeless (or other) encampment,
47578,192772,Homeless persons present,
47653,193435,Exemplary staff performance,"Irina, from POP, keeping this zone and bathrooms clean.  I also met her in zone 5 the prior week and she was doing a great job."
47496,192218,Homeless persons present,Homeless persons present sleeping on bench near dog run
47548,192548,Drainage issues/standing water,large section of improper drainage from sprinkler around northern half of plgd.
47602,192901,Unleashed or unauthorized dogs,"aggressive unleashed dog in plgd equip area, owner became hostile and refused to leash pup when asked; like owner like pet."
47623,193194,Forever Wild Area: major change in water level,Walker Pond with little visible water and marsh very dry and easy to cross.
47481,192126,Alcohol use,bottles of beer found at the center piece of Park Dr.
47664,193597,Illegal vehicles/dirt bikes,parked on GS SW.
47594,192833,Illegal vehicles/dirt bikes,Parked on the grass at the picnic area on Beach Channel Dr.
47523,192404,Drug use,overall at plgd (Heavy)
47589,192809,Illegal BBQ,Coals found in north median around Utica Ave.
47488,192203,Drug use,in Lawn behind benches of 3 Men and 1 Women  at the time of inspection
47670,193679,Drainage issues/standing water,standing water btwn the PR station & the plgd.
47520,192371,Drainage issues/standing water,Flooding and vegetation in sprinkler drainage area.
47483,192124,Homeless (or other) encampment,Homeless encampment in natural area at park South of Athletic field in zone 2.
47620,193161,Amplified sound,Loun music palying at asphalt ballfield inside playground.
47490,192209,Homeless (or other) encampment,Encampment in front of the men's restroom adj. to the boardwalk.
47634,193285,Exemplary staff performance,Inspector is very impressed to see the entire site well maintained by staff members.
47669,193658,Homeless (or other) encampment,"Homeless encampment at three locations in natural areas and at overrlook, in larger section of park south of Washington bridge and west of Harem River Drive."
47560,192657,Public urination/defecation,
47622,193188,Other patron complaints or suggestions,"Sprinkler left on 24/7 for a month, multiple patrons let me know and asked if it could be turned off at night to save water."
47660,193524,Homeless persons present,
47482,192140,Homeless persons present,sleeping in swing bay area
47675,193717,Patrons feeding animals (not natural area),Animal feed poured into tree pit along 75th Avenue.
47668,193656,Homeless (or other) encampment,Tent on rock outcropping behind dog run.
47530,192455,homeless present,Patron approached me to let me know they were washing up in the sprinkler/ bathroom with multiple children present.
47639,193282,Foul odor,(urine) in gazebo
47565,192658,Other positive observations,"Patron appreciates taller height of CLF around dog run. His dog is not able to jump over it, while he is able to at other dog runs."
47510,192330,Homeless persons present,of 2 Men sleeping on benches
