_total_program,outreach_services_attendance,circulation_young_adult,juvenile_program,boro_central_library,adult_program
423.0,59.0,17308.0,260.0,Bronx,70.0
246.0,17.0,20191.0,183.0,Bronx,25.0
275.0,645.0,15379.0,206.0,Bronx,7.0
176.0,44.0,11677.0,133.0,Bronx,17.0
1291.0,3325.0,39299.0,620.0,Bronx,188.0
0.0,0.0,0.0,0.0,Bronx,0.0
0.0,0.0,0.0,0.0,Bronx,0.0
206.0,1549.0,26971.0,45.0,Bronx,74.0
489.0,983.0,8599.0,133.0,Bronx,135.0
456.0,804.0,3169.0,158.0,Bronx,110.0
391.0,137.0,20253.0,160.0,Bronx,111.0
10478.0,34710.0,304427.0,4707.0,Bronx,1884.0
356.0,890.0,19447.0,167.0,Bronx,62.0
573.0,597.0,11468.0,289.0,Bronx,120.0
826.0,740.0,14614.0,352.0,Bronx,226.0
324.0,91.0,15534.0,117.0,Bronx,94.0
533.0,4032.0,20499.0,219.0,Bronx,61.0
361.0,2189.0,20455.0,147.0,Bronx,15.0
1332.0,8151.0,75239.0,379.0,Bronx,449.0
1165.0,5097.0,21413.0,349.0,Bronx,228.0
913.0,1333.0,19222.0,545.0,Bronx,209.0
685.0,2202.0,16005.0,316.0,Bronx,84.0
221.0,233.0,12749.0,130.0,Bronx,15.0
713.0,2786.0,17760.0,318.0,Bronx,94.0
337.0,136.0,16391.0,172.0,Bronx,27.0
,,,,Bronx,
229.0,229.0,11139.0,137.0,Bronx,37.0
466.0,535.0,22494.0,308.0,Bronx,80.0
601.0,2561.0,17572.0,228.0,Bronx,142.0
1047.0,11370.0,16834.0,239.0,Bronx,246.0
508.0,1739.0,27057.0,198.0,Bronx,119.0
820.0,662.0,15661.0,361.0,Bronx,174.0
383.0,118.0,10117.0,212.0,Bronx,109.0
18887.0,61624.0,642831.0,8238.0,Bronx,3702.0
335.0,2230.0,15957.0,133.0,Bronx,35.0
402.0,1398.0,12496.0,160.0,Bronx,56.0
106.0,0.0,6060.0,61.0,Bronx,38.0
753.0,2639.0,13086.0,294.0,Bronx,78.0
686.0,2061.0,17138.0,330.0,Bronx,99.0
8409.0,26914.0,338404.0,3531.0,Bronx,1818.0
259.0,42.0,13578.0,179.0,Bronx,68.0
