young_adult_attendance,circulation,young_adult_program
1593.0,137740.0,88.0
420.0,130919.0,37.0
506.0,96776.0,44.0
201.0,86365.0,24.0
4200.0,303308.0,289.0
0.0,0.0,0.0
0.0,0.0,0.0
591.0,144788.0,47.0
1268.0,43005.0,129.0
869.0,44763.0,162.0
1733.0,171617.0,114.0
33570.0,2271969.0,2475.0
1156.0,123711.0,57.0
1796.0,110147.0,145.0
2166.0,118678.0,186.0
1828.0,102189.0,106.0
1164.0,132105.0,85.0
1066.0,162362.0,82.0
4324.0,613978.0,201.0
2450.0,150465.0,220.0
2314.0,116378.0,119.0
4341.0,101660.0,186.0
1595.0,91595.0,73.0
2044.0,117053.0,157.0
1531.0,114764.0,129.0
,,
632.0,77251.0,50.0
694.0,156827.0,44.0
2022.0,156924.0,152.0
4426.0,143075.0,307.0
1456.0,234313.0,132.0
2802.0,88286.0,256.0
413.0,138408.0,45.0
59898.0,4965597.0,4241.0
570.0,132662.0,43.0
2649.0,81522.0,139.0
42.0,70887.0,7.0
2153.0,111349.0,198.0
2380.0,120357.0,177.0
26328.0,2693628.0,1766.0
503.0,239370.0,11.0
