branch,young_adult_attendance,juvenile_attendance,circulation_adult,adult_attendance,weekly_hours_of_public_service,_reference_transactions_adult
Tremont,2802.0,5084.0,41377.0,1200.0,46.0,23257.0
Baychester,1733.0,1882.0,106265.0,1836.0,48.0,31278.0
Subtotal:,26328.0,78300.0,1391663.0,28014.0,818.0,835900.0
Bronx  Library Center,4324.0,13069.0,354231.0,15179.0,78.0,254384.0
Grand Concourse,2450.0,8976.0,77381.0,1841.0,50.0,44460.0
Wakefield,2380.0,4468.0,58124.0,2180.0,46.0,80314.0
Riverdale,413.0,3980.0,72512.0,906.0,46.0,16978.0
Kingsbridge,1066.0,2862.0,96645.0,661.0,46.0,24661.0
Clason's Point,4426.0,6150.0,54993.0,2085.0,48.0,70538.0
Subtotal:,33570.0,99367.0,1065207.0,19570.0,854.0,593341.0
Van Cortlandt,201.0,2137.0,50460.0,149.0,46.0,33605.0
Jerome Park,1828.0,2321.0,48450.0,424.0,46.0,11479.0
Woodstock,1595.0,2953.0,49258.0,148.0,46.0,16445.0
City Island,869.0,2781.0,27667.0,990.0,44.0,21190.0
Parkchester ,4200.0,16301.0,129885.0,1705.0,62.0,23738.0
High Bridge,591.0,3403.0,54853.0,693.0,46.0,36023.0
Edenwald,1156.0,3905.0,56939.0,375.0,46.0,13728.0
Bronx  Borough Office,0.0,0.0,0.0,0.0,0.0,0.0
Parkchester Network,,,,,,
Allerton,420.0,4714.0,62767.0,250.0,46.0,75595.0
Throg's Neck,1796.0,8399.0,55142.0,910.0,46.0,46514.0
Eastchester,1531.0,3235.0,59150.0,264.0,46.0,26221.0
Mosholu,1456.0,5709.0,100420.0,1259.0,46.0,47619.0
Pelham Bay,1593.0,5567.0,70993.0,399.0,46.0,36023.0
Castle Hill,632.0,2433.0,32774.0,327.0,46.0,14568.0
Van Nest ,570.0,1971.0,65998.0,327.0,46.0,35373.0
Morrisania,4341.0,5881.0,49208.0,660.0,46.0,52780.0
West Farms,1268.0,3112.0,21461.0,913.0,46.0,10465.0
Francis Martin,506.0,3805.0,43431.0,108.0,46.0,27469.0
Hunt's Point,1164.0,4415.0,63087.0,998.0,48.0,30706.0
Mott Haven ,2044.0,8952.0,51164.0,955.0,48.0,28028.0
Sedgwick,2649.0,2828.0,35981.0,406.0,46.0,18395.0
Soundview,2314.0,9849.0,49336.0,2247.0,46.0,35815.0
Westchester Square,2153.0,5398.0,43227.0,437.0,46.0,19370.0
BRONX TOTAL:,59898.0,177667.0,2456870.0,47584.0,1672.0,1429241.0
Belmont,2166.0,6792.0,61924.0,2795.0,46.0,96980.0
Melrose,694.0,6170.0,66296.0,821.0,48.0,26455.0
Subtotal:,0.0,0.0,0.0,0.0,0.0,0.0
Morris Park,2022.0,3397.0,69446.0,1980.0,48.0,61945.0
Woodlawn Heights,42.0,844.0,40387.0,282.0,46.0,12649.0
Spuyten Duyvil,503.0,3924.0,135638.0,874.0,46.0,24193.0
