_total_program,_total_attendance,_reference_transactions_young_adult,_reference_transactions,nan with branch,Bronx Library Center Network with branch,Parkchester Network with branch,Special Units with branch
713.0,14737.0,16029.0,70551.0,,,Mott Haven ,
361.0,6778.0,5694.0,37180.0,,Kingsbridge,,
423.0,7618.0,10439.0,57070.0,,,Pelham Bay,
601.0,9960.0,20215.0,107276.0,,,Morris Park,
383.0,5417.0,4654.0,25467.0,,Riverdale,,
275.0,5064.0,8112.0,47190.0,,Francis Martin,,
0.0,0.0,0.0,0.0,,,,Bronx  Borough Office
573.0,11702.0,23595.0,106041.0,,,Throg's Neck,
324.0,4664.0,7462.0,26507.0,,Jerome Park,,
1047.0,24031.0,44538.0,170781.0,,,Clason's Point,
106.0,1168.0,3159.0,23075.0,,Woodlawn Heights,,
246.0,5401.0,32253.0,145886.0,,Allerton,,
913.0,15743.0,20098.0,80730.0,,,Soundview,
259.0,5343.0,3510.0,32773.0,,Spuyten Duyvil,,
0.0,0.0,0.0,0.0,,,,Subtotal:
356.0,6326.0,11232.0,34307.0,,,Edenwald,
685.0,13084.0,15327.0,101894.0,,Morrisania,,
1291.0,25531.0,13702.0,57980.0,,,Parkchester ,
206.0,6236.0,17173.0,70187.0,,High Bridge,,
337.0,5166.0,23218.0,86671.0,,,Eastchester,
533.0,10609.0,21320.0,79079.0,,,Hunt's Point,
18887.0,346773.0,623873.0,2901678.0,BRONX TOTAL:,,,
753.0,10627.0,8138.0,38103.0,,,Westchester Square,
1165.0,18364.0,17810.0,79508.0,,Grand Concourse,,
466.0,8220.0,8827.0,48113.0,,,Melrose,
10478.0,187217.0,278450.0,1236716.0,,,Subtotal:,
686.0,11089.0,28145.0,135538.0,,,Wakefield,
229.0,3621.0,6282.0,28899.0,,,Castle Hill,
489.0,6276.0,3666.0,18226.0,,,West Farms,
826.0,12493.0,93028.0,284271.0,,Belmont,,
391.0,5588.0,7787.0,48243.0,,,Baychester,
456.0,5444.0,5265.0,41392.0,,,City Island,
176.0,2531.0,7423.0,50037.0,,Van Cortlandt,,
335.0,5098.0,16770.0,72410.0,,Van Nest ,,
402.0,7281.0,9295.0,36218.0,,Sedgwick,,
8409.0,159556.0,345423.0,1664962.0,,Subtotal:,,
820.0,9748.0,6760.0,43927.0,,Tremont,,
1332.0,40723.0,78494.0,506012.0,,Bronx  Library Center,,
221.0,4929.0,5954.0,27716.0,,,Woodstock,
,,,,,,Parkchester Network,
508.0,10163.0,18499.0,82420.0,,Mosholu,,
