ll_limits,intro_day,amendt_txt,amend_dt,limits_er,feat_type,amdyrllsec,repealed,intro_num,official_nm
the southeast corner of the intersection of Gregg Place and Walbrooke Avenue,4,,,,Corner name,,No,318,None
the intersection of Queens Boulevard and 40th Street,30,,,,Intersection name,,No,437,None
At the intersection of 3rd Avenue at East 149th Street and Melrose Avenue at East 148th Street and Willis Avenue,25,,,,Intersection name,,No,457,None
the intersection of Castle Hill Road and Watson Avenue,30,,,,Intersection name,,No,437,None
the southwest corner of the intersection of Schley Avenue and Wilcox Avenue,8,,,,Corner name,,No,342,None
Southeast corner of Crescent Street and 36th Avenue,26,,,,Intersection name,,No,289,None
On the Corner of Alexander Avenue at Ibsen Avenue,25,,,,Intersection name,,No,457,None
the southeast corner of the intersection of Hooker Place and Port Richmond Avenue,30,,,,Corner name,,No,437,None
the intersection of 7th Avenue and Poly Place,13,,,,Intersection name,,No,471,None
the southeast corner of the intersection of Oakland Avenue and Whitewood Avenue,30,,,,Corner name,,No,437,None
Underneath Bard Avenue and the Northeast corner of Walnut Street,26,,,,Intersection name,,No,289,None
Underneath the Benedict Avenue sign at the Southeast Corner of Manor Road,25,,,,Intersection name,,No,457,None
the southeast corner of the intersection of West Buchanan Street and Lafayette Avenue,8,,,,Corner name,,No,342,None
the northeast corner of the intersection of Hudson Street and Chritopher Street,13,,,,Corner name,,No,471,None
the northeast corner of the intersection of 72nd Street and 11th Avenue,13,,,,Corner name,,No,471,None
Corner of Willowbrook Road and Crafton Avenue,26,,,,Intersection name,,No,289,None
the intersection of Jerome Avenue and Olympia Boulevard,13,,,,Intersection name,,Yes,471,None
Underneath the Martling Avenue sign at the Southeast Corner of Manor Road,25,,,,Intersection name,,No,457,None
the northwest corner of the intersection of 47th Avenue and 60th Street,4,,,,Corner name,,No,318,None
the southeast corner of the intersection of Bard Avenue and Thames Avenue,4,,,,Corner name,,No,318,None
the intersection of 9th Avenue and 151st Place,13,,,,Intersection name,,No,471,None
The sign pointing west on Allerton Avenue,25,,,,Intersection name,,No,457,None
Bay 11th Street and 86th Street,26,,,,Intersection name,,No,289,None
Placed Underneath the Brabant Street Sign at the Northeast Corner of Union Avenue,25,,,,Corner name,,No,457,None
the southeast corner of the intersection of 159th Avenue and Coleman Square,13,,,,Corner name,,No,471,None
the northwest corner of the intersection of 14th Road and 118th Street,30,,,,Corner name,,Yes,437,None
the southeast corner of the intersection of Fordham Road and Walton Avenue,8,,,,Corner name,,No,342,None
the northwest corner bicycle traffic signal at the intersection of 6th Avenue and 33rd Street,8,,,,Bike lane name,,No,342,None
At the Northeast Corner of Arnow Place and Westchester Avenue,25,,,,Intersection name,,No,457,None
the southeast corner of the intersection of Hill Street and Warren Street,8,,,,Corner name,,No,342,None
the intersection of Vernon Boulevard and 51st Avenue,30,,,,Intersection name,,No,437,None
the northeast corner of the intersection of West 215th Street and Broadway,13,,,,Corner name,,Yes,471,None
the intersection of Liberty Avenue and Mason Avenue,13,,,,Intersection name,,No,471,None
Abingdon Avenue at the Northeast Corner of Augusta Avenue,25,,,,Intersection name,,No,457,None
the southeast corner of the intersection of Justin Avenue and Amboy Road,4,,,,Corner name,,No,318,None
On the Corner of Hartford Street and Nelson Avenue,25,,,,Intersection name,,No,457,None
7th Avenue and 72nd Street,26,,,,Intersection name,,Yes,289,None
the intersection of 60th Street and 6th Avenue,10,,,,Intersection name,,No,281,None
The southeast corner of the intersection of Richmond Terrace and Schuyler Street,10,,,,Corner name,,Yes,281,None
