ll_limits,the_geom,old_name,intro_month,lleffect_dt,borough,ll_type,honor_name,repeal_dt,ll_sec
the intersection of 9th Avenue and 151st Place,"{'type': 'Point', 'coordinates': [-73.81163814811583, 40.7940114771417]}",None,10,12/21/2004,Queens,Honorary,Transit Police Officer Thomas R. O'Dea Place,,34
the intersection of Liberty Avenue and Mason Avenue,"{'type': 'Point', 'coordinates': [-74.08912148057911, 40.58414256104758]}",None,10,12/21/2004,Staten Island,Honorary,Vincent S. Chiara Way,,70
Southeast corner of Kings Highway and Ocean Avenue,"{'type': 'Point', 'coordinates': [-73.95336677538256, 40.61061867139729]}",None,4,05/23/2006,Brooklyn,Honorary,Keontay Jeffrey Rosario Corner,,25
Underneath the Martling Avenue sign at the Southeast Corner of Manor Road,"{'type': 'Point', 'coordinates': [-74.1235758594278, 40.62097506440839]}",None,10,12/05/2006,Staten Island,Honorary,Vietnam Veterans Plaza,,14
the intersection of West 88th Street and West End Avenue,"{'type': 'Point', 'coordinates': [-73.9769038148244, 40.79018642955346]}",None,10,12/21/2004,Manhattan,Honorary,"Arturo ""Chico"" O'Farrill Place",,37
Corner of Buhre Avenue and Jarvis Avenue,"{'type': 'Point', 'coordinates': [-73.83052659225288, 40.847661764146714]}",None,4,05/23/2006,Bronx,Honorary,Dr. Salvatore Paul Squitieri Way,,35
the southeast corner of the intersection of Castleton Avenue and Bodine Street,"{'type': 'Point', 'coordinates': [-74.1250375167824, 40.633855705807115]}",None,3,05/05/2004,Staten Island,Honorary,John J. Bruno Way,,31
the intersection of 145th Street and Frederick Douglas Boulevard,"{'type': 'Point', 'coordinates': [-73.94191717435045, 40.822837519840554]}",None,4,06/03/2003,Manhattan,Honorary,The Claude Brown Corner,,79
the northeast corner of the intersection of Elmira Avenue and Wescott Boulevard,"{'type': 'Point', 'coordinates': [-74.12796098609986, 40.62003806348281]}",None,12,01/07/2003,Staten Island,Honorary,Firefighter Arthur T. Barry Way,,48
Northwest corner of 7th Avenue and Carroll Street,"{'type': 'Point', 'coordinates': [-73.976378333081, 40.67330104858508]}",None,4,05/23/2006,Brooklyn,Honorary,Jackie Connor's Corner,,46
Corner of Leonard and Lafayette,"{'type': 'Point', 'coordinates': [-74.00255806000587, 40.716180773180554]}",Lafayette Street,4,05/23/2006,Manhattan,Honorary,Court Officer Thomas Jurgens Corner,,44
Corner of Willowbrook Road and Crafton Avenue,"{'type': 'Point', 'coordinates': [-74.14202810303189, 40.603371838120424]}",None,4,05/23/2006,Staten Island,Honorary,Staten Island Special Olympics Coach JoAnn Young Way,,39
At the Corner of McKinley Avenue,"{'type': 'Point', 'coordinates': [-74.1399467545553, 40.5710361976212]}",Ardsley Street,10,12/05/2006,Staten Island,Honorary,Detective Richard J. DeGaetano Street,,46
the southwest corner of the intersection of 65th Street and Fort Hamilton Parkway,"{'type': 'Point', 'coordinates': [-74.0094824636782, 40.63062764335438]}",None,3,05/05/2004,Brooklyn,Honorary,Howie Zimmerman Corner,,6
On the Corner of Dawson Place and Hylan Boulevard,"{'type': 'Point', 'coordinates': [-74.08587511875717, 40.59589012095557]}",None,10,12/05/2006,Staten Island,Honorary,Paula Frassinetti Way,,32
Bay 11th Street and 86th Street,"{'type': 'Point', 'coordinates': [-74.00805105412124, 40.61052395248585]}",None,4,05/23/2006,Brooklyn,Honorary,Peter Campisi Way,,7
the intersection of 60th Street and 6th Avenue,"{'type': 'Point', 'coordinates': [-74.01396088654181, 40.638153267859636]}",None,3,05/05/2004,Brooklyn,Honorary,Sisters of St. Joseph Boulevard,,17
the intersection of Queens Boulevard and 40th Street,"{'type': 'Point', 'coordinates': [-73.9242586247588, 40.74380835031544]}",None,4,06/03/2003,Queens,Honorary,Lowery Street,,53
Placed Underneath the Brabant Street Sign at the Northeast Corner of Union Avenue,"{'type': 'Point', 'coordinates': [-74.15800317469534, 40.63149668159443]}",None,10,12/05/2006,Staten Island,Honorary,Albert Albanese Way,,55
Post Avenue at the northeast corner of Driprock Street,"{'type': 'Point', 'coordinates': [-74.12786534151245, 40.63121471104739]}",None,10,12/05/2006,Staten Island,Honorary,Alzheimer's Foundation Way,,4
the northwest corner bicycle traffic signal at the intersection of 6th Avenue and 33rd Street,"{'type': 'Point', 'coordinates': [-73.98833976573694, 40.749253627977666]}",None,1,02/18/2003,Manhattan,Honorary,J.A. Lobbia Bike Lane,,26
the intersection of 65th Drive and 75th Place,"{'type': 'Point', 'coordinates': [-73.87907396844051, 40.716274026080505]}",None,4,06/03/2003,Queens,Honorary,Dianne T. Signer Drive,,8
the southeast corner of  the intersection of Lafayette Avenue and Cortelyou Place,"{'type': 'Point', 'coordinates': [-74.09420191564828, 40.640108010726905]}",None,12,01/07/2003,Staten Island,Honorary,"Martin Giovinazzo, Jr. Way",,56
the northwest corner of the intersection of Swinnerton Street and Hylan Boulevard,"{'type': 'Point', 'coordinates': [-74.24624768356819, 40.50404540096424]}",None,10,12/21/2004,Staten Island,Honorary,Mario Nardone Jr. Street,,26
