the_geom,amended,ulurpcpnum,intro_year,ll_num
"{'type': 'Point', 'coordinates': [-73.9155805961025, 40.8698743219405]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-73.9834673989941, 40.771135766460304]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-74.02110985927439, 40.6256624804823]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-74.14587699029985, 40.61046350786536]}",No,none,2006,13
"{'type': 'Point', 'coordinates': [-74.00805105412124, 40.61052395248585]}",No,none,2006,13
"{'type': 'Point', 'coordinates': [-74.20624778108662, 40.5144151547879]}",No,none,2003,34
"{'type': 'Point', 'coordinates': [-74.00622722962295, 40.73314813738817]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-73.89042763953506, 40.87048705349471]}",No,none,2006,50
"{'type': 'Point', 'coordinates': [-74.00951152084194, 40.61140615276216]}",No,none,2004,8
"{'type': 'Point', 'coordinates': [-74.13343167301429, 40.60358140860328]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-74.01396088654181, 40.638153267859636]}",No,none,2004,8
"{'type': 'Point', 'coordinates': [-74.16228429405315, 40.60734454566131]}",No,none,2002,6
"{'type': 'Point', 'coordinates': [-73.84955097087764, 40.78482507664388]}",No,none,2003,34
"{'type': 'Point', 'coordinates': [-74.16110982464265, 40.626461923480555]}",No,none,2004,8
"{'type': 'Point', 'coordinates': [-73.86884490662348, 40.73983530049158]}",No,none,2006,50
"{'type': 'Point', 'coordinates': [-74.00255806000587, 40.716180773180554]}",No,none,2006,13
"{'type': 'Point', 'coordinates': [-74.20233797820188, 40.55591021434436]}",No,none,2006,50
"{'type': 'Point', 'coordinates': [-73.95775745966317, 40.60098588903353]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-74.14537992186155, 40.541994800944316]}",No,none,2006,50
"{'type': 'Point', 'coordinates': [-74.07704028744237, 40.6431235901161]}",No,none,2004,8
"{'type': 'Point', 'coordinates': [-73.9415470075606, 40.60758228796005]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-74.07542540929882, 40.61847832201192]}",No,none,2003,15
"{'type': 'Point', 'coordinates': [-74.11739573786295, 40.63688956785149]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-73.8410210732338, 40.78788368276277]}",No,none,2006,50
"{'type': 'Point', 'coordinates': [-74.13648353653994, 40.56524513730933]}",No,none,2006,50
"{'type': 'Point', 'coordinates': [-73.98437864166279, 40.687472015597834]}",No,none,2003,14
"{'type': 'Point', 'coordinates': [-74.15483446871642, 40.53965673640858]}",No,none,2006,50
"{'type': 'Point', 'coordinates': [-74.0094824636782, 40.63062764335438]}",No,none,2004,8
"{'type': 'Point', 'coordinates': [-74.2049945174938, 40.53649711140391]}",No,none,2003,34
"{'type': 'Point', 'coordinates': [-74.09524676552324, 40.58892992894664]}",No,none,2006,13
"{'type': 'Point', 'coordinates': [-74.19609298418584, 40.54049773651381]}",No,none,2003,34
"{'type': 'Point', 'coordinates': [-74.18356192374785, 40.61022505748416]}",No,none,2006,13
"{'type': 'Point', 'coordinates': [-74.12439980116025, 40.62296749649483]}",No,none,2006,50
"{'type': 'Point', 'coordinates': [-74.00156580216392, 40.71729902550051]}",No,none,2006,13
"{'type': 'Point', 'coordinates': [-73.90493385966674, 40.862749574224935]}",No,none,2003,34
"{'type': 'Point', 'coordinates': [-74.1339609891747, 40.63700812085413]}",No,none,2006,13
"{'type': 'Point', 'coordinates': [-74.09420191564828, 40.640108010726905]}",No,none,2002,6
"{'type': 'Point', 'coordinates': [-74.00609560875382, 40.625032909597074]}",No,none,2004,8
"{'type': 'Point', 'coordinates': [-73.90641883745477, 40.74563477474748]}",No,none,2003,34
"{'type': 'Point', 'coordinates': [-74.147942645942, 40.61700620160609]}",No,none,2004,8
"{'type': 'Point', 'coordinates': [-74.1411352522005, 40.617974240069856]}",No,none,2003,34
"{'type': 'Point', 'coordinates': [-74.10446035734029, 40.634768105136565]}",No,none,2002,6
"{'type': 'Point', 'coordinates': [-74.07980212295446, 40.64297214679958]}",No,none,2002,6
"{'type': 'Point', 'coordinates': [-73.87907396844051, 40.716274026080505]}",No,none,2003,34
"{'type': 'Point', 'coordinates': [-73.91346572216797, 40.88720661000056]}",No,none,2004,8
"{'type': 'Point', 'coordinates': [-74.15800317469534, 40.63149668159443]}",No,none,2006,50
"{'type': 'Point', 'coordinates': [-73.92444794883669, 40.86521760279241]}",No,none,2006,50
"{'type': 'Point', 'coordinates': [-73.83580970117093, 40.87597246933554]}",No,none,2006,50
"{'type': 'Point', 'coordinates': [-74.11062166401393, 40.572722110487135]}",No,none,2003,34
"{'type': 'Point', 'coordinates': [-74.16141732808592, 40.61281371452281]}",No,none,2002,6
"{'type': 'Point', 'coordinates': [-74.02478376355904, 40.60969962871469]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-74.08076030166902, 40.598610445768436]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-74.1613496168548, 40.529373423478006]}",No,none,2006,50
"{'type': 'Point', 'coordinates': [-73.9769038148244, 40.79018642955346]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-73.92432192694874, 40.62362732965937]}",No,none,2002,6
"{'type': 'Point', 'coordinates': [-73.89288992597096, 40.773807661266616]}",No,none,2006,13
"{'type': 'Point', 'coordinates': [-74.1380639379531, 40.62756847135811]}",No,none,2003,15
"{'type': 'Point', 'coordinates': [-73.91979744254155, 40.8679658599317]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-74.13831208719849, 40.62718112562366]}",No,none,2002,6
"{'type': 'Point', 'coordinates': [-74.16456317847984, 40.61613097261141]}",No,none,2006,50
"{'type': 'Point', 'coordinates': [-74.16857629202667, 40.5447432162841]}",No,none,2003,15
"{'type': 'Point', 'coordinates': [-74.0254719259975, 40.637140137615724]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-73.93979603774648, 40.58956559281211]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-74.01780244149738, 40.62936684015063]}",No,none,2006,13
"{'type': 'Point', 'coordinates': [-73.82999909323485, 40.850280791107366]}",No,none,2006,50
"{'type': 'Point', 'coordinates': [-74.16236941600239, 40.53643997937639]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-74.08587511875717, 40.59589012095557]}",No,none,2006,50
"{'type': 'Point', 'coordinates': [-73.88107821214965, 40.67146797295536]}",No,none,2004,63
"{'type': 'Point', 'coordinates': [-74.08171366568, 40.62078103075238]}",No,none,2003,14
