dfta_id,serviceid,reportedunits
6K1,COTR,1
3K4,INRS,635
3K4,SUPS,215
6K1,COTR,2
3K4,CSUG,1
3K4,CINF,105
6K1,CPUB,16
3K4,CPUB,15
3K4,COTR,6
6K1,COTR,3
6K1,CCNS,8
3K4,CCNS,29
3K4,INRS,167
3K4,CCNS,30
3K4,CINF,134
6K1,INRS,101
6K1,SUPS,17
6K1,CAST,25
3K4,CAST,63
3K4,INRS,85
3K4,SUPS,169
3K4,CCNS,32
3K4,CINF,110
6K1,COTR,3
3K4,CINF,108
6K1,GPRS,100
3K4,SUPS,466
3K4,COTR,7
6K1,GPRS,102
6K1,CCNS,7
3K4,CCNS,35
3K4,CCNS,20
6K1,CINF,22
3K4,CSUG,2
6K1,CPUB,6
3K4,CRTR,20
6K1,INRS,60
3K4,CINF,101
6K1,COTR,4
3K4,CPUB,11
3K4,INRS,185
6K1,CCNS,8
3K4,CINF,99
6K1,INRS,60
3K4,INRS,195
3K4,SUPS,578
6K1,GPRS,202
3K4,SUPS,231
6K1,CINF,41
3K4,INRS,45
6K1,CAST,99
3K4,CINF,132
3K4,CRTR,18
3K4,CAST,72
6K1,CCNS,2
6K1,SUPS,75
6K1,CAST,21
6K1,CINF,25
3K4,COTR,12
6K1,INRS,66
6K1,CPUB,9
3K4,CSUG,1
6K1,CPUB,11
6K1,CPUB,1
3K4,CSUG,5
6K1,GPRS,162
3K4,CCNS,40
6K1,SUPS,79
3K4,CSUG,4
3K4,CINF,125
3K4,INRS,30
6K1,INRS,92
6K1,CRTR,2
3K4,CRTR,24
3K4,SUPS,446
3K4,CINF,122
6K1,INRS,32
3K4,CSUG,3
6K1,CCNS,10
3K4,CORS,70
3K4,CRTR,17
3K4,COTR,20
6K1,CINF,39
6K1,SUPS,137
3K4,CAST,58
6K1,SUPS,76
6K1,CSUG,4
6K1,CPUB,37
6K1,CAST,23
3K4,CSUG,1
6K1,INRS,109
3K4,COTR,13
6K1,CAST,18
3K4,CAST,72
6K1,COTR,4
6K1,CCNS,8
3K4,SUPS,289
3K4,INRS,65
6K1,CINF,43
6K1,CCNS,9
3K4,CAST,61
6K1,CINF,44
3K4,CCNS,35
6K1,GPRS,88
6K1,CAST,13
3K4,COTR,9
6K1,CAST,60
6K1,GPRS,109
3K4,CSUG,3
3K4,COTR,18
6K1,CORS,7
6K1,INRS,88
3K4,COTR,5
6K1,CCNS,4
6K1,COTR,6
3K4,CCNS,30
3K4,COTR,5
6K1,CINF,60
6K1,CPUB,8
6K1,SUPS,52
6K1,CAST,64
6K1,CORS,2
6K1,CRTR,7
3K4,CPUB,13
3K4,CPUB,12
3K4,CSUG,1
3K4,SUPS,167
3K4,CAST,73
6K1,CINF,57
3K4,CPUB,9
3K4,CAST,64
6K1,CSUG,1
3K4,CINF,91
6K1,INRS,39
3K4,SUPS,290
3K4,SUPS,467
6K1,GPRS,162
3K4,INRS,204
3K4,INRS,163
6K1,CAST,53
6K1,INRS,64
6K1,GPRS,153
3K4,CAST,43
3K4,CSUG,3
6K1,CCNS,10
3K4,CRTR,22
6K1,GPRS,154
6K1,GPRS,86
3K4,CCNS,36
6K1,CSUG,3
3K4,CCNS,33
3K4,CINF,176
6K1,CAST,55
6K1,CORS,4
3K4,CAST,44
6K1,CSUG,7
6K1,SUPS,57
6K1,CCNS,8
3K4,CRTR,3
6K1,COTR,37
3K4,CPUB,13
3K4,CCNS,27
3K4,CPUB,9
3K4,CPUB,8
6K1,CINF,8
6K1,CRTR,12
3K4,CAST,85
6K1,CPUB,3
3K4,COTR,11
6K1,CSUG,5
3K4,COTR,9
6K1,COTR,1
3K4,CAST,69
3K4,CINF,98
6K1,CCNS,4
6K1,SUPS,110
3K4,COTR,11
3K4,CPUB,13
6K1,SUPS,67
6K1,CPUB,8
6K1,CRTR,3
3K4,INRS,129
3K4,CPUB,9
3K4,INRS,73
6K1,COTR,119
6K1,CPUB,1
6K1,CINF,17
3K4,CCNS,16
6K1,CAST,44
6K1,CINF,49
3K4,SUPS,391
3K4,SUPS,392
3K4,CAST,56
6K1,CPUB,3
3K4,CPUB,7
3K4,CPUB,10
3K4,CRTR,23
6K1,SUPS,38
6K1,COTR,6
6K1,CRTR,8
