number_of_classes
241
146
164
86
69
47
191
243
44
64
255
123
61
365
42
26
62
167
173
364
508
23
217
153
256
303
124
339
102
232
34
21
46
151
1408
170
29
347
549
298
137
69
302
21
70
32
72
354
150
1156
192
346
227
64
167
318
45
365
617
20
207
753
433
299
570
69
488
279
165
422
122
165
236
154
29
450
346
36
245
213
77
280
351
122
106
1251
674
367
252
111
398
17
37
294
323
292
420
708
262
211
55
316
270
313
213
189
16
366
165
379
148
174
44
177
137
85
453
62
232
231
227
329
243
514
390
452
874
347
15
189
158
409
55
206
397
41
28
51
245
61
1194
39
256
68
91
150
207
350
50
224
223
135
70
443
105
88
275
97
71
145
50
16
38
43
241
328
120
42
93
367
847
188
236
64
139
193
44
1424
419
125
94
67
152
184
217
207
759
393
43
161
433
186
513
552
77
149
18
68
329
401
