grade_level,class_size
HS Core,17
HS Core,15
HS Core,25
HS Core,22
HS Core,>34
HS Core,19
HS Core,28
HS Core,20
HS Core,8
HS Core,<15
HS Core,32
HS Core,>34
HS Core,13
HS Core,21
HS Core,17
HS Core,7
HS Core,>34
HS Core,27
HS Core,17
HS Core,27
HS Core,31
HS Core,16
HS Core,15
HS Core,26
HS Core,18
HS Core,24
HS Core,23
HS Core,24
HS Core,15
HS Core,32
HS Core,16
HS Core,17
HS Core,20
HS Core,17
HS Core,34
HS Core,18
HS Core,17
HS Core,34
HS Core,32
HS Core,22
HS Core,24
HS Core,13
HS Core,19
HS Core,>15
HS Core,14
HS Core,9
HS Core,15
HS Core,25
HS Core,25
HS Core,34
HS Core,18
HS Core,26
HS Core,16
HS Core,>34
HS Core,29
HS Core,33
HS Core,9
HS Core,27
HS Core,<15
HS Core,16
HS Core,30
HS Core,33
HS Core,34
HS Core,23
HS Core,32
HS Core,20
HS Core,31
HS Core,26
HS Core,>34
HS Core,29
HS Core,25
HS Core,27
HS Core,20
HS Core,15
HS Core,15
HS Core,31
HS Core,30
HS Core,18
HS Core,31
HS Core,29
HS Core,14
HS Core,32
HS Core,25
HS Core,23
HS Core,22
HS Core,34
HS Core,<15
HS Core,28
HS Core,21
HS Core,22
HS Core,30
HS Core,15
HS Core,17
HS Core,27
HS Core,20
HS Core,22
HS Core,26
HS Core,33
HS Core,23
HS Core,31
HS Core,18
HS Core,25
HS Core,22
HS Core,23
HS Core,29
HS Core,17
HS Core,15
HS Core,29
HS Core,16
HS Core,29
HS Core,26
HS Core,26
HS Core,19
HS Core,28
HS Core,>34
HS Core,20
HS Core,30
HS Core,22
HS Core,19
HS Core,21
HS Core,20
HS Core,29
HS Core,32
HS Core,32
HS Core,23
HS Core,28
HS Core,33
HS Core,28
HS Core,>15
HS Core,>34
HS Core,27
HS Core,26
HS Core,10
HS Core,28
HS Core,28
HS Core,18
HS Core,16
HS Core,10
HS Core,31
HS Core,12
HS Core,34
HS Core,18
HS Core,31
HS Core,20
HS Core,23
HS Core,15
HS Core,30
HS Core,34
HS Core,11
HS Core,21
HS Core,18
HS Core,24
HS Core,>34
HS Core,30
HS Core,24
HS Core,<15
HS Core,33
HS Core,23
HS Core,21
HS Core,26
HS Core,12
HS Core,15
HS Core,6
HS Core,7
HS Core,33
HS Core,24
HS Core,25
HS Core,11
HS Core,21
HS Core,22
HS Core,<15
HS Core,28
HS Core,30
HS Core,<15
HS Core,16
HS Core,19
HS Core,< 6
HS Core,<15
HS Core,27
HS Core,< 6
HS Core,21
HS Core,19
HS Core,24
HS Core,<15
HS Core,19
HS Core,29
HS Core,33
HS Core,24
HS Core,8
HS Core,30
HS Core,25
HS Core,16
HS Core,31
HS Core,32
HS Core,19
HS Core,27
HS Core,6
HS Core,21
HS Core,33
HS Core,34
