of_students_within_grade
1.6
1.1
4.4
2.2
3.4
1.0
6.2
2.2
5.3
0.8
8.7
2.3
12.1
3.0
0.8
2.8
2.6
4.8
1.3
4.4
6.3
0.4
1.3
4.8
1.8
3.5
3.1
3.4
23.3
8.9
0.6
0.4
1.2
1.2
20.3
1.5
0.7
14.2
7.0
2.8
4.0
13.5
2.3
5.6
14.7
4.4
16.2
4.0
4.5
15.6
1.5
4.1
1.4
3.0
6.4
12.1
6.1
4.2
3.3
0.4
7.5
11.2
16.9
3.1
7.7
1.6
7.3
3.5
2.9
4.9
3.5
5.1
2.3
1.0
0.5
6.3
5.0
0.9
8.7
7.1
16.4
10.3
4.2
3.4
2.5
19.3
3.1
4.7
2.4
2.9
5.4
0.3
0.8
3.8
2.6
2.9
4.6
9.3
2.9
8.7
1.2
3.3
2.9
3.1
6.6
1.4
0.3
4.8
1.3
4.7
5.1
4.9
1.1
6.0
2.5
1.8
5.4
1.8
2.0
2.3
1.9
4.6
10.3
7.4
3.6
5.0
12.2
4.7
4.2
3.3
5.1
4.2
8.3
6.2
4.7
0.8
0.5
7.8
9.1
11.1
19.6
0.8
8.5
1.6
2.8
1.0
7.1
15.8
8.3
2.0
1.8
3.7
3.0
5.6
3.3
1.2
12.1
2.6
1.7
4.3
9.0
0.3
3.4
4.5
9.6
3.6
4.0
7.0
2.4
3.2
4.2
7.0
7.6
1.0
0.9
1.6
2.6
6.0
4.5
6.6
2.1
1.5
3.9
2.1
2.0
7.2
12.1
3.8
5.2
6.4
4.3
1.3
6.7
8.5
1.6
5.3
1.6
1.9
11.6
14.6
