latitude,longitude-zipcode
40.706772833307,-73.907387490493-11385
40.687609987807,-73.988623744281-11201
40.769414609405,-73.923286160363-11102
40.767405917845,-73.963032337705-10065
40.683995683423,-73.879695843208-11208
40.733057261747,-73.738693387758-11427
40.730391854278,-73.850447368897-11375
40.873171841314,-73.89595280759-10468
40.790165386132,-73.811829834372-11357
40.67387317405,-73.938973865509-11213
40.761914424825,-73.957331874288-10065
40.715324022887,-74.0105477199-10007
40.704090388238,-73.893797641475-11385
40.613951596724,-73.996909662281-11204
40.8001554817,-73.953240261076-10026
40.766077244091,-73.919654696612-11103
40.707965798022,-73.95658745076-11211
40.800642335343,-73.938030066433-10035
40.67180231041,-73.96119294485-11238
40.682379594221,-73.807667926085-11420
40.837838456075,-73.834700991129-10461
40.78928420739,-73.948419598114-10029
40.63968057262,-74.012355325985-11220
40.836698167497,-73.891203582188-10460
40.690941807469,-73.942095375316-11221
40.631048873374,-73.997604192193-11219
40.739195731545,-74.001198051465-10011
40.756971609708,-73.832177224694-11355
40.73079880782,-73.987364320723-10003
40.661864169304,-73.849224719527-11414
40.644258889182,-73.987842011876-11218
40.70077060731,-73.814939484245-11435
40.882886325753,-73.917343136408-10463
40.680271879258,-73.930444847891-11233
40.707485313741,-73.949518307451-11206
40.753893723083,-73.973943827333-10017
40.62946662768,-73.982905507425-11204
40.606361800172,-73.989235471665-11214
40.612911263568,-73.995184479146-11204
40.728508613953,-73.81114950846-11365
40.804458751467,-73.935259599242-10035
40.631170155467,-73.977255996316-11218
40.666464251842,-73.937549628229-11213
40.751695801742,-73.885405692351-11372
40.728694335426,-73.847413237595-11375
40.79626068646,-73.969585924293-10025
40.687140460238,-73.942423207627-11221
40.635277044892,-73.981073715826-11204
40.7671233708,-73.739014088565-11362
40.64574094229,-74.013314987508-11220
40.638650866555,-73.953807864577-11226
40.788528047931,-73.967130193305-10024
40.735679128072,-73.859813694227-11368
40.837838456075,-73.834700991129-10461
40.608914335604,-73.932604760846-11234
40.832621684897,-73.827894983635-10465
40.754667319366,-73.889930399258-11372
40.640249386258,-74.002270026816-11220
40.732050216785,-73.961713385404-11222
40.746188471565,-73.942029127028-11101
40.739511287295,-73.995251074624-10011
40.651417022829,-73.936915079316-11203
40.62077391865,-73.927085032875-11234
40.609255542125,-74.023989844082-11209
40.641492463258,-74.075733844245-10301
