bbl,council_district,community_board
1014800010.0,5.0,108.0
5020300047.0,50.0,502.0
3018640014.0,36.0,303.0
2054190114.0,13.0,210.0
3012240045.0,35.0,308.0
4050410005.0,20.0,407.0
3021347502.0,33.0,301.0
4012810001.0,25.0,403.0
1007050001.0,3.0,104.0
4155010002.0,31.0,414.0
1016020044.0,8.0,111.0
3033150001.0,37.0,304.0
4033910026.0,30.0,405.0
3060660026.0,47.0,310.0
1018710029.0,7.0,107.0
3024697503.0,33.0,301.0
3059690001.0,47.0,310.0
2029770110.0,17.0,203.0
3024627502.0,34.0,301.0
4079400027.0,23.0,413.0
3068050050.0,48.0,315.0
3051500031.0,40.0,314.0
4008727502.0,22.0,401.0
2023240001.0,8.0,201.0
4116600011.0,28.0,410.0
3017040025.0,41.0,303.0
4139490026.0,32.0,410.0
1001560050.0,1.0,101.0
4000270046.0,26.0,402.0
3038030046.0,42.0,305.0
4097160154.0,24.0,408.0
4159260001.0,31.0,414.0
3041130001.0,37.0,305.0
3041130001.0,37.0,305.0
5069340101.0,51.0,503.0
3061530001.0,50.0,310.0
1013307502.0,4.0,106.0
2048350045.0,11.0,212.0
3012300044.0,36.0,308.0
4101480001.0,28.0,412.0
1018717503.0,7.0,107.0
4006250042.0,22.0,401.0
3036040001.0,41.0,316.0
3001820048.0,33.0,302.0
4036310006.0,30.0,405.0
4088750001.0,32.0,409.0
4045300018.0,19.0,407.0
3072920043.0,48.0,315.0
1008197502.0,3.0,105.0
4000067503.0,26.0,402.0
3021347502.0,33.0,301.0
3048970007.0,40.0,317.0
5000017504.0,49.0,501.0
1001327501.0,1.0,101.0
2024587501.0,16.0,204.0
3067750043.0,48.0,315.0
1004677501.0,2.0,103.0
3078740052.0,46.0,318.0
3053810006.0,39.0,312.0
3052950047.0,39.0,312.0
2026380090.0,17.0,203.0
4052520077.0,19.0,407.0
3048930011.0,40.0,317.0
3040390001.0,42.0,305.0
3052110060.0,45.0,317.0
4099700038.0,24.0,412.0
4102440211.0,27.0,412.0
3056920026.0,44.0,312.0
4019180090.0,21.0,404.0
1011160024.0,6.0,107.0
4019020010.0,25.0,404.0
3011800025.0,35.0,308.0
4076100040.0,23.0,411.0
1007757502.0,3.0,104.0
2025500012.0,8.0,201.0
4021517501.0,29.0,406.0
3052300003.0,45.0,314.0
2023460029.0,17.0,201.0
1017857502.0,8.0,111.0
3033620055.0,37.0,304.0
2032180035.0,14.0,207.0
3056020009.0,38.0,312.0
3070650001.0,47.0,313.0
3009227502.0,38.0,307.0
2037360001.0,17.0,209.0
3038050029.0,42.0,305.0
3001577501.0,33.0,302.0
3014170007.0,35.0,309.0
2032470001.0,11.0,207.0
1007640007.0,3.0,104.0
2029767501.0,17.0,203.0
3030400044.0,34.0,301.0
3035260215.0,41.0,316.0
3057690023.0,43.0,311.0
3013407504.0,36.0,308.0
2023060009.0,8.0,201.0
3035260215.0,41.0,316.0
1011200044.0,6.0,107.0
2029390090.0,15.0,203.0
3033730007.0,37.0,304.0
2055420001.0,13.0,210.0
3057390001.0,43.0,310.0
4041640027.0,19.0,407.0
4000827501.0,26.0,402.0
3054490001.0,44.0,312.0
1014800010.0,5.0,108.0
3061770039.0,38.0,310.0
3060660026.0,47.0,310.0
4021760001.0,29.0,406.0
2032460076.0,11.0,208.0
3051570035.0,40.0,314.0
1018717503.0,7.0,107.0
2057500390.0,11.0,208.0
3023497501.0,33.0,301.0
3062160060.0,43.0,311.0
3014060044.0,35.0,309.0
3010180006.0,39.0,306.0
1016297502.0,8.0,111.0
2054190114.0,13.0,210.0
3050760014.0,40.0,314.0
3042710005.0,42.0,305.0
1017750033.0,8.0,111.0
1018650001.0,7.0,109.0
1013250015.0,4.0,106.0
1013010023.0,4.0,106.0
2022650059.0,8.0,201.0
4029300012.0,30.0,405.0
3057340045.0,43.0,311.0
4036330022.0,30.0,405.0
3011257501.0,35.0,308.0
4036670023.0,30.0,405.0
1012050029.0,6.0,107.0
1015130029.0,4.0,108.0
3085200042.0,46.0,318.0
3033290016.0,37.0,304.0
2027050009.0,17.0,202.0
1018210055.0,9.0,110.0
2053560001.0,13.0,210.0
3036040001.0,41.0,316.0
1012050029.0,6.0,107.0
3018150039.0,36.0,303.0
2040940001.0,13.0,211.0
3065720017.0,44.0,312.0
4005757501.0,22.0,401.0
3062640030.0,43.0,311.0
1014550008.0,5.0,108.0
3080400037.0,46.0,318.0
4067130041.0,24.0,408.0
4009140005.0,22.0,401.0
3054070082.0,44.0,312.0
3053027501.0,39.0,312.0
1014020042.0,4.0,108.0
1017697501.0,8.0,111.0
3017870001.0,36.0,303.0
3063320042.0,38.0,311.0
3.0,33.0,301.0
