dcid,address,latitude,longitude,bbl,program_type
DC1161,167-07 35 AVENUE,40.765050056749,-73.798442971464,4052520077.0,PRESCHOOL
DC26079,1595 LEXINGTON  AVENUE,40.78928420739,-73.948419598114,1016297502.0,PRESCHOOL
DC44026,329 BROADWAY,40.707965798022,-73.95658745076,3024627502.0,INFANT TODDLER
DC2564,164 EAST 68 STREET,40.767405917845,-73.963032337705,1014020042.0,PRESCHOOL
DC2224,5 WEST 63 STREET,40.770681958402,-73.980464658752,1011160024.0,INFANT TODDLER
DC2213,26 FEDERAL PLAZA,40.716007857186,-74.004743636969,1001560050.0,INFANT TODDLER
DC41305,33-11 77 STREET,40.754667319366,-73.889930399258,4012500063.0,PRESCHOOL
DC42079,705 CONCOURSE VILLAGE WEST,40.821864592259,-73.924114282331,2024587501.0,INFANT TODDLER
DC43139,1194 YORK AVENUE,40.761914424825,-73.957331874288,1014800010.0,INFANT TODDLER
DC3102,61-58 SPRINGFIELD BOULEVARD,40.748769215036,-73.75655443281,4076100040.0,INFANT TODDLER
DC44494,3425 EAST TREMONT AVENUE,40.832621684897,-73.827894983635,2054190114.0,INFANT TODDLER
DC25355,3880 SEDGWICK AVENUE,40.882990692566,-73.894006209915,2032460076.0,PRESCHOOL
DC25653,1460 56TH STREET,40.628992824929,-73.992726336278,3056920026.0,INFANT TODDLER
DC44451,6301 12 AVENUE,40.62837819507,-74.002593853125,3057390001.0,PRESCHOOL
DC41888,683 BARBEY ST,40.665584336845,-73.885673153878,3040917501.0,PRESCHOOL
DC43772,8902 5 AVENUE,40.619651925758,-74.027804618024,3060660026.0,INFANT TODDLER
DC24834,175 KENT AVENUE,40.718296890852,-73.963871358562,3023497501.0,PRESCHOOL
DC17714,93 NORWOOD AVENUE,40.683995683423,-73.879695843208,3041130001.0,PRESCHOOL
DC24680,2205 THIRD AVENUE,40.800642335343,-73.938030066433,1017857502.0,PRESCHOOL
DC1907,7104 13 AVENUE,40.622479567601,-74.005169234752,3061770039.0,PRESCHOOL
DC43487,1267 57 STREET,40.631048873374,-73.997604192193,3056907503.0,INFANT TODDLER
DC38114,27-28 THOMSON AVENUE,40.746188471565,-73.942029127028,4000827501.0,PRESCHOOL
DC42292,428 WYTHE AVENUE,40.711202471137,-73.966533627566,3024697503.0,INFANT TODDLER
DC10665,3141 EAST TREMONT AVENUE,40.837838456075,-73.834700991129,2053560001.0,INFANT TODDLER
DC44055,463 6 AVENUE,40.667287190395,-73.984543117499,3010180006.0,PRESCHOOL
DC22793,50 OSAGE LANE,40.53287293488,-74.160707010401,5053730001.0,PRESCHOOL
DC41345,105-25 65 ROAD,40.730391854278,-73.850447368897,4021517501.0,PRESCHOOL
DC40208,83-78 DANIELS STREET,40.713651837152,-73.814936047246,4097160154.0,PRESCHOOL
DC19160,3440 WHITE PLAINS RD.,40.876207824152,-73.866976191563,2046290050.0,PRESCHOOL
DC1569,933 HERKIMER STREET,40.678161537432,-73.922497426631,3017040025.0,PRESCHOOL
DC44496,3425 EAST TREMONT AVENUE,40.832621684897,-73.827894983635,2054190114.0,PRESCHOOL
DC2329,58-20 LITTLE NECK PARKWAY,40.761569138024,-73.723120227739,4083520051.0,PRESCHOOL
DC21252,1 WEST 91ST STREET,40.788528047931,-73.967130193305,1012050029.0,PRESCHOOL
DC41245,20-16 COLLEGE POINT BOULEVARD,40.781197005898,-73.845978099527,4041640027.0,PRESCHOOL
DC22000,1505 CARROLL STREET,40.666464251842,-73.937549628229,3014060044.0,INFANT TODDLER
DC2424,235 EAST 11 STREET,40.73079880782,-73.987364320723,1004677501.0,PRESCHOOL
DC14260,60-62 EAST 97TH STREET,40.787559679159,-73.952888019361,1016020044.0,INFANT TODDLER
DC44477,132 WEST 112 STREET,40.8001554817,-73.953240261076,1018210055.0,INFANT TODDLER
DC15558,1257-1263 38TH STREET,40.64178571353,-73.986693011387,3052950047.0,PRESCHOOL
DC2220,60-62 EAST 97 STREET,40.787559679159,-73.952888019361,1016020044.0,PRESCHOOL
DC37409,2340 ANDREWS AVENUE,40.862276166853,-73.90658804223,2032180035.0,PRESCHOOL
DC169,133 KINGSBOROUGH  1ST WALK,40.675359457704,-73.927198170354,3013440001.0,PRESCHOOL
DC20592,580A GATES AVENUE,40.687140460238,-73.942423207627,3018150039.0,PRESCHOOL
DC14261,30 WEST 68TH STREET,40.774200504193,-73.97915301362,1011200044.0,INFANT TODDLER
DC38949,565 LIVONIA AVENUE,40.664408748036,-73.896351794597,3038030046.0,INFANT TODDLER
DC2022,7524 14 AVENUE,40.618776841211,-74.005435498865,3062220045.0,PRESCHOOL
DC42462,765 LAFAYETTE AVENUE,40.690941807469,-73.942095375316,3017870001.0,PRESCHOOL
DC414,105-109 HIGHLAND PLACE,40.682658093863,-73.881482998432,3039300016.0,PRESCHOOL
DC37552,94-25 57 AVENUE,40.736310743193,-73.86699675696,4019020010.0,PRESCHOOL
DC43726,333 EAST 115 STREET,40.795734118392,-73.936918648166,1016870017.0,PRESCHOOL
DC42964,107-65 MERRICK BOULEVARD,40.698746460296,-73.787320098351,4102440211.0,PRESCHOOL
DC14287,1047 AMSTERDAM AVENUE,40.804026414418,-73.963073326975,1018650001.0,PRESCHOOL
DC45282,2209 AVENUE R,40.606587689596,-73.950574474348,3068050050.0,PRESCHOOL
DC1187,81-10 35 AVENUE,40.751695801742,-73.885405692351,4012810001.0,PRESCHOOL
DC42968,58 BELMONT AVENUE,40.668733631281,-73.908183093392,3035260215.0,INFANT TODDLER
DC18839,454 PENNSYLVANIA AVE,40.666020879218,-73.894381158803,3038050029.0,PRESCHOOL
DC38209,25-50 CRESCENT STREET,40.772147683019,-73.922239599287,4008727502.0,PRESCHOOL
DC43413,600 6 AVENUE,40.739511287295,-73.995251074624,1008197502.0,PRESCHOOL
DC44370,4180 CARPENTER AVENUE,40.89380210383,-73.860527872009,2048350045.0,INFANT TODDLER
DC41505,4301 10 AVENUE,40.642280451005,-73.995308467893,3056020009.0,PRESCHOOL
DC2682,1271 AVENUE OF THE AMERICAS,40.760282020579,-73.98015728348,1010030029.0,INFANT TODDLER
DC43137,1226 YORK AVENUE,40.762866595925,-73.956638165646,1014800010.0,PRESCHOOL
DC38226,255 WEST 14 STREET,40.739195731545,-74.001198051465,1007640007.0,INFANT TODDLER
DC42144,762 41 STREET,40.646685918901,-73.999365772365,3009227502.0,INFANT TODDLER
DC44077,1759 BAY RIDGE PARKWAY,40.613951596724,-73.996909662281,3062157501.0,PRESCHOOL
DC44914,1649 EAST   13 STREET,40.609127633715,-73.960231893905,3067760055.0,PRESCHOOL
DC14480,1859 RICHMOND AVENUE,40.602661456556,-74.163086769773,5020300047.0,PRESCHOOL
DC2090,1515 SOUTHERN BOULEVARD,40.833727148416,-73.889932809537,2029770110.0,PRESCHOOL
DC349,295 WOODBINE STREET,40.696404688497,-73.912941172384,3033620055.0,PRESCHOOL
DC39266,814 AMSTERDAM AVENUE,40.796441583372,-73.968632351453,1018717503.0,PRESCHOOL
DC1779,1091 SUTTER AVENUE,40.671884138031,-73.878196490769,3040390001.0,PRESCHOOL
DC44090,1705 49 STREET,40.62946662768,-73.982905507425,3054490001.0,PRESCHOOL
DC21573,8416 19 AVENUE,40.606946944107,-73.999409368292,3063320042.0,PRESCHOOL
DC34674,23-88 31 STREET,40.772526896412,-73.915108608042,4008427501.0,INFANT TODDLER
DC42390,213-54 35 AVENUE,40.769024535226,-73.773455379812,4061730013.0,PRESCHOOL
DC40808,578 E 138TH ST,40.806579646925,-73.916961444748,2025500012.0,INFANT TODDLER
DC40296,93 NORWOOD AVENUE,40.683995683423,-73.879695843208,3041130001.0,INFANT TODDLER
DC42514,1537 DEAN STREET,40.676177730346,-73.937021353415,3013407504.0,INFANT TODDLER
DC44590,450 KENT AVENUE,40.708826049734,-73.968471751283,3021347502.0,INFANT TODDLER
DC18943,1113 COLGATE AVENUE,40.826283262286,-73.881508037871,2037360001.0,PRESCHOOL
DC44642,948 MCDONALD AVENUE,40.631170155467,-73.977255996316,3054070082.0,PRESCHOOL
DC44863,4109 16 AVENUE,40.635277044892,-73.981073715826,3053810006.0,PRESCHOOL
DC40807,578 EAST  138 STREET,40.806579646925,-73.916961444748,2025500012.0,PRESCHOOL
DC42025,163 EAST   84 STREET,40.777899334622,-73.955873703612,1015130029.0,PRESCHOOL
DC39932,156-45 84 STREET,40.661864169304,-73.849224719527,4139490026.0,PRESCHOOL
DC42266,647 ROGERS AVENUE,40.655701117542,-73.952999517081,3050570007.0,PRESCHOOL
DC39853,6202 15 AVENUE,40.624952643634,-73.995435774185,3057340045.0,PRESCHOOL
DC416,7802 BAY PARKWAY,40.606361800172,-73.989235471665,3062640030.0,PRESCHOOL
DC841,3141 EAST TREMONT AVENUE,40.837838456075,-73.834700991129,2053560001.0,PRESCHOOL
DC42952,1334 LOUIS NINE BOULEVARD,40.831528143485,-73.892335904079,2029767501.0,PRESCHOOL
DC17105,1298 WOODROW ROAD,40.541625868853,-74.20846850504,5069340101.0,PRESCHOOL
DC22324,1326 EAST 10TH STREET,40.616663524955,-73.964668578329,3065720017.0,PRESCHOOL
DC38593,540 WEST 53 STREET,40.767293581479,-73.992194926927,1010817503.0,PRESCHOOL
DC43914,1436 67 STREET,40.622935317864,-73.999643374392,3057690023.0,PRESCHOOL
DC2118,800 POLY PLACE,40.609255542125,-74.023989844082,3061530001.0,PRESCHOOL
DC2035,406-408 GROVE STREET,40.701180558966,-73.912895239822,3033290016.0,PRESCHOOL
DC43781,8902 5 AVENUE,40.619651925758,-74.027804618024,3060660026.0,PRESCHOOL
DC43845,979 PACIFIC STREET,40.679594716621,-73.961152339316,3011257501.0,PRESCHOOL
DC1348,69-02 64 STREET,40.704090388238,-73.893797641475,4036310006.0,PRESCHOOL
DC43160,1526 FULTON STREET,40.679843487232,-73.939775982908,3018640014.0,INFANT TODDLER
DC23106,871 50TH STREET,40.640249386258,-74.002270026816,3056377502.0,PRESCHOOL
DC1166,68-02 METROPOLITAN AVENUE,40.712262196873,-73.888666056725,4036670023.0,INFANT TODDLER
DC44249,1419 DORCHESTER ROAD,40.638964898018,-73.964689153126,3051570035.0,PRESCHOOL
DC41129,531 E 137TH STREET,40.806545374421,-73.918933779341,2022650059.0,PRESCHOOL
DC21490,27-17 27 STREET,40.769414609405,-73.923286160363,4005757501.0,PRESCHOOL
DC41178,900 MORRIS PARK AVENUE,40.84669557706,-73.859322206334,2040940001.0,PRESCHOOL
DC422,3924 CHURCH AVENUE,40.651229633585,-73.940659619267,3048930011.0,PRESCHOOL
DC34091,225 WEST  99TH STREET,40.79626068646,-73.969585924293,1018710029.0,PRESCHOOL
DC39267,814 AMSTERDAM AVENUE,40.796441583372,-73.968632351453,1018717503.0,INFANT TODDLER
DC42421,1835 BAY RIDGE PARKWAY,40.612911263568,-73.995184479146,3062160060.0,PRESCHOOL
DC39286,55 HUDSON YARDS,40.755439214916,-74.002219825347,1007050001.0,INFANT TODDLER
DC37909,6709 108TH ST,40.728694335426,-73.847413237595,4021760001.0,PRESCHOOL
DC2321,12-45 CLINTONVILLE ST,40.790165386132,-73.811829834372,4045300018.0,PRESCHOOL
DC25309,231-10 HILLSIDE AVENUE,40.733057261747,-73.738693387758,4079400027.0,PRESCHOOL
DC21684,108-17 159TH STREET,40.695006134255,-73.793772745663,4101480001.0,PRESCHOOL
DC981,1054 INTERVALE AVENUE,40.824815891086,-73.896838079211,2027050009.0,PRESCHOOL
DC10600,7817-25 3 AVENUE,40.62909375043,-74.028745246123,3059690001.0,PRESCHOOL
DC37978,2082 UTICA  AVENUE,40.62077391865,-73.927085032875,3078740052.0,PRESCHOOL
DC39968,248-12 NORTHERN BOULEVARD,40.7671233708,-73.739014088565,4082140008.0,PRESCHOOL
DC32515,5721 6TH  AVENUE,40.63968057262,-74.012355325985,3008490001.0,PRESCHOOL
DC41797,134-12 LINDEN BOULEVARD,40.682379594221,-73.807667926085,4116600011.0,PRESCHOOL
DC36669,127 EAST 46TH STREET,40.753893723083,-73.973943827333,1013010023.0,PRESCHOOL
DC42607,1121 36 STREET,40.644258889182,-73.987842011876,3053027501.0,PRESCHOOL
DC11818,98-25 HORACE HARDING EXPRESSWAY,40.735679128072,-73.859813694227,4019180090.0,PRESCHOOL
