dcid,bin,age_range,permit_number,capacity
DC17714,3091404.0,2 YEARS - 5 YEARS,7900.0,35
DC40296,3091404.0,0 YEARS - 2 YEARS,106699.0,9
DC17105,5085132.0,2 YEARS - 5 YEARS,8070.0,90
DC2118,3345707.0,2 YEARS - 5 YEARS,6344.0,30
DC44419,1090233.0,2 YEARS - 5 YEARS,106815.0,50
DC44370,2000000.0,0 YEARS - 2 YEARS,106579.0,34
DC39978,3031082.0,2 YEARS - 5 YEARS,105413.0,100
DC21684,4457481.0,2 YEARS - 5 YEARS,8352.0,52
DC39266,1056462.0,2 YEARS - 5 YEARS,105294.0,128
DC40905,4009030.0,2 YEARS - 5 YEARS,106115.0,20
DC25613,3082389.0,2 YEARS - 5 YEARS,51759.0,144
DC44025,3000861.0,0 YEARS - 2 YEARS,106718.0,26
DC1348,4088138.0,2 YEARS - 5 YEARS,4564.0,91
DC33188,4182252.0,2 YEARS - 5 YEARS,96197.0,162
DC2321,4102995.0,2 YEARS - 5 YEARS,5568.0,84
DC44500,3336568.0,3 YEARS - 5 YEARS,,NO DATA
DC43413,1015407.0,2 YEARS - 5 YEARS,106709.0,12
DC43192,4619856.0,0 YEARS - 2 YEARS,106712.0,10
DC44584,3387990.0,2 YEARS - 5 YEARS,106724.0,47
DC42542,3319769.0,2 YEARS - 5 YEARS,106062.0,139
DC43644,5166155.0,2 YEARS - 5 YEARS,106727.0,23
DC44396,1081076.0,2 YEARS - 5 YEARS,106738.0,38
DC42079,2128884.0,0 YEARS - 2 YEARS,106557.0,8
DC41101,3182349.0,2 YEARS - 5 YEARS,105897.0,38
DC2424,1006849.0,2 YEARS - 5 YEARS,5050.0,72
DC37978,3336927.0,2 YEARS - 5 YEARS,104839.0,44
DC44863,3126466.0,3 YEARS - 5 YEARS,,NO DATA
DC15558,3394062.0,2 YEARS - 5 YEARS,7793.0,264
DC2029,2091959.0,2 YEARS - 5 YEARS,1843.0,40
DC1161,4118837.0,2 YEARS - 5 YEARS,2323.0,72
DC422,3109655.0,2 YEARS - 5 YEARS,5362.0,53
DC1779,3089620.0,2 YEARS - 5 YEARS,5182.0,137
DC39345,3120356.0,2 YEARS - 5 YEARS,105471.0,20
DC25005,4213652.0,3 YEARS - 5 YEARS,,NO DATA
DC42964,4617729.0,2 YEARS - 5 YEARS,106485.0,59
DC25653,3140136.0,0 YEARS - 2 YEARS,55817.0,71
DC11818,4047330.0,2 YEARS - 5 YEARS,7734.0,150
DC2224,1027468.0,0 YEARS - 2 YEARS,5205.0,28
DC37552,4047077.0,2 YEARS - 5 YEARS,104682.0,49
DC15291,3029648.0,0 YEARS - 2 YEARS,7806.0,20
DC3102,4162215.0,0 YEARS - 2 YEARS,7133.0,28
