address,phone,nta_code,facility_type,borough,program_name
814 AMSTERDAM AVENUE,(212) 316-0928,MN12,GCC,MANHATTAN,THE LEARNING EXPERIENCE
1555 EAST 174 STREET,(718) 842-6582,BX08,GCC,BRONX,BRONX RIVER EARLY LEARN CENTER
43-09 196 STREET,(718) 357-0800,QN48,GCC,QUEENS,St. Nicholas Greek Orthodox Church of Flushing
71-66 PARSONS BOULEVARD,(718) 683-5476,QN38,GCC,QUEENS,HAPPY MARYANN
50 OSAGE LANE,(718) 227-2500,SI01,GCC,STATEN ISLAND,"WORLDWIDE ENTITIES, LLC"
6301 12 AVENUE,(718) 923-3113,BK30,SBCC,BROOKLYN,Talmud Torah D'Chasidei Gur
3141 EAST TREMONT AVENUE,(718) 829-3067,BX52,GCC,BRONX,"TENDER YEAR CHILDCARE, INC."
2205 THIRD AVENUE,(646) 757-3168,MN34,GCC,MANHATTAN,SUNSHINE LC OF 3RD AVE LLC
1526 FULTON STREET,(347) 464-5544,BK61,GCC,BROOKLYN,"MAGIC MOMENTS BROOKLYN, LLC"
1919 CORTELYOU ROAD,(718) 288-9546,BK42,GCC,BROOKLYN,"B'ABOVE WORLDWIDE INSTITUTE, INC"
1267 57 STREET,(347) 563-0695,BK88,GCC,BROOKLYN,WEEHIVE DAYCARE INC.
33-11 77 STREET,(646) 243-7595,QN28,GCC,QUEENS,JHELC INC
1317 AVENUE T,(718) 743-5511,BK25,SBCC,BROOKLYN,YESHIVAT LEV TORAH
107-65 MERRICK BOULEVARD,(718) 523-1888,QN01,GCC,QUEENS,COLIN-NEWELL EARLY CHILDHOOD DEVELOPMENT CENTER
132 WEST 112 STREET,(718) 679-9919,MN11,GCC,MANHATTAN,KUEI LUCK EARLY CHILDHOOD CENTER LLC
3425 EAST TREMONT AVENUE,(718) 828-5607,BX52,GCC,BRONX,THE LEARNING EXPERIENCE
1537 DEAN STREET,(718) 925-2752,BK61,GCC,BROOKLYN,LITTLE ME DAYCARE CENTER
2975 INDEPENDENCE AVENUE,(718) 601-1300,BX29,GCC,BRONX,HAPPY DAYS AT RIVERDALE
8810 AVENUE J,(917) 450-1306,BK50,GCC,BROOKLYN,"BIG MINDS, TINY HANDS"
1419 DORCHESTER ROAD,(646) 245-5004,BK42,GCC,BROOKLYN,ALEPH ELC
1705 49 STREET,(718) 236-1171,BK88,GCC,BROOKLYN,"RABBI SOLOMON KLUGER SCHOOL, Inc."
565 LIVONIA AVENUE,(718) 346-3470,BK85,GCC,BROOKLYN,"UNIVERSITY SETTLEMENT SOCIETY OF NEW YORK,"
2212 THIRD AVENUE,(212) 988-9500,MN34,GCC,MANHATTAN,KENNEDY CHILDREN'S CENTER
148 BEACH 59 STREET,(718) 634-0331,QN12,GCC,QUEENS,Lucille Rose Day Care Center
762 41 STREET,(845) 560-6659,BK34,GCC,BROOKLYN,"CHILDTIME CHILDCARE, INC"
1600 CROTONA PARK EAST,(718) 378-5600,BX75,GCC,BRONX,TREMONT CROTONA EARLY LEARN CENTER
475 GRAND CONCOURSE,(718) 518-4176,BX63,GCC,BRONX,"HOSTOS COMMUNITY COLLEGE CHILDREN'S CENTER, INC."
127 EAST 46TH STREET,(646) 348-9011,MN19,GCC,MANHATTAN,BRIGHT HORIZONS AT EAST 46TH STREET
2340 ANDREWS AVENUE,(718) 365-7238,BX30,GCC,BRONX,SAINT DOMINIC'S FAMILY SERVICES
933 HERKIMER STREET,(718) 778-0292,BK61,GCC,BROOKLYN,BISHOP SEXTON HEAD START
74-15 JUNIPER BOULEVARD NORTH,(718) 899-2020,QN21,GCC,QUEENS,THE LEARNING TREE
85 WARREN STREET,(212) 274-9636,MN24,GCC,MANHATTAN,"German School Manhattan, LLC"
2870 GOULDEN AVENUE,(718) 960-8746,BX28,GCC,BRONX,"IMAGINE EARLY LEARNING CENTERS, LLC"
1759 BAY RIDGE PARKWAY,(718) 709-9594,BK28,GCC,BROOKLYN,LIL TOTS EARLY CHILDHOOD CENTER LLC
315 EAST  62  STREET,(646) 582-2966,MN31,GCC,MANHATTAN,WEILL CORNELL CHILDREN'S CENTER AT EAST 62ND
463 6 AVENUE,(347) 422-0214,BK37,GCC,BROOKLYN,PARK SLOPE LITTLE LEARNERS INC.
580A GATES AVENUE,(718) 452-9740,BK75,GCC,BROOKLYN,SUNSHINE  NURSERY & DAY CARE INC.
69-02 64 STREET,(212) 912-2180,QN20,GCC,QUEENS,YMCA OF GREATER NY
231-10 HILLSIDE AVENUE,(718) 464-5606,QN43,GCC,QUEENS,PARSONS PRESCHOOL
600 6 AVENUE,(212) 255-6911,MN13,GCC,MANHATTAN,LITTLE SCHOLARS LEARNING CENTER VII
213-54 35 AVENUE,(718) 229-5888,QN46,GCC,QUEENS,JOY KID'S LEARNING HOUSE INC.
7524 14 AVENUE,(718) 621-5458,BK30,GCC,BROOKLYN,LPBC UPK Corp
3924 CHURCH AVENUE,(718) 282-6944,BK91,GCC,BROOKLYN,"BRYAN'S EDUCATIONAL CENTER, INC."
94-25 57 AVENUE,(929) 296-0087,QN29,GCC,QUEENS,HAPPY LITTLE BEAR DAY CARE LLC
450 KENT AVENUE,(347) 907-2935,BK73,GCC,BROOKLYN,TICKLE TOES DAY CARE LLC
133-20 AVERY    AVENUE,(718) 321-1610,,GCC,QUEENS,RAINBOW CHILD DEVELOPMENT
540 WEST 53 STREET,(646) 348-9013,MN15,GCC,MANHATTAN,BRIGHT HORIZONS AT WEST 53RD
127 WEST  94  STREET,(212) 222-6602,MN12,GCC,MANHATTAN,BASIC TRUST
979 PACIFIC STREET,(929) 271-3068,BK61,GCC,BROOKLYN,PLAYTO PACIFIC LLC
671 PROSPECT PLACE,(718) 638-8686,BK61,GCC,BROOKLYN,THE FRIENDS OF CROWN HEIGHTS EDUCATIONAL CENTER
5 WEST 63 STREET,(212) 912-2650,MN14,GCC,MANHATTAN,YOUNG MEN'S CHRISTIAN ASSOCIATION OF GREATER NEW YORK
1462 62 STREET,(718) 436-2245,BK28,GCC,BROOKLYN,"KINDER VINKEL, INC."
6709 108TH ST,(718) 268-5011,QN17,GCC,QUEENS,COMMONPOINT QUEENS
20 ST. JOHN'S  ROAD,(929) 457-6717,QN20,GCC,QUEENS,wBEES FOREST HOUSE INC.
428 WYTHE AVENUE,(718) 517-8020,BK73,GCC,BROOKLYN,NACHAS PLAYGROUP LLC
1334 LOUIS NINE BOULEVARD,(718) 991-2119,BX75,GCC,BRONX,BEANSTALK CHILD CARE ACADEMY
1460 56TH STREET,(718) 437-7261,BK88,GCC,BROOKLYN,"LITTLE MUNCHKINS PLAYGROUP 56, INC."
60-62 EAST 97 STREET,(212) 410-2077,MN33,GCC,MANHATTAN,"IMAGINE EARLY LEARNING CENTERS, LLC"
22-32 BUCKINGHAM ROAD,(718) 282-4200,BK42,GCC,BROOKLYN,PRACTICAL LEARNING CENTER (P/S)
196 ALBANY AVE,(917) 495-1411,BK61,GCC,BROOKLYN,CREATIVE LEARNING ACADEMY
762 41 STREET,(845) 560-6659,BK34,GCC,BROOKLYN,"CHILDTIME CHILDCARE, INC"
4312 CHURCH AVENUE,(917) 297-6300,BK91,GCC,BROOKLYN,Innovators Prep LLC
61-58 SPRINGFIELD BOULEVARD,(718) 352-8972,QN42,GCC,QUEENS,"KOG INDUSTRIES, INC."
5721 6TH  AVENUE,(718) 633-8828,BK34,GCC,BROOKLYN,"BUMBLEBEES-R-US, INC."
1121 36 STREET,(718) 269-0044,BK41,GCC,BROOKLYN,LITTLE ROSES LLC
