complaint,latitude,longitude,action_taken,postcode
CMP-15-00153,40.67690769390671,-73.95060871288119,No Warning Letter Issued,11216.0
CMP-15-00132,40.672477109389256,-73.949418750752,Warning Letter Issued,11216.0
CMP-15-00042,40.68770224938858,-73.9737174190473,Warning Letter Issued,11217.0
CMP-15-00111,40.73273294459402,-74.00561439593517,No Warning Letter Issued,10014.0
CMP-15-00068,40.77104151171907,-73.74850260273955,Warning Letter Issued,11363.0
CMP-15-00020,40.74728737428123,-73.9471965438141,Warning Letter Issued,11101.0
CMP-15-00004,40.67720674265087,-73.97602168537509,No Warning Letter Issued,11217.0
CMP-15-00096,40.660062759018345,-73.95684579971754,Warning Letter Issued,11225.0
CMP-15-00184,40.71642345212847,-74.00804076237668,Warning Letter Issued,10013.0
CMP-15-00139,40.77670986731276,-73.97710153327209,No Warning Letter Issued,10023.0
CMP-15-00090,40.6855807196428,-73.96420288581221,Warning Letter Issued,11238.0
CMP-15-00128,40.74264396276247,-73.99016612799458,Warning Letter Issued,10010.0
CMP-15-00114,40.72859559817953,-73.95354339515656,Warning Letter Issued,11222.0
CMP-15-00148,40.81125988443599,-73.92427155496321,Warning Letter Issued,10454.0
CMP-15-00081,40.73376785238395,-73.99943350009548,No Warning Letter Issued,10011.0
CMP-15-00169,40.73214558317655,-74.0052751764167,No Warning Letter Issued,10014.0
CMP-15-00150,40.810982800313205,-73.92447416839508,Warning Letter Issued,10454.0
CMP-15-00195,40.71720040339424,-74.00471845660863,No Warning Letter Issued,10013.0
CMP-15-00179,40.719802481886624,-74.00340550224801,Warning Letter Issued,10013.0
CMP-15-00176,40.69051491864104,-73.98500650563685,No Warning Letter Issued,11201.0
CMP-15-00060,40.73059214303536,-74.00261587807347,No Warning Letter Issued,10014.0
CMP-15-00180,40.66612324675861,-73.97559311526798,Warning Letter Issued,11215.0
CMP-15-00131,40.73797267803518,-74.0056292714803,Warning Letter Issued,10014.0
CMP-15-00049,40.69069623691019,-73.97138318990565,No Warning Letter Issued,11205.0
CMP-15-00186,40.68184576125042,-73.92988801877645,No Warning Letter Issued,11233.0
CMP-15-00164,40.7483153114698,-73.88783014898553,Warning Letter Issued,11372.0
CMP-15-00013,40.67703922122439,-73.97559272555742,No Warning Letter Issued,11217.0
CMP-15-00110,40.78325692571652,-73.98196685798437,No Warning Letter Issued,10024.0
CMP-15-00037,40.7286790333725,-74.00321112365252,Warning Letter Issued,10014.0
CMP-15-00158,40.851504051641705,-73.90709943828357,No Warning Letter Issued,10453.0
CMP-15-00055,40.72371927271013,-74.00262282377312,Warning Letter Issued,10012.0
CMP-15-00178,40.72656246507174,-73.99033085609345,No Warning Letter Issued,10003.0
CMP-15-00063,40.67152422251042,-73.94840649288797,Warning Letter Issued,11216.0
CMP-15-00113,40.728557162866,-73.95352177396326,Warning Letter Issued,11222.0
CMP-15-00011,40.73715736425176,-73.9922634548858,Warning Letter Issued,10003.0
CMP-15-00021,40.74354679422912,-73.98813423510246,No Warning Letter Issued,10001.0
CMP-15-00097,40.68335815008594,-73.92991887863118,Warning Letter Issued,11233.0
CMP-15-00008,40.68448807251932,-73.93297525196117,Warning Letter Issued,11233.0
CMP-15-00074,40.79855105205007,-73.96154525835846,Warning Letter Issued,10025.0
CMP-15-00196,40.71518837617178,-74.00702696943024,No Warning Letter Issued,10007.0
