complaint,bin,community_board
CMP-15-00086,1010660.0,MN-02
CMP-15-00143,1028233.0,MN-07
CMP-15-00179,1002709.0,MN-01
CMP-15-00079,1032053.0,MN-07
CMP-15-00104,1033838.0,MN-07
CMP-15-00186,3047505.0,BK-03
CMP-15-00014,1015683.0,MN-05
CMP-15-00048,1033802.0,MN-07
CMP-15-00153,3030325.0,BK-08
CMP-15-00067,3019458.0,BK-06
CMP-15-00042,3058926.0,BK-02
CMP-15-00122,1032239.0,MN-07
CMP-15-00072,4001260.0,QN-02
CMP-15-00130,3002580.0,BK-02
CMP-15-00066,1032264.0,MN-07
CMP-15-00040,1040892.0,MN-08
CMP-15-00134,3329457.0,BK-02
CMP-15-00084,1002009.0,MN-01
CMP-15-00112,1007673.0,MN-02
CMP-15-00017,4029968.0,QN-03
CMP-15-00065,1083193.0,MN-02
CMP-15-00199,1077942.0,MN-02
CMP-15-00118,1083503.0,MN-02
CMP-15-00096,3114866.0,BK-09
CMP-15-00025,3030445.0,BK-08
CMP-15-00180,3025696.0,BK-06
CMP-15-00124,1009575.0,MN-02
CMP-15-00012,3032711.0,BK-08
CMP-15-00007,1002072.0,MN-01
CMP-15-00151,3030318.0,BK-08
CMP-15-00075,1031225.0,MN-07
CMP-15-00169,1010005.0,MN-02
CMP-15-00020,4000644.0,QN-02
CMP-15-00057,2000697.0,BX-01
CMP-15-00062,3003557.0,BK-06
CMP-15-00175,1030988.0,MN-07
CMP-15-00113,3065105.0,BK-01
CMP-15-00171,1019083.0,MN-06
CMP-15-00195,1001884.0,MN-01
CMP-15-00117,1010582.0,MN-02
CMP-15-00043,3026539.0,BK-06
CMP-15-00038,1055263.0,MN-07
CMP-15-00106,1009622.0,MN-02
CMP-15-00109,2093461.0,BX-11
CMP-15-00152,3030321.0,BK-08
CMP-15-00165,4029955.0,QN-03
CMP-15-00132,3031923.0,BK-08
CMP-15-00101,3058566.0,BK-02
CMP-15-00006,1007280.0,MN-02
CMP-15-00005,3031568.0,BK-08
CMP-15-00158,2007932.0,BX-05
CMP-15-00105,1009599.0,MN-02
CMP-15-00181,1077827.0,MN-02
CMP-15-00162,4029921.0,QN-03
CMP-15-00178,1077966.0,MN-03
CMP-15-00078,4035889.0,QN-03
CMP-15-00031,1015515.0,MN-05
CMP-15-00177,1008800.0,MN-02
CMP-15-00191,3059429.0,BK-02
CMP-15-00052,1088996.0,MN-04
CMP-15-00161,4029917.0,QN-03
CMP-15-00039,4168785.0,QN-11
CMP-15-00029,3031527.0,BK-08
CMP-15-00127,3413985.0,BK-02
CMP-15-00026,3030440.0,BK-08
CMP-15-00053,4168661.0,QN-11
CMP-15-00120,1063253.0,MN-12
CMP-15-00146,1007554.0,MN-02
CMP-15-00114,3065104.0,BK-01
CMP-15-00128,1015579.0,MN-05
CMP-15-00189,1017948.0,MN-06
CMP-15-00185,3047166.0,BK-03
CMP-15-00102,1005786.0,MN-03
CMP-15-00198,1009563.0,MN-02
CMP-15-00121,3046388.0,BK-03
CMP-15-00097,3046519.0,BK-03
CMP-15-00022,4168351.0,QN-11
CMP-15-00103,3019519.0,BK-06
CMP-15-00119,1002808.0,MN-01
CMP-15-00176,3332518.0,BK-02
CMP-15-00147,1010186.0,MN-02
CMP-15-00149,2000713.0,BX-01
CMP-15-00093,3055708.0,BK-02
CMP-15-00142,1015555.0,MN-05
CMP-15-00032,4431235.0,QN-03
CMP-15-00148,2000711.0,BX-01
CMP-15-00077,4035888.0,QN-03
CMP-15-00187,3003334.0,BK-06
CMP-15-00071,3422232.0,BK-06
CMP-15-00182,4035578.0,QN-03
CMP-15-00035,1002218.0,MN-01
CMP-15-00166,1078223.0,MN-07
CMP-15-00041,1032272.0,MN-07
CMP-15-00141,1010881.0,MN-02
CMP-15-00100,1010280.0,MN-02
CMP-15-00129,1010067.0,MN-02
CMP-15-00137,1077953.0,MN-03
CMP-15-00157,1007540.0,MN-02
CMP-15-00125,1001891.0,MN-01
CMP-15-00131,1083087.0,MN-02
CMP-15-00003,1042450.0,MN-08
CMP-15-00021,1015650.0,MN-05
CMP-15-00188,3059078.0,BK-02
CMP-15-00033,3053591.0,BK-03
CMP-15-00190,1008801.0,MN-02
CMP-15-00034,1060970.0,MN-09
CMP-15-00138,1083136.0,MN-02
CMP-15-00170,3328256.0,BK-14
CMP-15-00023,1033806.0,MN-07
CMP-15-00011,1016078.0,MN-05
CMP-15-00192,3056124.0,BK-02
CMP-15-00089,1007929.0,MN-02
CMP-15-00013,3019305.0,BK-06
CMP-15-00139,1028636.0,MN-07
CMP-15-00123,3059074.0,BK-02
CMP-15-00168,1031235.0,BK-07
CMP-15-00061,3030182.0,BK-08
CMP-15-00009,1009634.0,MN-02
CMP-15-00047,1006205.0,MN-03
CMP-15-00059,1033224.0,MN-07
CMP-15-00080,3047810.0,BK-03
CMP-15-00019,3115367.0,BK-09
CMP-15-00015,3025827.0,BK-06
CMP-15-00133,1030110.0,MN-07
CMP-15-00054,1061156.0,MN-09
CMP-15-00073,3058515.0,BK-02
CMP-15-00136,1088996.0,MN-04
CMP-15-00107,1011129.0,MN-02
CMP-15-00145,2002784.0,BX-04
CMP-15-00163,4029922.0,QN-03
CMP-15-00194,1028941.0,MN-07
CMP-15-00069,3001370.0,BK-02
CMP-15-00083,3058887.0,BK-02
CMP-15-00193,1011217.0,MN-02
CMP-15-00095,3076606.0,BK-04
CMP-15-00160,1061686.0,MN-09
CMP-15-00056,2000712.0,BX-01
CMP-15-00064,1009516.0,MN-02
CMP-15-00174,1061443.0,MN-09
CMP-15-00184,1077207.0,MN-01
CMP-15-00050,1002318.0,MN-01
CMP-15-00110,1031099.0,MN-07
CMP-15-00173,3019514.0,BK-06
CMP-15-00016,4224800.0,QN-13
CMP-15-00018,4029917.0,QN-03
CMP-15-00085,1009442.0,MN-02
CMP-15-00008,3046079.0,BK-03
CMP-15-00092,3056137.0,BK-02
CMP-15-00116,3046733.0,BK-03
CMP-15-00028,1008801.0,MN-02
CMP-15-00044,3114866.0,BK-09
CMP-15-00081,1009405.0,MN-02
CMP-15-00183,4035571.0,QN-03
CMP-15-00087,1012214.0,MN-02
CMP-15-00111,1010033.0,MN-02
CMP-15-00030,3034944.0,BK-09
CMP-15-00156,1083082.0,MN-02
CMP-15-00099,4001084.0,QN-02
CMP-15-00004,3019314.0,BK-06
CMP-15-00197,4168047.0,QN-11
CMP-15-00070,3031001.0,BK-08
CMP-15-00196,1001629.0,MN-01
CMP-15-00159,5000145.0,SI-01
CMP-15-00098,1010860.0,MN-02
CMP-15-00094,2001159.0,BX-01
CMP-15-00144,1046981.0,MN-08
CMP-15-00002,3030313.0,BK-08
CMP-15-00154,1001199.0,MN-01
CMP-15-00091,3056683.0,BK-02
CMP-15-00037,1008354.0,MN-02
CMP-15-00172,1001534.0,MN-01
CMP-15-00027,1060997.0,MN-09
CMP-15-00051,1002711.0,MN-01
CMP-15-00164,4029959.0,QN-03
CMP-15-00074,1055615.0,MN-07
CMP-15-00049,3398674.0,BK-02
CMP-15-00060,1010059.0,MN-02
CMP-15-00076,3059143.0,BK-02
CMP-15-00167,1046787.0,MN-08
CMP-15-00045,1008202.0,MN-02
CMP-15-00135,2007649.0,BX-05
CMP-15-00140,4029691.0,QN-03
CMP-15-00010,1009848.0,MN-02
CMP-15-00126,1005786.0,MN-03
CMP-15-00068,4168662.0,QN-11
CMP-15-00036,3146819.0,BK-10
CMP-15-00063,3032302.0,BK-08
CMP-15-00046,1011648.0,MN-02
CMP-15-00200,1010183.0,MN-02
CMP-15-00058,3189607.0,BK-13
CMP-15-00155,2005443.0,BX-02
CMP-15-00150,2000718.0,BX-01
CMP-15-00088,4035455.0,QN-03
CMP-15-00055,1007308.0,MN-02
CMP-15-00108,1034200.0,MN-05
CMP-15-00024,3030444.0,BK-08
CMP-15-00082,1010192.0,MN-02
CMP-15-00090,3056115.0,BK-02
CMP-15-00115,1031224.0,MN-07
CMP-15-00001,1088996.0,MN-04
