bin,work_reported,community_council,nta,street_name,block,date,borough
3030325.0,Painting facades and stoops,36.0,Crown Heights North,Dean Street,1212.0,2014-09-05T00:00:00.000,Brooklyn
3030318.0,Painting facades and stoops,36.0,Crown Heights North,Dean Street,1212.0,2014-09-05T00:00:00.000,Brooklyn
3032302.0,brownstone work without permits,35.0,Crown Heights North,St. John's Place,1255.0,2014-07-30T00:00:00.000,Brooklyn
4001260.0,Alts at base of building,26.0,Hunters Point-Sunnyside-West Maspeth,47th Street,137.0,2014-08-01T00:00:00.000,Queens
3001370.0,Replacing sidewalk,33.0,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Dean Street,196.0,2014-07-31T00:00:00.000,Brooklyn
2000713.0,ongoing work,8.0,Mott Haven-Port Morris,Alexander Avenue,2314.0,2014-09-05T00:00:00.000,bronx
3034944.0,Ongoing façade work,40.0,Prospect Lefferts Gardens-Wingate,Sterling Street,1319.0,2014-07-15T00:00:00.000,Brooklyn
3026539.0,Replacement of windows without permits,39.0,Park Slope-Gowanus,13th Street,1101.0,2014-07-23T00:00:00.000,Brooklyn
3031527.0,stoop work,36.0,Crown Heights North,Park Place,1241.0,2014-07-15T00:00:00.000,Brooklyn
1001629.0,painting base of building and curb,1.0,SoHo-TriBeCa-Civic Center-Little Italy,Reade Street,149.0,2014-09-19T00:00:00.000,Manhattan
2000718.0,conduit,8.0,Mott Haven-Port Morris,Alexander Avenue,2314.0,2014-09-05T00:00:00.000,bronx
3019305.0,Jackhammering front steps,39.0,Park Slope-Gowanus,St. Johns Place,945.0,2014-07-08T00:00:00.000,Brooklyn
3114866.0,Installing posts for a fence,40.0,Prospect Lefferts Gardens-Wingate,Bedford Avenue,5031.0,2014-08-11T00:00:00.000,Brooklyn
1088996.0,installation of exhaust vents and lights; vents removed-check lighting and bar in areaway,3.0,Hudson Yards-Chelsea-Flatiron-Union Square,10th Avenue,718.0,2014-08-28T00:00:00.000,Manhattan
3019514.0,Sidewalk replacement,39.0,Park Slope-Gowanus,Lincoln Place,948.0,2014-09-10T00:00:00.000,Brooklyn
3413985.0,"Removal of ac unit at backyard, replacement of gate",33.0,Brooklyn Heights-Cobble Hill,Hicks Street,260.0,2014-08-25T00:00:00.000,Brooklyn
1002218.0,Construction of a rooftop addition without permits,1.0,SoHo-TriBeCa-Civic Center-Little Italy,Broadway,193.0,2014-07-17T00:00:00.000,Manhattan
4001084.0,Constructing a deck,26.0,Hunters Point-Sunnyside-West Maspeth,48th Street,133.0,2014-08-13T00:00:00.000,Queens
1061686.0,"Installation of awning above the front door, installation of slate roof tiles",7.0,Hamilton Heights,West 154th Street,2068.0,2014-09-05T00:00:00.000,Manhattan
4029921.0,Cemented side yards,25.0,Jackson Heights,79th Street,1289.0,2014-09-06T00:00:00.000,Queens
3047810.0,Installation of lights without permits; photograph Chauncey Street façade,36.0,Crown Heights North,Bainbridge Street,1686.0,2014-08-04T00:00:00.000,Brooklyn
3030440.0,Replacement of Door,36.0,Crown Heights North,Bergen Street,1214.0,2014-07-15T00:00:00.000,Brooklyn
1042450.0,Construction of rear yard addition without permits; photographs with complaint file,4.0,Upper East Side-Carnegie Hill,East 65th Street,1400.0,2014-07-01T00:00:00.000,Manhattan
1010280.0,Alteration to basement entrance,3.0,West Village,Christopher Street,593.0,2014-08-13T00:00:00.000,Manhattan
3030321.0,Painting facades and stoops,36.0,Crown Heights North,Dean Street,1212.0,2014-09-05T00:00:00.000,Brooklyn
1046981.0,Painting portions of façade white,4.0,Upper East Side-Carnegie Hill,East 90th Street,1502.0,2014-09-04T00:00:00.000,Manhattan
1078223.0,Installation of signage and lighting,6.0,Upper West Side,Broadway,1229.0,2014-09-08T00:00:00.000,Manhattan
3398674.0,Installation of projecting bay in noncompliance?,35.0,Fort Greene,Adelphi Street,2090.0,2014-07-25T00:00:00.000,Brooklyn
1010186.0,Installation of signage in noncompliance,3.0,West Village,7th avenue south,591.0,2014-09-05T00:00:00.000,Manhattan
1015650.0,Installation of sf in noncompliance,2.0,Hudson Yards-Chelsea-Flatiron-Union Square,Fifth Avenue,828.0,2014-07-14T00:00:00.000,Manhattan
3031001.0,Replacing cornice,36.0,Crown Heights North,St. Marks Avenue,1227.0,2014-07-31T00:00:00.000,Brooklyn
1063253.0,Installation of signage at laundromat,7.0,Washington Heights South,West 157th Street,2134.0,2014-08-21T00:00:00.000,Manhattan
3046388.0,Removal of windows,36.0,Stuyvesant Heights,Macon Street,1664.0,2014-08-22T00:00:00.000,Brooklyn
3003334.0,Installation of wood enclosure at rear of property,39.0,Carroll Gardens-Columbia Street-Red Hook,Warren Place,305.0,2014-09-17T00:00:00.000,Brooklyn
4035888.0,Removal of slate roof,25.0,Jackson Heights,88th Street,1461.0,2014-08-04T00:00:00.000,Queens
1077207.0,Painting building,1.0,SoHo-TriBeCa-Civic Center-Little Italy,Duane Street,146.0,2014-09-15T00:00:00.000,Manhattan
1030110.0,Installation of garbage enclosures,6.0,Upper West Side,West 75th Street,1146.0,2014-08-26T00:00:00.000,Manhattan
1008800.0,"Installation of security cameras, signage and frosted glass",2.0,West Village,Broadway,545.0,2014-09-12T00:00:00.000,Manhattan
1002709.0,Installation of awning on canal street and replacement of windows at 330 Canal,1.0,SoHo-TriBeCa-Civic Center-Little Italy,Lispenard Street,210.0,2014-09-12T00:00:00.000,Manhattan
1002711.0,Cutting the shutters and doors to make a grill,1.0,SoHo-TriBeCa-Civic Center-Little Italy,Lispenard Street,210.0,2014-07-25T00:00:00.000,Manhattan
1010033.0,Removal of storm windows,3.0,West Village,Bedford Street,588.0,2014-08-17T00:00:00.000,Manhattan
1015515.0,"Installation of signage, noncompliant sf; sloppy work at upper floors",3.0,Hudson Yards-Chelsea-Flatiron-Union Square,6th Avenue,822.0,2014-07-16T00:00:00.000,Manhattan
1032264.0,Painting the ground and façade lime green,6.0,Upper West Side,West 88th Street,1218.0,2014-07-30T00:00:00.000,Manhattan
3059078.0,Through wall ac,35.0,Fort Greene,Adelphi Street,2104.0,2014-09-18T00:00:00.000,Brooklyn
1083136.0,Damaging façade from removal of signage,3.0,West Village,West 12th Street,575.0,2014-08-28T00:00:00.000,Manhattan
1077966.0,Alteration to façade,2.0,East Village,East 4th Street,459.0,2014-09-12T00:00:00.000,Manhattan
3046733.0,Replacement of windows,36.0,Stuyvesant Heights,Macon Street,1669.0,2014-08-20T00:00:00.000,Brooklyn
1010183.0,Installing outdoors lights and signage,3.0,West Village,7th Avenue South,591.0,2014-09-22T00:00:00.000,Manhattan
3025696.0,Installation of signage without permits,39.0,Park Slope-Gowanus,Prospect Park West,1087.0,2014-09-12T00:00:00.000,Brooklyn
1028233.0,Window and ac work,6.0,Lincoln Square,West 67th Street,1119.0,2014-09-03T00:00:00.000,Manhattan
3053591.0,"Cutting decorative elements from the façade, interior alts",36.0,Stuyvesant Heights,decatur Street,1856.0,2014-07-16T00:00:00.000,Brooklyn
4168047.0,Cutting down trees,19.0,Douglas Manor-Douglaston-Little Neck,Richmond Road,8020.0,2014-09-19T00:00:00.000,Queens
3058515.0,Replacement of windows in noncompliance,35.0,Fort Greene,Adelphi Street,2090.0,2014-08-01T00:00:00.000,Brooklyn
3058926.0,excavation,35.0,Fort Greene,South Oxford Street,2101.0,2014-07-22T00:00:00.000,Brooklyn
3056115.0,garbage enclosure,35.0,Clinton Hill,St. James Place,1964.0,2014-08-08T00:00:00.000,Brooklyn
4035889.0,Removal of slate roof,25.0,Jackson Heights,88th Street,1461.0,2014-08-04T00:00:00.000,Queens
1015579.0,"Installation of doors in noncompliance-metal; ramp, bulkhead",3.0,Hudson Yards-Chelsea-Flatiron-Union Square,West 24th Street,825.0,2014-08-25T00:00:00.000,Manhattan
1055263.0,Interior alts/renovation,7.0,Upper West Side,Central Park West,1832.0,2014-07-18T00:00:00.000,Manhattan
1009634.0,Interior demolition without permits,3.0,West Village,West 12th Street,576.0,2014-07-07T00:00:00.000,Manhattan
1033838.0,Installation of signage plaques without permits,6.0,Upper West Side,Riverside Drive,1246.0,2014-08-13T00:00:00.000,Manhattan
4029691.0,Installation of signage,25.0,Jackson Heights,37th Avenue,1281.0,2014-09-01T00:00:00.000,Queens
4029922.0,Cemented side yards,25.0,Jackson Heights,79th Street,1289.0,2014-09-06T00:00:00.000,Queens
1007673.0,Installation of planters on sidewalk without permits,1.0,SoHo-TriBeCa-Civic Center-Little Italy,Greene Street,500.0,2014-08-18T00:00:00.000,Manhattan
1007308.0,Alteration to residential door surround (completed between 2009 and 2011),1.0,SoHo-TriBeCa-Civic Center-Little Italy,West Broadway,487.0,2014-07-28T00:00:00.000,Manhattan
1010660.0,Bad pointing at parlor floor,3.0,West Village,West 13th Street,609.0,2014-08-06T00:00:00.000,Manhattan
3055708.0,resurfacing façade,35.0,Clinton Hill,St. James Place,1951.0,2014-08-08T00:00:00.000,Brooklyn
3046519.0,ongoing façade work,36.0,Stuyvesant Heights,Macon Street,1666.0,2014-08-11T00:00:00.000,Brooklyn
2002784.0,Repainting the fire escapes without permits,17.0,East Concourse-Concourse Village,Grand Concourse,2458.0,2014-09-04T00:00:00.000,bronx
4029968.0,Installation of fence,25.0,Jackson Heights,79th Street,1290.0,2014-07-11T00:00:00.000,Queens
1077953.0,Installation of HVAC at rear,2.0,East Village,Avenue A,430.0,2014-08-28T00:00:00.000,Manhattan
1001534.0,Installation of trough and arbors at rear courtyard,1.0,SoHo-TriBeCa-Civic Center-Little Italy,Harrison Street,142.0,2014-09-10T00:00:00.000,Manhattan
1015555.0,"alts to entrance doors,",3.0,Hudson Yards-Chelsea-Flatiron-Union Square,6th Avenue,823.0,2014-09-03T00:00:00.000,Manhattan
3065104.0,Installation of signage,33.0,Greenpoint,Manhattan Avenue,2573.0,2014-08-18T00:00:00.000,Brooklyn
1010192.0,painting the storefront,3.0,West Village,Bleecker Street,591.0,2014-08-05T00:00:00.000,Manhattan
3056137.0,garbage enclosure,35.0,Clinton Hill,St. James Place,1964.0,2014-08-08T00:00:00.000,Brooklyn
1033806.0,Painting the brownstone green without permits,6.0,Upper West Side,West 83rd Street,1245.0,2014-07-14T00:00:00.000,Manhattan
1005786.0,Replacement of windows,2.0,East Village,East 7th Street,434.0,2014-08-25T00:00:00.000,Manhattan
3047166.0,Front door redone,36.0,Crown Heights North,Decatur Street,1676.0,2014-09-17T00:00:00.000,Brooklyn
3019458.0,Installation of fountain and benches at Lincoln Place without permits,39.0,Park Slope-Gowanus,6th Avenue,948.0,2014-07-31T00:00:00.000,Brooklyn
1028636.0,Wall knocked down and huge hole--at 30th floor,6.0,Lincoln Square,West 72nd Street,1125.0,2014-08-29T00:00:00.000,Manhattan
3031923.0,Interior renovation; replacement of windows and installation of rear deck,35.0,Crown Heights North,Sterling Place,1248.0,2014-08-26T00:00:00.000,Brooklyn
1032053.0,Installation of louver at West 82nd Street façade--near residential entrance,6.0,Upper West Side,Amsterdam Avenue,1213.0,2014-08-04T00:00:00.000,Manhattan
4000644.0,Painting front façade,26.0,Hunters Point-Sunnyside-West Maspeth,45th Avenue,78.0,2014-07-14T00:00:00.000,Queens
3059429.0,Façade work,35.0,,LAFAYETTE AVENUE,2120.0,2014-09-18T00:00:00.000,BROOKLYN
1032239.0,Installation of temporary signage?,6.0,Upper West Side,West 87th Street,1218.0,2014-08-22T00:00:00.000,Manhattan
2005443.0,FTM,17.0,Longwood,Kelly Street,2701.0,2014-09-05T00:00:00.000,bronx
1015683.0,installation of awning and replacement of storefronts (?) without permits,3.0,Hudson Yards-Chelsea-Flatiron-Union Square,Broadway,829.0,2014-07-09T00:00:00.000,Manhattan
1060970.0,"Stoop, stairs in disrepair",7.0,Hamilton Heights,Hamilton Terrace,2050.0,2014-07-16T00:00:00.000,Manhattan
3019519.0,"Water fountain, monuments",39.0,Park Slope-Gowanus,Lincoln Place,948.0,2014-08-13T00:00:00.000,Brooklyn
1008354.0,Installation of sf without permits,3.0,West Village,West houston Street,527.0,2014-07-17T00:00:00.000,Manhattan
1017948.0,Patching façade in noncompliance,2.0,Gramercy,Gramercy Park West,876.0,2014-09-18T00:00:00.000,Manhattan
1028941.0,Installation of illuminated signage,6.0,Lincoln Square,Columbus Avenue,1140.0,2014-09-19T00:00:00.000,Manhattan
4168785.0,Failure to maintain.,19.0,Douglas Manor-Douglaston-Little Neck,Prospect Avenue,8105.0,2014-07-18T00:00:00.000,Queens
1009442.0,Painting façade,3.0,West Village,West 8th Street,572.0,2014-08-05T00:00:00.000,Manhattan
1040892.0,Installation of sf cladding--purple,4.0,Upper East Side-Carnegie Hill,Madison Avenue,1377.0,2014-07-21T00:00:00.000,Manhattan
1055615.0,Painting base of building,7.0,Upper West Side,Manhattan Avenue,1841.0,2014-08-01T00:00:00.000,Manhattan
3328256.0,Installation of cross in walkway at church,40.0,Flatbush,East 19th Street,5182.0,2014-09-10T00:00:00.000,Brooklyn
1061156.0,Illegal interior work,9.0,Hamilton Heights,Saint Nicholas Avenue,2053.0,2014-07-28T00:00:00.000,Manhattan
1077942.0,Replacement of sf,1.0,SoHo-TriBeCa-Civic Center-Little Italy,Canal Street,230.0,2014-09-20T00:00:00.000,Manhattan
