work_reported,address,landmark_name
Painting facades and stoops,1180,Crown Heights North - Historic District
Painting facades and stoops,1166,Crown Heights North - Historic District
brownstone work without permits,908,Crown Heights North  II - Historic District
Alts at base of building,41-10A,Sunnyside Gardens - Historic District
Replacing sidewalk,208,Boerum Hill - Historic District
ongoing work,295,Mott Haven - Historic District
Ongoing façade work,138,Prospect Lefferts Gardens - Historic District
Replacement of windows without permits,502,Park Slope - Historic District
stoop work,852,Crown Heights North  II - Historic District
painting base of building and curb,77,Tribeca South - Historic District
conduit,285,Mott Haven - Historic District
Jackhammering front steps,113,Park Slope - Historic District
Installing posts for a fence,1860,Prospect Lefferts Gardens - Historic District
installation of exhaust vents and lights; vents removed-check lighting and bar in areaway,180,Chelsea - Historic District
Sidewalk replacement,109,Park Slope - Historic District
"Removal of ac unit at backyard, replacement of gate",314,Brooklyn Heights - Historic District
Construction of a rooftop addition without permits,391,Tribeca East - Historic District
Constructing a deck,39-57,Sunnyside Gardens - Historic District
"Installation of awning above the front door, installation of slate roof tiles",421,Hamilton Heights/Sugar Hill Northwest - Historic District
Cemented side yards,37-24,Jackson Heights - Historic District
Installation of lights without permits; photograph Chauncey Street façade,180,Bedford Stuyvesant/Expanded Stuyvesant Heights - Historic District
Replacement of Door,1209,Crown Heights North - Historic District
Construction of rear yard addition without permits; photographs with complaint file,131,Upper East Side - Historic District
Alteration to basement entrance,14,Greenwich Village - Historic District
Painting facades and stoops,1172,Crown Heights North - Historic District
Painting portions of façade white,15,15 East 90th Street House - Individual Landmark;  Expanded Carnegie Hill - Historic District
Installation of signage and lighting,2273,Riverside-West End  Extension I - Historic District
Installation of projecting bay in noncompliance?,232,Fort Greene - Historic District
Installation of signage in noncompliance,101,Greenwich Village - Historic District
Installation of sf in noncompliance,218-220,Madison Square North - Historic District
Replacing cornice,750,Crown Heights North  II - Historic District
Installation of signage at laundromat,614,Audubon Park - Historic District
Removal of windows,391,Bedford Stuyvesant/Expanded Stuyvesant Heights - Historic District
Installation of wood enclosure at rear of property,1,Cobble Hill - Historic District
Removal of slate roof,35-54,Jackson Heights - Historic District
Painting building,148,Tribeca South - Historic District
Installation of garbage enclosures,162,Upper West Side/Central Park West - Historic District
"Installation of security cameras, signage and frosted glass",738,NoHo - Historic District
Installation of awning on canal street and replacement of windows at 330 Canal,39-41,Tribeca East - Historic District
Cutting the shutters and doors to make a grill,43,Tribeca East - Historic District
Removal of storm windows,104,Greenwich Village - Historic District
"Installation of signage, noncompliant sf; sloppy work at upper floors",668,Ladies' Mile - Historic District
Painting the ground and façade lime green,164,Upper West Side/Central Park West - Historic District
Through wall ac,269,Fort Greene - Historic District
Damaging façade from removal of signage,66,Greenwich Village - Historic District;  New School for Social Research - Interior Landmark
Alteration to façade,70,East Village/Lower East Side - Historic District
Replacement of windows,360,Bedford Stuyvesant/Expanded Stuyvesant Heights - Historic District
Installing outdoors lights and signage,100,Greenwich Village - Historic District
Installation of signage without permits,112,Park Slope - Historic District
Window and ac work,40,Upper West Side/Central Park West - Historic District
"Cutting decorative elements from the façade, interior alts",137,Bedford Stuyvesant/Expanded Stuyvesant Heights - Historic District
Cutting down trees,14,Douglaston - Historic District
Replacement of windows in noncompliance,236,Fort Greene - Historic District
excavation,73,Fort Greene - Historic District
garbage enclosure,133,Clinton Hill - Historic District
Removal of slate roof,35-56,Jackson Heights - Historic District
"Installation of doors in noncompliance-metal; ramp, bulkhead",28,Ladies' Mile - Historic District
Interior alts/renovation,361,First Church of Christ Scientist of New York City - Individual Landmark
Interior demolition without permits,71,Greenwich Village - Historic District
Installation of signage plaques without permits,125,Riverside-West End  Extension I - Historic District
Installation of signage,81-05,Jackson Heights - Historic District
Cemented side yards,37-26,Jackson Heights - Historic District
Installation of planters on sidewalk without permits,97,SoHo-Cast Iron - Historic District
Alteration to residential door surround (completed between 2009 and 2011),375,SoHo-Cast Iron - Historic District
Bad pointing at parlor floor,149,Greenwich Village - Historic District
resurfacing façade,67,Clinton Hill - Historic District
ongoing façade work,547,Bedford Stuyvesant/Expanded Stuyvesant Heights - Historic District
Repainting the fire escapes without permits,750,Grand Concourse - Historic District
Installation of fence,37-05,Jackson Heights - Historic District
Installation of HVAC at rear,41,First Houses - Individual Landmark
Installation of trough and arbors at rear courtyard,27A,315 Washington Street House (now 27A Harrison Street) - Individual Landmark
"alts to entrance doors,",688,Ladies' Mile - Historic District
Installation of signage,831,Greenpoint - Historic District
painting the storefront,321,Greenwich Village - Historic District
garbage enclosure,89,Clinton Hill - Historic District
Painting the brownstone green without permits,314,Riverside-West End  Extension I - Historic District
Replacement of windows,118,East Village/Lower East Side - Historic District
Front door redone,365,Bedford Stuyvesant/Expanded Stuyvesant Heights - Historic District
Installation of fountain and benches at Lincoln Place without permits,173,Park Slope - Historic District
Wall knocked down and huge hole--at 30th floor,15,Upper West Side/Central Park West - Historic District
Interior renovation; replacement of windows and installation of rear deck,874,Crown Heights North  II - Historic District
Installation of louver at West 82nd Street façade--near residential entrance,461,Upper West Side/Central Park West - Historic District
Painting front façade,21-45,Hunters Point - Historic District
Façade work,140,Fort Greene - Historic District
Installation of temporary signage?,131,Upper West Side/Central Park West - Historic District
FTM,741,Longwood - Historic District
installation of awning and replacement of storefronts (?) without permits,1165,Madison Square North - Historic District
"Stoop, stairs in disrepair",38,Hamilton Heights - Historic District
"Water fountain, monuments",97,Park Slope - Historic District
Installation of sf without permits,178,Greenwich Village  Extension II - Historic District
Patching façade in noncompliance,1,Gramercy Park - Historic District
Installation of illuminated signage,186,Upper West Side/Central Park West - Historic District
Failure to maintain.,41-23,Douglaston Hill - Historic District
Painting façade,31,Greenwich Village - Historic District
Installation of sf cladding--purple,694,Upper East Side - Historic District
Painting base of building,140,Manhattan Avenue - Historic District
Installation of cross in walkway at church,424,Ditmas Park - Historic District
Illegal interior work,772,Hamilton Heights/Sugar Hill - Historic District
Replacement of sf,319,SoHo-Cast Iron - Historic District
Power washed building and replaced roof,109,Douglaston - Historic District
painting base of building without permits,903,Crown Heights North  II - Historic District
replacement of top floor windows,111,Murray Hill - Historic District
"Homeless people living inside, selling scraps, removal of window frames",1301,Coney Island Theater (later Shore Theater) Building - Individual Landmark
"Stoop work, façade work",151,Fort Greene - Historic District
Replacement of windows without permits,118,Park Slope - Historic District
installation of platform at sidewalk café,369,Tribeca West - Historic District
Installation illumination at periphery of window,466,SoHo-Cast Iron - Historic District
work being done; working on building façade,93,Park Slope - Historic District
Building cemented shut,1992,Morris Avenue - Historic District
Installation of Subway signage at the pay phone,365,West End - Collegiate - Historic District
"Wire exposed, lights hanging",45,
Covered signband with plastic material without permits; added light fixtures,465,Greenwich Village - Historic District
Possible FTM; antennas,2800,United Workers' Cooperative Colony ('The Coops') - Individual Landmark
"Painting sf, awning, security camera, goosenecks, sf?",628,Greenwich Village - Historic District
Installation of a thruwall heater,57,Tribeca North - Historic District
"Dust from construction site, work outside of scope of permits",157,Brooklyn Heights - Historic District
New awning and signage,829,Greenpoint - Historic District
Replacement of Door,1201,Crown Heights North - Historic District
