grade_2,ela_level_1_1,school_name,ela_level_3,other_1,ell_bengali_1,grade_8,asian_1,male,math_level_4,grade_3,ell_korean_1,ell_arabic,ell_korean,black,math_test_takers,math_level_1,other
s,s,The Anderson School,s,s,No Data,No Data,s,s,s,s,No Data,No Data,No Data,s,s,s,s
s,s,P.S. 124 Yung Wing,s,s,s,No Data,100.0%,s,s,s,s,s,s,s,s,s,s
s,s,P.S. 015 Roberto Clemente,s,s,No Data,No Data,s,s,s,s,No Data,No Data,No Data,s,s,s,s
19,s,"New Explorations into Science, Technology and Math",12,9.3%,No Data,No Data,47.7%,46,37,18,No Data,No Data,No Data,6,43,s,8
s,s,P.S. 188 The Island School,s,s,No Data,No Data,s,s,s,s,No Data,No Data,No Data,s,s,s,s
No Data,s,P.S. 165 Robert E. Simon,s,s,No Data,No Data,s,s,s,s,No Data,No Data,No Data,s,s,s,s
64,s,P.S. 011 William T. Harris,75,9.3%,No Data,No Data,24.7%,176,173,64,No Data,No Data,No Data,s,209,s,36
No Data,s,M.S. 131,7,s,No Data,6,90.9%,s,9,No Data,No Data,No Data,No Data,s,11,s,s
No Data,s,P.S. 111 Adolph S. Ochs,s,s,No Data,No Data,s,s,s,No Data,No Data,No Data,No Data,s,s,s,s
No Data,20.3%,M.S. M247 Dual Language Middle School,20,s,No Data,19,s,33,16,No Data,No Data,No Data,No Data,s,74,22,s
s,s,P.S./I.S. 217 Roosevelt Island,9,s,No Data,No Data,21.9%,13,22,6,No Data,No Data,No Data,s,25,s,s
s,s,P.S. 163 Alfred E. Smith,s,s,s,No Data,s,s,s,s,s,s,s,s,7,s,s
9,35.0%,P.S. 184m Shuang Wen,s,s,No Data,No Data,60.9%,63,14,10,No Data,No Data,No Data,7,58,21,s
14,41.2%,"P.S. 145, The Bloomingdale School",s,s,No Data,No Data,s,29,s,16,No Data,No Data,No Data,11,52,24,s
s,s,P.S. 180 Hugo Newman,s,s,No Data,No Data,s,s,s,s,No Data,No Data,No Data,s,s,s,s
25,20.4%,P.S. 020 Anna Silver,14,s,No Data,No Data,66.2%,33,16,20,No Data,No Data,No Data,6,49,9,s
s,s,P.S. 087 William Sherman,s,s,No Data,No Data,s,6,s,s,No Data,No Data,No Data,s,7,s,s
s,s,P.S. 020 Anna Silver,s,s,No Data,No Data,s,s,s,s,No Data,No Data,No Data,s,9,s,s
s,No Data,P.S. 163 Alfred E. Smith,No Data,s,s,No Data,s,s,No Data,No Data,s,s,s,s,No Data,No Data,s
s,s,P.S. 110 Florence Nightingale,s,s,No Data,No Data,s,s,s,s,No Data,No Data,No Data,s,s,s,s
s,No Data,"New Explorations into Science, Technology and Math",No Data,s,No Data,No Data,s,s,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s
No Data,21.7%,M.S. M247 Dual Language Middle School,38,s,No Data,44,s,59,20,No Data,No Data,No Data,No Data,s,131,45,s
No Data,s,P.S. 001 Alfred E. Smith,s,s,No Data,No Data,s,s,s,s,No Data,No Data,No Data,s,s,s,s
s,s,P.S. 165 Robert E. Simon,6,s,No Data,No Data,s,14,s,s,No Data,No Data,No Data,9,15,s,s
s,s,"New Explorations into Science, Technology and Math",9,s,No Data,No Data,s,14,10,6,No Data,No Data,No Data,s,16,s,s
s,s,Tag Young Scholars,s,s,No Data,No Data,s,10,7,s,No Data,No Data,No Data,7,9,s,s
56,s,P.S. 166 The Richard Rodgers School of The Arts an,40,11.8%,No Data,No Data,16.6%,159,138,56,No Data,No Data,No Data,9,152,s,37
s,s,Tag Young Scholars,s,s,No Data,No Data,s,s,s,s,No Data,No Data,No Data,s,s,s,s
14,s,P.S. 165 Robert E. Simon,25,s,No Data,No Data,s,47,34,22,No Data,No Data,No Data,15,56,s,s
No Data,s,The Riverside School for Makers and Artists,s,s,No Data,No Data,s,s,s,6,No Data,No Data,No Data,s,6,s,s
s,s,P.S./I.S. 217 Roosevelt Island,s,s,No Data,No Data,s,s,s,s,No Data,No Data,No Data,s,s,s,s
s,s,P.S. 124 Yung Wing,s,s,No Data,No Data,100.0%,21,20,s,No Data,No Data,No Data,s,22,s,s
6,s,P.S. 111 Adolph S. Ochs,6,s,No Data,No Data,32.1%,13,10,6,No Data,No Data,No Data,s,14,s,s
s,s,P.S. 020 Anna Silver,s,s,No Data,No Data,s,s,s,s,No Data,No Data,No Data,s,s,s,s
13,48.4%,P.S. 075 Emily Dickinson,s,s,s,No Data,s,36,s,15,s,s,s,s,32,18,s
9,s,P.S. 163 Alfred E. Smith,14,s,No Data,No Data,s,27,9,10,No Data,No Data,No Data,s,29,s,s
s,s,P.S. 188 The Island School,16,s,No Data,No Data,s,23,s,13,No Data,No Data,No Data,12,29,8,s
12,12.5%,P.S. 184m Shuang Wen,35,6.8%,No Data,No Data,78.9%,79,70,13,No Data,No Data,No Data,s,107,7,10
20,41.2%,James Weldon Johnson,s,s,No Data,No Data,s,33,s,17,No Data,No Data,No Data,s,16,7,s
s,s,P.S. 087 William Sherman,s,s,No Data,No Data,s,s,s,s,No Data,No Data,No Data,s,s,s,s
s,s,P.S. 163 Alfred E. Smith,s,s,No Data,No Data,s,s,s,No Data,No Data,No Data,No Data,s,s,s,s
No Data,54.5%,M.S. 131,s,s,s,s,100.0%,s,s,No Data,s,s,s,s,11,s,s
19,s,P.S. 075 Emily Dickinson,25,s,No Data,No Data,s,61,10,26,No Data,No Data,No Data,11,65,19,s
No Data,s,School for Global Leaders,s,s,No Data,No Data,s,s,s,No Data,No Data,No Data,No Data,s,s,s,s
No Data,s,Lafayette Academy,s,s,No Data,s,s,s,s,No Data,No Data,No Data,No Data,s,s,s,s
31,s,The Anderson School,25,10.0%,No Data,No Data,35.5%,103,94,35,No Data,No Data,No Data,6,104,s,20
No Data,s,Lafayette Academy,6,s,No Data,12,s,s,s,No Data,No Data,No Data,No Data,7,12,s,s
36,17.3%,P.S. 020 Anna Silver,24,s,No Data,No Data,60.4%,51,28,30,No Data,No Data,No Data,s,75,12,s
No Data,s,Lafayette Academy,s,s,No Data,10,s,s,s,No Data,No Data,No Data,No Data,7,10,s,s
10,s,P.S. 084 Lillian Weber,21,s,No Data,No Data,s,27,s,19,No Data,No Data,No Data,6,41,s,s
60,s,The Anderson School,40,12.3%,No Data,No Data,31.2%,173,150,57,No Data,No Data,No Data,9,165,s,41
6,s,P.S. 188 The Island School,s,s,No Data,No Data,s,6,s,s,No Data,No Data,No Data,6,8,s,s
No Data,s,The Riverside School for Makers and Artists,7,s,No Data,No Data,s,s,s,11,No Data,No Data,No Data,s,11,s,s
27,12.1%,P.S. 184m Shuang Wen,94,1.6%,No Data,No Data,79.4%,192,131,50,No Data,No Data,No Data,15,250,22,6
No Data,No Data,P.S. 130 Hernando De Soto,No Data,s,s,No Data,s,s,No Data,No Data,s,s,s,s,No Data,No Data,s
66,s,Tag Young Scholars,42,10.4%,No Data,No Data,39.7%,195,162,63,No Data,No Data,No Data,63,190,s,38
No Data,s,P.S. 084 Lillian Weber,s,s,No Data,No Data,s,s,s,s,No Data,No Data,No Data,s,6,s,s
s,s,P.S. 198 Isador E. Ida Straus,s,s,No Data,No Data,66.7%,9,8,s,No Data,No Data,No Data,s,10,s,s
No Data,s,P.S. 163 Alfred E. Smith,s,s,No Data,No Data,s,s,s,s,No Data,No Data,No Data,s,s,s,s
24,32.0%,P.S. 165 Robert E. Simon,28,s,No Data,8,s,67,16,23,No Data,No Data,No Data,s,97,31,s
17,s,P.S./I.S. 217 Roosevelt Island,24,s,No Data,No Data,16.1%,58,42,11,No Data,No Data,No Data,s,58,s,s
s,s,P.S. 001 Alfred E. Smith,s,s,No Data,No Data,62.5%,7,s,s,No Data,No Data,No Data,s,s,s,s
s,No Data,P.S. 77 Lower Lab School,No Data,s,No Data,No Data,s,s,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s
s,s,P.S. 163 Alfred E. Smith,s,s,No Data,No Data,s,10,8,s,No Data,No Data,No Data,6,8,s,s
10,38.6%,P.S. 075 Emily Dickinson,s,s,No Data,No Data,s,47,s,11,No Data,No Data,No Data,s,43,19,s
6,s,P.S. 77 Lower Lab School,8,s,No Data,No Data,s,24,13,7,No Data,No Data,No Data,s,22,s,s
s,62.2%,P.S. 165 Robert E. Simon,s,s,s,8,s,19,s,11,s,s,s,s,37,22,s
No Data,s,Lafayette Academy,s,s,No Data,s,s,s,s,No Data,No Data,No Data,No Data,s,s,s,s
No Data,No Data,"East Side Elementary School, PS 267",No Data,s,No Data,No Data,s,s,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s
No Data,s,P.S. 033 Chelsea Prep,s,s,No Data,No Data,s,s,s,No Data,No Data,No Data,No Data,s,s,s,s
s,s,P.S. 180 Hugo Newman,s,s,No Data,No Data,s,24,11,14,No Data,No Data,No Data,10,31,6,s
s,No Data,P.S. 033 Chelsea Prep,No Data,s,s,No Data,s,s,No Data,No Data,s,s,s,s,No Data,No Data,s
9,48.8%,P.S. 008 Luis Belliard,s,s,s,No Data,s,36,s,15,s,s,s,s,48,18,s
s,s,P.S. 188 The Island School,s,s,s,No Data,s,s,s,s,s,s,s,s,6,s,s
No Data,s,"Technology, Arts, and Sciences Studio",s,s,No Data,No Data,s,s,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s
19,48.1%,Dos Puentes Elementary School,s,s,s,No Data,s,53,s,30,s,s,s,s,52,34,s
s,s,P.S. 033 Chelsea Prep,s,s,No Data,No Data,s,s,s,s,No Data,No Data,No Data,s,s,s,s
s,s,P.S. 084 Lillian Weber,s,s,No Data,No Data,s,s,s,6,No Data,No Data,No Data,s,9,s,s
s,s,P.S. 166 The Richard Rodgers School of The Arts an,s,s,No Data,No Data,s,s,s,s,No Data,No Data,No Data,s,s,s,s
45,20.6%,P.S. 075 Emily Dickinson,54,s,No Data,No Data,s,128,28,51,No Data,No Data,No Data,22,131,34,s
24,4.9%,P.S. 084 Lillian Weber,55,s,No Data,No Data,s,82,66,58,No Data,No Data,No Data,s,144,7,s
s,s,P.S. 165 Robert E. Simon,8,s,No Data,No Data,s,14,8,8,No Data,No Data,No Data,7,17,s,s
s,s,P.S. 77 Lower Lab School,s,s,No Data,No Data,s,s,s,No Data,No Data,No Data,No Data,s,s,s,s
s,No Data,P.S. 111 Adolph S. Ochs,No Data,s,s,No Data,s,s,No Data,No Data,s,s,s,s,No Data,No Data,s
No Data,54.5%,P.S. 200- The James Mccune Smith School,s,s,s,No Data,s,7,s,s,s,s,s,s,12,9,s
s,s,P.S. 163 Alfred E. Smith,7,s,No Data,No Data,s,10,11,s,No Data,No Data,No Data,s,13,s,s
s,s,P.S. 188 The Island School,14,s,No Data,No Data,s,21,s,s,No Data,No Data,No Data,11,26,8,s
No Data,No Data,P.S. 011 William T. Harris,No Data,s,s,No Data,s,s,No Data,No Data,s,s,s,s,No Data,No Data,s
13,s,P.S. 165 Robert E. Simon,13,s,No Data,s,s,25,s,8,No Data,No Data,No Data,s,40,11,s
No Data,s,P.S. 087 William Sherman,s,s,No Data,No Data,s,s,s,s,No Data,No Data,No Data,s,s,s,s
s,s,P.S. 165 Robert E. Simon,s,s,No Data,No Data,s,s,s,s,No Data,No Data,No Data,s,s,s,s
No Data,No Data,"East Side Elementary School, PS 267",No Data,s,No Data,No Data,s,s,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s
No Data,s,P.S. 130 Hernando De Soto,s,s,No Data,No Data,s,s,s,s,No Data,No Data,No Data,s,s,s,s
14,s,P.S. 020 Anna Silver,s,s,s,No Data,88.2%,12,s,11,s,s,s,s,20,s,s
s,s,P.S. 77 Lower Lab School,s,s,No Data,No Data,55.0%,6,11,s,No Data,No Data,No Data,s,12,s,s
s,s,P.S. 011 William T. Harris,s,s,No Data,No Data,s,6,s,s,No Data,No Data,No Data,s,s,s,s
22,s,Tag Young Scholars,17,5.9%,No Data,No Data,41.2%,58,59,27,No Data,No Data,No Data,32,73,s,7
s,33.3%,P.S. 165 Robert E. Simon,s,s,No Data,s,s,16,s,s,No Data,No Data,No Data,s,21,7,s
s,s,P.S. 111 Adolph S. Ochs,s,s,No Data,No Data,s,s,s,s,No Data,No Data,No Data,s,s,s,s
No Data,s,School for Global Leaders,s,s,No Data,No Data,s,s,s,No Data,No Data,No Data,No Data,s,s,s,s
10,s,P.S. 001 Alfred E. Smith,s,s,No Data,No Data,79.5%,21,10,12,No Data,No Data,No Data,s,12,s,s
12,34.1%,P.S. 001 The Bergen,s,s,s,No Data,s,40,s,s,s,s,s,s,42,17,s
64,s,P.S. 77 Lower Lab School,48,11.7%,No Data,No Data,31.3%,184,162,64,No Data,No Data,No Data,s,184,s,42
53,11.0%,P.S. 184m Shuang Wen,138,6.3%,No Data,No Data,68.9%,275,198,71,No Data,No Data,No Data,22,357,28,35
No Data,No Data,"East Side Elementary School, PS 267",No Data,s,s,No Data,s,s,No Data,No Data,s,s,s,s,No Data,No Data,s
26,s,P.S. 111 Adolph S. Ochs,15,s,No Data,No Data,32.6%,55,27,20,No Data,No Data,No Data,s,35,s,s
24,s,P.S. 163 Alfred E. Smith,39,7.3%,No Data,No Data,10.6%,73,71,30,No Data,No Data,No Data,15,83,s,11
No Data,s,P.S./I.S. 217 Roosevelt Island,s,s,No Data,No Data,s,s,s,No Data,No Data,No Data,No Data,s,s,s,s
32,s,P.S. 130 Hernando De Soto,21,8.0%,No Data,No Data,80.2%,108,115,32,No Data,No Data,No Data,s,122,s,17
No Data,s,P.S. 015 Roberto Clemente,s,s,No Data,No Data,s,s,s,No Data,No Data,No Data,No Data,s,s,s,s
s,s,"P.S. 145, The Bloomingdale School",s,s,No Data,No Data,s,s,s,s,No Data,No Data,No Data,s,10,s,s
No Data,s,P.S. 163 Alfred E. Smith,s,s,No Data,No Data,s,s,s,No Data,No Data,No Data,No Data,s,s,s,s
No Data,s,School for Global Leaders,s,s,No Data,No Data,90.9%,s,s,No Data,No Data,No Data,No Data,s,11,s,s
s,s,"P.S. 145, The Bloomingdale School",s,s,No Data,No Data,s,9,s,s,No Data,No Data,No Data,s,10,s,s
9,s,P.S. 015 Roberto Clemente,7,s,No Data,No Data,32.3%,11,6,6,No Data,No Data,No Data,9,10,s,s
s,s,P.S. 015 Roberto Clemente,s,s,No Data,No Data,s,7,s,s,No Data,No Data,No Data,6,7,s,s
55,s,P.S. 033 Chelsea Prep,36,13.6%,No Data,No Data,38.2%,147,142,54,No Data,No Data,No Data,s,157,s,43
No Data,s,P.S. 124 Yung Wing,s,s,No Data,No Data,s,s,s,s,No Data,No Data,No Data,s,s,s,s
s,s,James Weldon Johnson,s,s,No Data,No Data,s,9,s,s,No Data,No Data,No Data,s,s,s,s
No Data,No Data,"New Explorations into Science, Technology and Math",No Data,s,s,No Data,s,s,No Data,No Data,s,s,s,s,No Data,No Data,s
7,s,P.S. 075 Emily Dickinson,s,s,No Data,No Data,s,9,s,6,No Data,No Data,No Data,s,10,s,s
s,s,P.S. 166 The Richard Rodgers School of The Arts an,s,s,No Data,No Data,s,11,s,s,No Data,No Data,No Data,s,8,s,s
13,s,P.S. 110 Florence Nightingale,24,s,No Data,No Data,38.7%,33,33,11,No Data,No Data,No Data,s,43,s,s
12,s,P.S. 163 Alfred E. Smith,24,s,No Data,No Data,s,55,19,16,No Data,No Data,No Data,9,53,s,s
No Data,s,"Technology, Arts, and Sciences Studio",s,s,No Data,No Data,s,s,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s
10,31.3%,P.S. 184m Shuang Wen,s,s,s,No Data,93.5%,56,15,24,s,s,s,s,52,7,s
60,s,Tag Young Scholars,40,10.1%,No Data,No Data,39.0%,182,150,54,No Data,No Data,No Data,59,173,s,34
No Data,s,Lafayette Academy,6,s,No Data,10,s,s,s,No Data,No Data,No Data,No Data,s,10,s,s
No Data,No Data,P.S. 130 Hernando De Soto,No Data,s,No Data,No Data,s,s,No Data,No Data,No Data,No Data,No Data,s,No Data,No Data,s
7,s,P.S. 130 Hernando De Soto,s,s,No Data,No Data,97.5%,24,23,7,No Data,No Data,No Data,s,23,s,s
s,s,P.S. 163 Alfred E. Smith,s,s,No Data,No Data,s,s,s,s,No Data,No Data,No Data,s,s,s,s
No Data,78.3%,P.S. 092 Bronx,s,s,s,No Data,s,16,s,17,s,s,s,s,25,21,s
s,s,P.S. 011 William T. Harris,15,s,No Data,No Data,45.9%,18,19,14,No Data,No Data,No Data,s,28,s,s
No Data,s,M.S. 131,8,s,No Data,s,87.0%,13,15,No Data,No Data,No Data,No Data,s,23,s,s
No Data,No Data,P.S./I.S. 217 Roosevelt Island,No Data,s,s,No Data,s,s,No Data,No Data,s,s,s,s,No Data,No Data,s
s,87.5%,"P.S. 145, The Bloomingdale School",s,s,s,No Data,s,8,s,6,s,s,s,s,17,13,s
s,s,P.S. 011 William T. Harris,6,s,No Data,No Data,s,9,11,s,No Data,No Data,No Data,s,13,s,s
No Data,s,M.S. 131,19,s,No Data,18,95.7%,25,23,No Data,No Data,No Data,No Data,s,47,s,s
s,s,P.S. 163 Alfred E. Smith,8,s,No Data,No Data,s,11,s,s,No Data,No Data,No Data,s,12,s,s
No Data,s,M.S. M247 Dual Language Middle School,s,s,No Data,s,s,6,s,No Data,No Data,No Data,No Data,s,13,6,s
No Data,s,School for Global Leaders,s,s,s,No Data,100.0%,s,s,No Data,s,s,s,s,6,s,s
No Data,s,P.S. 180 Hugo Newman,s,s,No Data,No Data,s,s,s,s,No Data,No Data,No Data,s,s,s,s
19,32.9%,P.S. 165 Robert E. Simon,21,s,No Data,8,s,54,11,18,No Data,No Data,No Data,s,82,28,s
No Data,s,M.S. 131,s,s,No Data,s,85.7%,s,s,No Data,No Data,No Data,No Data,s,7,s,s
25,s,P.S. 087 William Sherman,24,8.8%,No Data,No Data,s,48,36,28,No Data,No Data,No Data,s,55,s,9
