ell_urdu,ell_russian_1,ela_level_2_1,math_level_2_1,ela_level_4_1,ell_french,grade_5,ela_l3_l4,grade_7,white_1,dbn,ela_test_takers
No Data,No Data,s,s,s,No Data,No Data,s,No Data,s,03M334,s
s,s,s,s,s,s,No Data,s,No Data,s,02M124,s
No Data,No Data,s,s,s,No Data,No Data,s,No Data,s,01M015,s
No Data,No Data,s,s,67.4%,No Data,12,41,No Data,22.1%,01M539,43
No Data,No Data,s,s,s,No Data,No Data,s,No Data,s,01M188,s
No Data,No Data,s,s,s,No Data,s,s,No Data,s,03M165,s
No Data,No Data,s,s,60.5%,No Data,92,202,No Data,58.0%,02M011,210
No Data,No Data,s,s,s,No Data,No Data,s,s,s,02M131,11
No Data,No Data,s,s,s,No Data,s,s,No Data,s,02M111,s
No Data,No Data,33.8%,31.1%,18.9%,No Data,No Data,34,29,s,03M247,74
No Data,No Data,s,s,64.0%,No Data,8,25,No Data,59.4%,02M217,25
s,s,s,s,s,s,s,s,No Data,s,03M163,7
No Data,No Data,30.0%,24.1%,s,No Data,s,s,16,s,01M184,60
No Data,No Data,39.2%,28.8%,s,No Data,21,s,No Data,11.8%,03M145,51
No Data,No Data,s,s,s,No Data,No Data,s,No Data,s,03M180,s
No Data,No Data,38.8%,14.3%,12.2%,No Data,13,20,No Data,s,01M020,49
No Data,No Data,s,s,s,No Data,s,s,No Data,s,03M087,7
No Data,No Data,s,s,s,No Data,s,s,No Data,s,01M020,9
s,s,No Data,No Data,No Data,s,No Data,No Data,No Data,s,03M163,No Data
No Data,No Data,s,s,s,No Data,s,s,No Data,s,01M110,s
No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,No Data,s,01M539,No Data
No Data,No Data,34.9%,31.3%,14.0%,No Data,No Data,56,45,s,03M247,129
No Data,No Data,s,s,s,No Data,No Data,s,No Data,s,02M001,s
No Data,No Data,s,s,s,No Data,8,s,No Data,s,03M165,15
No Data,No Data,s,s,35.3%,No Data,s,15,No Data,42.9%,01M539,17
No Data,No Data,s,s,s,No Data,s,s,No Data,s,04M012,9
No Data,No Data,s,s,70.2%,No Data,45,146,No Data,61.7%,03M166,151
No Data,No Data,s,s,s,No Data,No Data,s,No Data,s,04M012,s
No Data,No Data,s,s,44.6%,No Data,22,50,No Data,44.0%,03M165,56
No Data,No Data,s,s,s,No Data,No Data,s,No Data,s,03M191,6
No Data,No Data,s,s,s,No Data,No Data,s,No Data,s,02M217,s
No Data,No Data,s,s,72.7%,No Data,12,s,No Data,s,02M124,22
No Data,No Data,s,s,50.0%,No Data,s,13,No Data,s,02M111,14
No Data,No Data,s,s,s,No Data,No Data,s,No Data,s,01M020,s
s,s,29.0%,s,s,s,s,s,No Data,s,03M075,31
No Data,No Data,24.1%,s,s,No Data,10,s,No Data,s,03M163,29
No Data,No Data,34.5%,44.8%,s,No Data,No Data,s,No Data,s,01M188,29
No Data,No Data,18.3%,9.3%,35.6%,No Data,21,72,36,s,01M184,104
No Data,No Data,35.3%,37.5%,s,No Data,No Data,s,No Data,s,04M057,17
No Data,No Data,s,s,s,No Data,s,s,No Data,s,03M087,s
No Data,No Data,s,s,s,No Data,s,s,No Data,s,03M163,s
s,s,s,54.5%,s,s,No Data,s,s,s,02M131,11
No Data,No Data,28.8%,27.7%,s,No Data,21,s,No Data,9.8%,03M075,66
