ell_french_1,ell_arabic_1,ela_l3_l4_1,math_level_2,ell_other_1,math_level_3,female,black_1,ell_urdu_1,ela_level_4,white,math_level_1_1,grade_1,hispanic_1,grade_k,ell_chinese_1,ell_chinese
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,No Data,No Data,No Data
s,s,s,s,s,s,s,s,s,s,s,s,s,s,7,92.3%,12
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,s,No Data,No Data
No Data,No Data,95.3%,s,No Data,s,40,7.0%,No Data,29,19,s,13,14.0%,11,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,s,s,No Data,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,s,s,No Data,No Data,No Data
No Data,No Data,96.2%,s,No Data,34,212,s,No Data,127,225,s,64,s,48,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,No Data,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,s,s,No Data,No Data,No Data
No Data,No Data,45.9%,23,No Data,13,41,s,No Data,14,s,29.7%,No Data,100.0%,No Data,No Data,No Data
No Data,No Data,100.0%,s,No Data,s,19,s,No Data,16,19,s,s,s,No Data,No Data,No Data
s,s,s,s,s,s,s,s,s,s,s,s,s,100.0%,s,s,s
No Data,No Data,s,14,No Data,9,24,8.0%,No Data,s,s,36.2%,12,24.1%,s,No Data,No Data
No Data,No Data,s,15,No Data,s,47,14.5%,No Data,s,9,46.2%,No Data,69.7%,10,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,s,s,No Data,No Data,No Data
No Data,No Data,40.8%,7,No Data,17,41,8.1%,No Data,6,s,18.4%,No Data,23.0%,No Data,No Data,No Data
No Data,No Data,s,s,No Data,s,8,s,No Data,s,s,s,s,85.7%,No Data,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,No Data,No Data,No Data
s,s,No Data,No Data,s,No Data,s,s,s,No Data,s,No Data,No Data,s,No Data,s,s
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,s,s,s,No Data,No Data
No Data,No Data,No Data,No Data,No Data,No Data,s,s,No Data,No Data,s,No Data,s,s,No Data,No Data,No Data
No Data,No Data,43.4%,41,No Data,25,72,s,No Data,18,s,34.4%,No Data,96.9%,No Data,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,s,s,No Data,No Data,No Data
No Data,No Data,s,s,No Data,8,12,34.6%,No Data,s,s,s,6,38.5%,s,No Data,No Data
No Data,No Data,88.2%,s,No Data,s,7,s,No Data,6,9,s,s,28.6%,s,No Data,No Data
No Data,No Data,s,s,No Data,s,8,38.9%,No Data,s,s,s,s,s,No Data,No Data,No Data
No Data,No Data,96.7%,s,No Data,9,154,2.9%,No Data,106,193,s,55,7.0%,50,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,s,s,No Data,No Data,No Data
No Data,No Data,89.3%,s,No Data,15,53,15.0%,No Data,25,44,s,14,27.0%,12,No Data,No Data
No Data,No Data,s,s,No Data,s,s,s,No Data,s,s,s,No Data,s,No Data,No Data,No Data
