ell_haitian_creole_1,ela_level_2,ell_spanish_1,math_level_4_1,female_1,ell_bengali,math_l3_l4,year,ela_level_1,total_enrollment,male_1,ell_russian
No Data,s,No Data,s,s,No Data,s,2017-18,s,s,s,No Data
s,s,s,s,s,s,s,2017-18,s,13,s,s
No Data,s,No Data,s,s,No Data,s,2017-18,s,7,s,No Data
No Data,s,No Data,86.0%,46.5%,No Data,s,2017-18,s,86,53.5%,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,s,s,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,7,s,No Data
No Data,s,No Data,82.8%,54.6%,No Data,207,2017-18,s,388,45.4%,No Data
No Data,s,No Data,81.8%,s,No Data,s,2017-18,s,11,s,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,s,s,No Data
No Data,25,No Data,21.6%,55.4%,No Data,29,2017-18,15,74,44.6%,No Data
No Data,s,No Data,88.0%,59.4%,No Data,s,2017-18,s,32,40.6%,No Data
s,s,100.0%,s,s,s,s,2017-18,s,11,s,s
No Data,18,No Data,24.1%,27.6%,No Data,23,2017-18,21,87,72.4%,No Data
No Data,20,No Data,s,61.8%,No Data,s,2017-18,21,76,38.2%,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,s,s,No Data
No Data,19,No Data,32.7%,55.4%,No Data,33,2017-18,10,74,44.6%,No Data
No Data,s,No Data,s,57.1%,No Data,s,2017-18,s,14,42.9%,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,14,s,No Data
s,No Data,s,No Data,s,s,No Data,2017-18,No Data,s,s,s
No Data,s,No Data,s,s,No Data,s,2017-18,s,7,s,No Data
No Data,No Data,No Data,No Data,s,No Data,No Data,2017-18,No Data,s,s,No Data
No Data,45,No Data,15.3%,55.0%,No Data,45,2017-18,28,131,45.0%,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,6,s,No Data
No Data,s,No Data,s,46.2%,No Data,s,2017-18,s,26,53.8%,No Data
No Data,s,No Data,62.5%,33.3%,No Data,s,2017-18,s,21,66.7%,No Data
No Data,s,No Data,77.8%,44.4%,No Data,s,2017-18,s,18,55.6%,No Data
No Data,s,No Data,90.8%,49.2%,No Data,147,2017-18,s,313,50.8%,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,10,s,No Data
No Data,s,No Data,60.7%,53.0%,No Data,49,2017-18,s,100,47.0%,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,6,s,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,8,s,No Data
No Data,s,No Data,90.9%,36.4%,No Data,s,2017-18,s,33,63.6%,No Data
No Data,s,No Data,71.4%,53.6%,No Data,s,2017-18,s,28,46.4%,No Data
No Data,s,No Data,s,s,No Data,s,2017-18,s,s,s,No Data
