ell_spanish,math_level_3_1,ell_haitian_creole,math_l3_l4_1,ela_level_3_1,category,special_program,ell_other,grade_6,grade_4,hispanic,asian
No Data,s,No Data,s,s,Students in temporary housing,Gifted and Talented,No Data,No Data,No Data,s,s
s,s,s,s,s,English Language Learners,Gifted and Talented,s,No Data,No Data,s,13
No Data,s,No Data,s,s,Students in temporary housing,Gifted and Talented,No Data,No Data,s,s,s
No Data,s,No Data,s,27.9%,Receive free or reduced price lunch,Gifted and Talented,No Data,No Data,13,12,41
No Data,s,No Data,s,s,Students with Disabilities,Dual Language,No Data,No Data,s,s,s
No Data,s,No Data,s,s,Students in temporary housing,Gifted and Talented,No Data,No Data,s,s,s
No Data,16.3%,No Data,99.0%,35.7%,All Students,Gifted and Talented,No Data,No Data,56,s,96
No Data,s,No Data,s,63.6%,Students in temporary housing,Dual Language,No Data,s,No Data,s,10
No Data,s,No Data,s,s,Students with Disabilities,Gifted and Talented,No Data,No Data,No Data,s,s
No Data,17.6%,No Data,39.2%,27.0%,Attend school outside district of residence,Dual Language,No Data,26,No Data,74,s
No Data,s,No Data,s,36.0%,Receive free or reduced price lunch,Gifted and Talented,No Data,No Data,11,s,7
11,s,s,s,s,English Language Learners,Dual Language,s,No Data,s,11,s
No Data,15.5%,No Data,39.7%,s,Students with Disabilities,Dual Language,No Data,20,12,21,53
No Data,s,No Data,s,s,All Students,Dual Language,No Data,No Data,15,53,s
No Data,s,No Data,s,s,Students with Disabilities,Dual Language,No Data,No Data,s,s,s
No Data,34.7%,No Data,67.3%,28.6%,Receive free or reduced price lunch,Dual Language,No Data,No Data,16,17,49
No Data,s,No Data,s,s,Receive free or reduced price lunch,Dual Language,No Data,No Data,s,12,s
No Data,s,No Data,s,s,Students in temporary housing,Dual Language,No Data,No Data,s,s,s
s,No Data,s,No Data,No Data,English Language Learners,Gifted and Talented,s,No Data,No Data,s,s
No Data,s,No Data,s,s,Students with Disabilities,Gifted and Talented,No Data,No Data,s,s,s
No Data,No Data,No Data,No Data,No Data,Students in temporary housing,Gifted and Talented,No Data,No Data,No Data,s,s
No Data,19.1%,No Data,34.4%,29.5%,All Students,Dual Language,No Data,42,No Data,127,s
No Data,s,No Data,s,s,Students with Disabilities,Dual Language,No Data,No Data,No Data,s,s
No Data,53.3%,No Data,s,40.0%,Receive free or reduced price lunch,Gifted and Talented,No Data,No Data,s,10,s
No Data,s,No Data,s,52.9%,Students with Disabilities,Gifted and Talented,No Data,No Data,6,6,s
No Data,s,No Data,s,s,Students with Disabilities,Gifted and Talented,No Data,No Data,s,s,s
No Data,5.9%,No Data,96.7%,26.5%,All Students,Gifted and Talented,No Data,No Data,51,22,52
No Data,s,No Data,s,s,Students in temporary housing,Gifted and Talented,No Data,No Data,s,s,s
No Data,26.8%,No Data,87.5%,44.6%,All Students,Gifted and Talented,No Data,No Data,16,27,s
No Data,s,No Data,s,s,Attend school outside district of residence,Gifted and Talented,No Data,No Data,No Data,s,s
No Data,s,No Data,s,s,Students with Disabilities,Gifted and Talented,No Data,No Data,s,s,s
No Data,s,No Data,s,s,Attend school outside district of residence,Gifted and Talented,No Data,No Data,7,s,33
No Data,s,No Data,s,42.9%,Receive free or reduced price lunch,Gifted and Talented,No Data,No Data,7,13,9
No Data,s,No Data,s,s,Students with Disabilities,Dual Language,No Data,No Data,No Data,s,s
65,s,s,s,s,English Language Learners,Dual Language,s,No Data,14,66,s
No Data,41.4%,No Data,72.4%,48.3%,Receive free or reduced price lunch,Dual Language,No Data,No Data,9,46,s
No Data,s,No Data,s,55.2%,All Students,Dual Language,No Data,No Data,16,28,s
No Data,18.7%,No Data,84.1%,33.7%,Attend school outside district of residence,Dual Language,No Data,27,12,s,116
No Data,s,No Data,s,s,All Students,Dual Language,No Data,No Data,No Data,68,s
No Data,s,No Data,s,s,Attend school outside district of residence,Dual Language,No Data,No Data,No Data,s,s
No Data,s,No Data,s,s,Students in temporary housing,Dual Language,No Data,No Data,s,8,s
s,s,s,s,s,English Language Learners,Dual Language,s,s,No Data,s,11
No Data,27.7%,No Data,43.1%,37.9%,Attend school outside district of residence,Dual Language,No Data,No Data,20,98,s
No Data,s,No Data,s,s,Students in temporary housing,Dual Language,No Data,No Data,No Data,s,s
No Data,s,No Data,s,s,Students in temporary housing,Dual Language,No Data,No Data,No Data,s,s
No Data,6.7%,No Data,97.1%,24.0%,Attend school outside district of residence,Gifted and Talented,No Data,No Data,35,18,71
No Data,s,No Data,s,50.0%,All Students,Dual Language,No Data,No Data,No Data,s,s
No Data,29.3%,No Data,66.7%,32.0%,All Students,Dual Language,No Data,No Data,24,27,67
No Data,s,No Data,s,s,Receive free or reduced price lunch,Dual Language,No Data,No Data,No Data,s,s
No Data,34.1%,No Data,s,51.2%,Receive free or reduced price lunch,Dual Language,No Data,No Data,15,33,s
No Data,6.7%,No Data,97.6%,24.2%,All Students,Gifted and Talented,No Data,No Data,55,28,104
No Data,s,No Data,s,s,Students in temporary housing,Dual Language,No Data,No Data,6,9,s
No Data,72.7%,No Data,s,63.6%,Receive free or reduced price lunch,Gifted and Talented,No Data,No Data,No Data,s,s
No Data,25.2%,No Data,77.6%,38.1%,Receive free or reduced price lunch,Dual Language,No Data,73,40,49,296
s,No Data,s,No Data,No Data,English Language Learners,Gifted and Talented,s,No Data,No Data,s,s
No Data,13.7%,No Data,98.9%,22.1%,All Students,Gifted and Talented,No Data,No Data,66,50,145
No Data,s,No Data,s,s,Students in temporary housing,Dual Language,No Data,No Data,s,s,s
No Data,s,No Data,s,s,Receive free or reduced price lunch,Gifted and Talented,No Data,No Data,s,s,12
No Data,s,No Data,s,s,Students with Disabilities,Dual Language,No Data,No Data,s,s,s
No Data,23.7%,No Data,40.2%,28.9%,All Students,Dual Language,No Data,9,25,130,s
No Data,20.7%,No Data,93.1%,41.4%,Attend school outside district of residence,Gifted and Talented,No Data,No Data,31,10,18
No Data,s,No Data,s,s,Attend school outside district of residence,Dual Language,No Data,No Data,No Data,s,10
