isp_name_dba_name,technology_type,number_of_census_blocks_served
"Atlantic Broadband Finance, LLC",Cable Modem-DOCSIS 3.0,1
Verizon New York Inc.,Optical Carrier / Fiber to the end user,27813
RCN,Cable Modem-DOCSIS 3.1,198
RCN,Cable Modem-DOCSIS 3.0,2554
Privatel Inc.,Optical Carrier / Fiber to the end user,1
Brooklyn Fiber,Optical Carrier / Fiber to the end user,1
Xchange Telecom,Optical Carrier / Fiber to the end user,18
Fairpoint Communications,Cable Modem-DOCSIS 3.0,3
RCN,Optical Carrier / Fiber to the end user,619
Charter Communications Inc.,Cable Modem-DOCSIS 3.0,25430
Optimum,Cable Modem-DOCSIS 3.0,12896
Comcast,Cable Modem-DOCSIS 3.0,2
