tpep_dropoff_datetime,tpep_pickup_datetime,trip_distance,improvement_surcharge,fare_amount,mta_tax,ratecodeid
2023-01-01T00:56:46.000,2023-01-01T00:44:55.000,1.38,1.0,12.1,0.5,1.0
2023-01-01T00:40:55.000,2023-01-01T00:20:07.000,3.31,1.0,21.9,0.5,1.0
2023-01-01T01:14:16.000,2023-01-01T00:46:17.000,9.0,1.0,39.4,0.5,1.0
2023-01-01T00:29:23.000,2023-01-01T00:09:29.000,11.43,1.0,44.3,0.5,1.0
2023-01-01T00:32:43.000,2023-01-01T00:18:08.000,2.17,1.0,14.2,0.5,1.0
2023-01-01T00:49:33.000,2023-01-01T00:46:32.000,0.47,1.0,5.1,0.5,1.0
2023-01-01T01:34:51.000,2023-01-01T00:53:36.000,6.19,1.0,40.1,0.5,1.0
2023-01-01T01:00:02.000,2023-01-01T00:56:38.000,0.82,1.0,5.8,0.5,1.0
2023-01-01T00:56:54.000,2023-01-01T00:48:35.000,1.89,1.0,11.4,0.5,1.0
2023-01-01T00:35:56.000,2023-01-01T00:31:21.000,1.28,1.0,7.9,0.5,1.0
2023-01-01T00:53:29.000,2023-01-01T00:45:25.000,1.69,1.0,10.7,0.5,1.0
2023-01-01T00:49:28.000,2023-01-01T00:36:15.000,1.7,1.0,12.1,0.5,1.0
2023-01-01T00:29:20.000,2023-01-01T00:27:44.000,0.41,1.0,4.4,0.5,1.0
2023-01-01T00:50:14.000,2023-01-01T00:45:25.000,0.86,1.0,7.2,0.5,1.0
2023-01-01T00:15:04.000,2023-01-01T00:09:27.000,0.8,0.3,5.5,0.5,1.0
2023-01-01T00:30:49.000,2023-01-01T00:02:19.000,20.37,1.0,70.0,0.5,2.0
2023-01-01T00:40:47.000,2023-01-01T00:34:22.000,0.74,1.0,7.2,0.5,1.0
2023-01-01T00:41:37.000,2023-01-01T00:27:02.000,1.72,1.0,14.2,0.5,1.0
2023-01-01T01:04:38.000,2023-01-01T00:56:03.000,1.9,1.0,10.7,0.5,1.0
2023-01-01T00:58:18.000,2023-01-01T00:51:45.000,1.4,1.0,9.3,0.5,1.0
2023-01-01T00:55:55.000,2023-01-01T00:36:54.000,3.4,1.0,20.5,0.5,1.0
2023-01-01T00:36:24.000,2023-01-01T00:25:34.000,1.6,1.0,10.7,0.5,1.0
2023-01-01T00:45:57.000,2023-01-01T00:36:24.000,1.93,1.0,12.1,0.5,1.0
2023-01-01T00:59:20.000,2023-01-01T00:23:15.000,6.14,1.0,38.7,0.5,1.0
2023-01-01T01:25:30.000,2023-01-01T00:46:17.000,3.3,1.0,30.3,0.5,1.0
2023-01-01T00:57:32.000,2023-01-01T00:36:10.000,9.0,1.0,35.9,0.5,1.0
2023-01-01T00:21:19.000,2023-01-01T00:10:29.000,1.43,1.0,11.4,0.5,1.0
2023-01-01T00:58:45.000,2023-01-01T00:50:34.000,1.52,1.0,10.0,0.5,1.0
2023-01-01T00:47:03.000,2023-01-01T00:30:31.000,2.32,1.0,16.3,0.5,1.0
2023-01-01T00:20:14.000,2023-01-01T00:18:10.000,0.52,1.0,5.1,0.5,1.0
2023-01-01T00:35:11.000,2023-01-01T00:22:24.000,2.3,1.0,13.5,0.5,1.0
2023-01-01T00:48:01.000,2023-01-01T00:29:27.000,3.0,1.0,19.8,0.5,1.0
2023-01-01T01:17:18.000,2023-01-01T00:43:37.000,7.3,1.0,33.8,0.5,1.0
2023-01-01T00:51:10.000,2023-01-01T00:31:41.000,1.18,1.0,17.0,0.5,1.0
2023-01-01T01:01:38.000,2023-01-01T00:52:15.000,1.69,1.0,11.4,0.5,1.0
2023-01-01T00:46:32.000,2023-01-01T00:24:38.000,0.7,1.0,18.4,0.5,1.0
2023-01-01T00:56:10.000,2023-01-01T00:46:47.000,1.7,1.0,10.7,0.5,1.0
2023-01-01T00:53:43.000,2023-01-01T00:38:35.000,1.55,1.0,14.9,0.5,1.0
2023-01-01T00:28:52.000,2023-01-01T00:11:29.000,3.15,1.0,17.7,0.5,1.0
2023-01-01T00:22:13.000,2023-01-01T00:08:50.000,1.9,1.0,14.2,0.5,1.0
2023-01-01T01:01:45.000,2023-01-01T00:53:01.000,1.8,1.0,11.4,0.5,1.0
2023-01-01T00:40:36.000,2023-01-01T00:32:10.000,0.97,1.0,9.3,0.5,1.0
2023-01-01T00:21:26.000,2023-01-01T00:20:38.000,0.08,1.0,3.0,0.5,1.0
2023-01-01T00:49:27.000,2023-01-01T00:36:04.000,3.07,1.0,15.6,0.5,1.0
2023-01-01T00:22:10.000,2023-01-01T00:13:04.000,1.52,1.0,10.0,0.5,1.0
2023-01-01T01:02:26.000,2023-01-01T00:58:15.000,0.8,1.0,5.8,0.5,1.0
2023-01-01T01:17:09.000,2023-01-01T00:51:02.000,6.7,1.0,33.1,0.5,1.0
