tpep_pickup_datetime,congestion_surcharge,pulocationid,passenger_count,vendorid,tip_amount,airport_fee
2023-01-01T00:05:11.000,2.5,249,1.0,2,9.0,0.0
2023-01-01T00:48:30.000,2.5,43,1.0,2,0.0,0.0
2023-01-01T00:41:41.000,0.0,132,1.0,2,10.31,1.25
2023-01-01T00:37:07.000,2.5,238,1.0,2,0.0,0.0
2023-01-01T00:38:45.000,2.5,79,2.0,1,1.0,0.0
2023-01-01T00:13:21.000,2.5,107,1.0,2,0.0,0.0
2023-01-01T00:59:52.000,2.5,68,1.0,1,0.0,0.0
2023-01-01T00:30:12.000,2.5,229,1.0,2,2.72,0.0
2023-01-01T00:54:41.000,2.5,263,1.0,2,5.85,0.0
2023-01-01T00:40:52.000,2.5,236,1.0,2,5.13,0.0
2023-01-01T00:09:49.000,2.5,79,1.0,2,1.0,0.0
2023-01-01T00:08:04.000,2.5,234,1.0,2,5.38,0.0
2023-01-01T00:20:24.000,2.5,236,2.0,1,0.0,0.0
2023-01-01T00:35:05.000,2.5,239,1.0,2,2.72,0.0
2023-01-01T00:21:49.000,2.5,163,4.0,1,0.0,0.0
2023-01-01T00:03:36.000,2.5,237,3.0,1,0.0,0.0
2023-01-01T00:45:48.000,2.5,246,1.0,2,5.24,0.0
2023-01-01T00:47:59.000,2.5,43,5.0,2,5.66,0.0
2023-01-01T00:19:29.000,2.5,148,1.0,2,2.72,0.0
2023-01-01T00:39:15.000,2.5,186,1.0,2,9.18,0.0
2023-01-01T00:05:56.000,2.5,237,1.0,1,0.0,0.0
2023-01-01T00:18:29.000,2.5,163,1.0,1,10.7,0.0
2023-01-01T00:04:45.000,2.5,161,1.0,1,16.65,0.0
2023-01-01T00:28:56.000,2.5,236,1.0,2,0.0,0.0
2023-01-01T00:28:53.000,2.5,186,1.0,2,3.42,0.0
2023-01-01T00:34:44.000,2.5,164,1.0,2,6.22,0.0
2023-01-01T00:33:27.000,2.5,239,2.0,1,3.0,0.0
2023-01-01T00:56:22.000,0.0,25,2.0,2,4.46,0.0
2023-01-01T00:13:48.000,2.5,237,2.0,1,3.7,0.0
2023-01-01T00:54:20.000,2.5,236,2.0,2,2.02,0.0
2023-01-01T00:47:20.000,2.5,162,2.0,2,0.0,0.0
2023-01-01T00:34:28.000,2.5,142,1.0,1,0.0,0.0
2023-01-01T00:39:14.000,2.5,233,2.0,2,3.42,0.0
2023-01-01T00:47:29.000,2.5,229,1.0,2,0.0,0.0
2023-01-01T00:21:30.000,2.5,264,2.0,1,1.5,0.0
2023-01-01T00:28:29.000,2.5,233,1.0,2,0.0,0.0
2023-01-01T00:45:11.000,2.5,90,1.0,2,4.96,0.0
2023-01-01T00:30:54.000,2.5,90,1.0,2,5.34,0.0
2023-01-01T00:43:39.000,2.5,68,1.0,2,4.26,0.0
2023-01-01T00:41:20.000,2.5,162,2.0,2,0.0,0.0
2023-01-01T00:55:45.000,2.5,161,1.0,2,0.0,0.0
2023-01-01T00:23:52.000,2.5,229,1.0,2,3.0,0.0
2023-01-01T00:24:41.000,2.5,43,1.0,1,3.4,0.0
2023-01-01T00:32:47.000,2.5,107,2.0,2,4.54,0.0
2023-01-01T00:24:54.000,2.5,238,1.0,2,4.4,0.0
2023-01-01T00:48:00.000,2.5,231,1.0,1,6.56,0.0
2023-01-01T00:33:53.000,0.0,33,1.0,2,4.04,0.0
2023-01-01T00:50:46.000,2.5,68,3.0,1,3.0,0.0
2023-01-01T00:18:35.000,2.5,107,1.0,1,3.0,0.0
2023-01-01T00:27:20.000,2.5,229,1.0,1,2.4,0.0
2023-01-01T00:19:12.000,2.5,161,1.0,2,6.36,0.0
2023-01-01T00:27:12.000,2.5,142,1.0,2,10.74,0.0
2023-01-01T00:59:58.000,2.5,137,1.0,2,3.7,0.0
2023-01-01T00:20:45.000,2.5,137,1.0,2,0.0,0.0
2023-01-01T00:11:35.000,2.5,107,1.0,1,0.0,0.0
2023-01-01T00:24:02.000,2.5,263,1.0,2,1.0,0.0
2023-01-01T00:59:34.000,2.5,162,1.0,2,2.3,0.0
2023-01-01T00:29:32.000,2.5,148,4.0,1,3.25,0.0
2023-01-01T00:53:50.000,2.5,263,1.0,2,4.0,0.0
2023-01-01T00:44:05.000,2.5,237,1.0,2,3.14,0.0
2023-01-01T00:13:30.000,0.0,132,1.0,1,15.85,1.25
2023-01-01T00:56:22.000,2.5,224,2.0,2,3.98,0.0
2023-01-01T00:23:56.000,2.5,161,1.0,2,8.3,0.0
2023-01-01T00:52:25.000,2.5,158,1.0,2,4.0,0.0
2023-01-01T00:56:04.000,2.5,107,2.0,1,5.4,0.0
2023-01-01T00:46:56.000,0.0,132,1.0,2,5.75,1.25
