citation_text,address,bbl,council_district,community_board
"At the time of inspection, operational records provided by facility representative and reviewed by the Department failed to demonstrate proof that two required cleanings were conducted within the previous year of cooling tower operation.",320 1 AVENUE,1009720001,4,106
,10 SOUTH ST,1000020002,1,101
,218 W 18TH ST,1007670054,3,104
,320 1 AVENUE,1009720001,4,106
,776 6 AVENUE,1008280001,3,105
,254 PARK AVENUE SOUTH,1008497508,2,105
,22 W 34TH ST,1008350056,4,105
"At the time of inspection, records provided by facility representative and reviewed by Department failed to demonstrate by either lab report or chain of custody form that required Legionella samples were collected while the cooling tower system was in operation.",320 1 AVENUE,1009720001,4,106
,125 N 10TH ST,3022977502,33,301
"At time of inspeciton, onsite contact failed to provide records of all required weekly routine system monitoring checklist from 10/11/2020 - 07/26/2022. Routine system monitoring must be performed on a weekly basis while cooling tower system is in operation.",405 EAST 56TH STREET,1013680005,5,106
"At the time of inspection, records provided by on-site representative and reviewed by the Department failed to include the New York State Department of Environmental Conservation license number of the individual who performs the disinfection or applies biocides in the cooling tower system.",240 EAST 82ND STREET,1015270028,5,108
,333 W 34TH ST,1007587501,3,104
,86-55 BROADWAY,4018427502,25,404
,327 BEACH 19TH STREET,4156360001,31,414
,2770 FREDERICK DOUGLASS BLVD,1020330001,9,110
,503 FULTON ST,3001457501,33,302
,254 PARK AVENUE SOUTH,1008497508,2,105
,86-55 BROADWAY,4018427502,25,404
"Compliance inspections must be completed by a Qualified Person every 90 days while the cooling tower system is in operation. Respondent failed to provide documentation of compliance inspection for the 90 day period prior to the following date(s): 03/12/2020, 06/10/2020, 09/08/2020, 02/03/2021, 05/04/2021",90 BEAVER ST,3031370011,34,304
Respondent is in violation of 24 RCNY 8-03 in that the Maintenance Program and Plan provided by on-site representative was missing the following elements: MPP contains an un-named Responsible Person;  Responsible Person Phone. Respondent is in violation of 24 RCNY 8-03 in that the Maintenance Program and Plan provided by on-site representative was missing the required schematic/flow diagram for the following cooling tower system: 2000000123. Respondent is in violation of 24 RCNY 8-03(a) in that the Maintenance Program and Plan (MPP) provided by on-site representative did not include responsibilities for the following identified MPP team members: Building management company or owner; Responsible person; Qualified person; Cleaning/Chemical Applicator.,145 EAST 16TH STREET,1008720035,2,106
,28 W 68TH ST,1011200044,6,107
"At the time of inspection, Respondent failed to produce records demonstrating proof of water quality monitoring and sampling locations. Respondent failed to produce records demonstrating required times of water quality monitoring. Respondent failed to produce records of required locations for bacteriological indicator samples collected on the following dates: pertinent records not provided Respondent failed to provide records of bacteriological indicator sampling times for samples collected on the following date(s):  pertinent records not provided Respondent failed to provide records of locations of Legionella sampling. Sampling locations were not provided for samples collected on the following date(s):  pertinent records not provided Respondent failed to provide records of Legionella sampling collection times. Sampling times were not provided for samples collected on: pertinent records not provided",90 BEAVER ST,3031370011,34,304
,229 W 36TH ST,1007860023,3,105
,304 FLATBUSH AVE,3010570005,39,306
Respondent is in violation of 24 RCNY 8-05(f)(4) in that records produced by on-site representative and reviewed by Department at the time of inspection failed to demonstrate that water quality monitoring and sampling was performed one hour after water had been circulating in the system. The on-site representative was unable to produce records stating the times that water quality monitoring and/or sampling was conducted.,63 W 17TH ST,1008197502,3,105
,10 SOUTH ST,1000020002,1,101
"At time of inspection, on-site contact failed to produce records demonstrating that the required weekly collection of bacteriological indicators of re-circulating water was attempted or completed while the cooling tower system was in operation from 10/11/2020 - 07/26/2022. On-site representative was requested to provide missing records during inspection and at final review of violation deficiencies but was not able to do so.",405 EAST 56TH STREET,1013680005,5,106
Respondent is in violation of 24 RCNY 8-04(a)(1) in that the operational records provided by  on-site representative and reviewed by Department at the time of inspection failed to demonstrate that all weekly routine system monitoring had taken place while the cooling tower system was in operation.,63 W 17TH ST,1008197502,3,105
,52 WILLIAM ST,1000400016,1,101
,229 W 36TH ST,1007860023,3,105
,411 5TH AVE,1008670001,4,105
,218 W 18TH ST,1007670054,3,104
Compliance inspections must be completed by a Qualified Person every 90 days while the cooling tower system is in operation. Respondent is in violation of 24 RCNY 8-04(b) in that records provided by on-site representative and reviewed by Department at the time of inspection failed to provide documentation of of two (2) compliance inspections due by following date(s): 01/12/2021 and 04/12/2021.,1271 BROADWAY,1008330078,3,105
,240 EAST 82ND STREET,1015270028,5,108
,56 PINE ST,1000417503,1,101
"At the time of inspection, operational records provided by on-site representative and reviewed by Department failed to demonstrate proof that routine maintenance was conducted or documented for the following date(s) while the cooling tower system was in operation: 2/27/2019-02/06/2020At the time of inspection, operational records provided by on-site representative and reviewed by Department indicated discrepancies between the following routine maintenance elements in the MPP and operational records: General System Cleanliness; Drift Eliminator Condition; Fill Material Condition; Distribution Operations; Water Treatment System; Basin/Remote Sump Cleaning; Stagnant/Low-Flow Zone Purging.Respondent is in violation of 24 RCNY 8-04(c) in that the operational records provided by on-site representative and reviewed by Department at the time of inspection failed to demonstrate proof that the following routine maintenance elements were inspected: General System Cleanliness; Drift Eliminator Condition; Fill Material Condition; Distribution Operations; Water Treatment System; Basin/Remote Sump Cleaning; Stagnant/Low-Flow Zone Purging.",52 WILLIAM ST,1000400016,1,101
,218 W 18TH ST,1007670054,3,104
,1225 MORRIS PARK AVE,2042050030,33,211
,491 HICKS STREET,3003217501,39,306
,254 PARK AVENUE SOUTH,1008497508,2,105
,224 W 57TH ST,1010287502,6,105
"At the time of inspection, Respondent failed to produce sufficient evidence in the form of a lab report or chain-of-custody form that the required startup-up Legionella culture test had been completed during the documented startup time period.Cooling Tower Started 5/24/21 As Per Water Quality Records Provided.Startup Legionella Sampling Due 06/08/2021.",22 W 34TH ST,1008350056,4,105
,360 W 22ND ST,1007457502,3,104
,33 UNION SQUARE WEST,1008440019,2,105
"At the time of inspection, upon Inspector's request for and complete review of Respondent's Legionella sample records as produced by its on-site representative, Respondent failed to demonstrate by either lab report or chain of custody form that the required collection of 90-day samples of Legionella were taken while the cooling tower system was in operation. Legionella sample records were missing for the following deadlines: 12/15/2019At the time of inspection, operational records provided by on-site representative and reviewed by Department indicated Legionella Culture results equal to or greater than 1,000 CFU/mL were not reported to the Department as required for the samples collected on the following date(s): 09/06/2019",52 WILLIAM ST,1000400016,1,101
,45 UNIVERSITY PLACE,1005610003,2,102
"Compliance inspections must be completed by a Qualified Person every 90 days while the cooling tower system is in operation. Respondent failed to provide documentation of compliance inspection for the 90 day period of 02/14/2023-05/15/2023.  Compliance inspections were provided for 02/14/2023 and 06/20/2023, with no more in between, a period of over 90 days.  Cooling Tower System was observed to have been in operation  during this period based on other records observed on-site.  Neither on-site representative nor any other building staff could provide missing records.",52 WILLIAM ST,1000400016,1,101
,360 W 22ND ST,1007457502,3,104
Respondent failed to provide records of all required weekly routine system monitoring. Records were missing for the following week(s) while the cooling tower system was in operation: 06/01/22-06/14/22,33 UNION SQUARE WEST,1008440019,2,105
"At the time of inspection, operational records provided by on-site representative and reviewed by the Department failed to demonstrate proof that cleaning was conducted at all within the previous year of cooling tower operation.",63 W 17TH ST,1008197502,3,105
"At the time of inspection, operational records provided by on-site representative and reviewed by Department failed to demonstrate proof that required corrective actions as defined in Table 8-1 of Chapter 8 were conducted in response to elevated Legionella sampling results collected on the following date(s): 07/31/2019,09/23/2019,07/14/2020",222 CLINTON AVE,3019150016,35,302
Respondent is in violation of 24 RCNY 8-04(a)(1) in that the operational records provided by on-site representative and reviewed by Department at the time of inspection failed to demonstrate that all weekly routine system monitoring had taken place while the cooling tower system was in operation.,1271 BROADWAY,1008330078,3,105
,155 EAST 34 ST.,1008907501,2,106
"Compliance inspections must be completed by a Qualified Person every 90 days while the cooling tower system is in operation. Respondent failed to provide documentation of compliance inspection for the 90 day period prior to the following date(s): 7/26/21,10/24/21,5/17/22",86-55 BROADWAY,4018427502,25,404
,350 W 42ND ST,1010327501,3,104
,491 HICKS STREET,3003217501,39,306
,63 W 17TH ST,1008197502,3,105
,320 1 AVENUE,1009720001,4,106
,1225 MORRIS PARK AVE,2042050030,33,211
,306 E 61ST ST,1014350044,5,108
,360 W 22ND ST,1007457502,3,104
"At the time of inspection, upon review of operational records provided by on-site representative and physical observation of the actively operating cooling tower system, the Department determined that chemical and biocide usage records were incomplete for the following: 06/01/22-06/14/22,06/01/22-06/14/22,06/01/22-06/14/22",33 UNION SQUARE WEST,1008440019,2,105
,1 WEST 53RD STREET,1012690030,4,105
,1 WEST 53RD STREET,1012690030,4,105
"At the time of inspection, and upon Inspector's request for records and complete review of the Respondent's cooling tower records as produced by its on-site representative, Respondent failed to provide any chemical or biocide usage records for: Nalco ST70 - Oxidizing biocide,Nalco 7330- Non-oxidizing biocide,Nalco 767L- Inhibitor",63 W 17TH ST,1008197502,3,105
,321 EAST 48TH STREET,1013417502,4,106
,740 BROADWAY,1005450026,4,102
"At the time of inspection, Respondent failed to produce sufficient evidence in the form of a lab report or chain-of-custody form that the required startup Legionella culture test had been completed during the documented startup time period:  05/10/22",33 UNION SQUARE WEST,1008440019,2,105
,49 BROADWAY,1000200013,1,101
Respondent failed to produce records demonstrating that the required weekly collection of bacteriological indicators of re-circulating water was conducted since the Department's previous cycle inspection. On-site representative was requested to provide missing records during inspection and at final review of violation deficiencies but was not able to do so.,90 BEAVER ST,3031370011,34,304
"At the time of inspection, Respondent failed to demonstrate by either lab report or chain of custody form that all required Legionella samples were taken while the cooling tower system was in operation. Legionella sample records were missing for the 90 day period prior to the following date(s):  11/11/2019, 02/19/2020, 05/19/2020, 08/17/2020,  11/15/2020, 04/15/2021, 07/12/2021",503 FULTON ST,3001457501,33,302
Measurements of water quality parameter must occur at least 3 times each week while the cooling tower system is operating. Respondent failed to provide records of manual collection of water quality parameters while the cooling tower system was in operation.,33 UNION SQUARE WEST,1008440019,2,105
