violation_type,law_section,nta_code,census_tract,violation_code
Critical,24 RCNY §8-04(d),MN0601,4400.0,AH8F
,,MN0101,900.0,
,,MN0401,8100.0,
,,MN0601,4400.0,
,,MN0501,5800.0,
,,MN0501,5200.0,
,,MN0501,7600.0,
PHH,24 RCNY §8-05(f)(3),MN0601,4400.0,AH8S
,,BK0102,51700.0,
Critical,24 RCNY §8-04(a),MN0604,10601.0,AH8C
General,24 RCNY §8-05(c)(1),MN0803,13800.0,AH8J
,,MN0401,11100.0,
,,QN0401,47300.0,
,,QN1401,99801.0,
,,MN1002,23400.0,
,,BK0202,1502.0,
,,MN0501,5200.0,
,,QN0401,47300.0,
Critical,24 RCNY §8-04(b),BK0401,38900.0,AH8D
Critical,24 RCNY §8-03,MN0602,5000.0,AH8B
,,MN0701,15301.0,
Critical,24 RCNY §8-05(f)(4),BK0401,38900.0,AH8T
,,MN0502,10900.0,
,,BK0801,16100.0,
Critical,24 RCNY §8-05(f)(4),MN0501,5400.0,AH8T
,,MN0101,900.0,
Critical,24 RCNY §8-05(f)(2),MN0604,10601.0,AH8R
Critical,24 RCNY §8-04(a),MN0501,5400.0,AH8C
,,MN0101,700.0,
,,MN0502,10900.0,
,,MN0502,8200.0,
,,MN0401,8100.0,
Critical,24 RCNY §8-04(b),MN0501,7600.0,AH8D
,,MN0803,13800.0,
,,MN0101,700.0,
General,24 RCNY §8-04(c),MN0101,700.0,AH8E
,,MN0401,8100.0,
,,BX1102,29600.0,
,,BK0601,4900.0,
,,MN0501,5200.0,
,,MN0502,13700.0,
General,24 RCNY §8-06(b)(2),MN0501,7600.0,AH8X
,,MN0401,8900.0,
,,MN0501,5200.0,
PHH,24 RCNY §8-05(f)(3),MN0101,700.0,AH8S
,,MN0202,5900.0,
Critical,24 RCNY §8-04(b),MN0101,700.0,AH8D
,,MN0401,8900.0,
Critical,24 RCNY §8-04(a),MN0501,5200.0,AH8C
Critical,24 RCNY §8-04(d),MN0501,5400.0,AH8F
PHH,24 RCNY §8-05(f)(5),BK0204,19500.0,AH8U
Critical,24 RCNY §8-04(a),MN0501,7600.0,AH8C
,,MN0603,7200.0,
Critical,24 RCNY §8-04(b),QN0401,47300.0,AH8D
,,MN0402,11500.0,
,,BK0601,4900.0,
,,MN0501,5400.0,
,,MN0601,4400.0,
,,BX1102,29600.0,
,,MN0801,11000.0,
,,MN0401,8900.0,
Critical,24 RCNY §8-05(c)(3),MN0501,5200.0,AH8L
,,MN0502,10400.0,
,,MN0502,10400.0,
Critical,24 RCNY §8-05(c)(3),MN0501,5400.0,AH8L
,,MN0604,9000.0,
,,MN0202,5700.0,
General,24 RCNY §8-06(b)(2),MN0501,5200.0,AH8X
,,MN0101,1300.0,
Critical,24 RCNY §8-05(f)(2),BK0401,38900.0,AH8R
PHH,24 RCNY §8-05(f)(3),BK0202,1502.0,AH8S
General,24 RCNY §8-05(f)(1),MN0501,5200.0,AH8Q
Critical,24 RCNY §8-04(b),MN0601,4400.0,AH8D
,,MN0401,11100.0,
Critical,24 RCNY §8-05(f)(4),MN0101,700.0,AH8T
Critical,24 RCNY §8-04(a),MN0501,7600.0,AH8C
Critical,24 RCNY §8-05(c)(3),MN0602,5000.0,AH8L
General,24 RCNY §8-05(c)(4),MN0101,700.0,AH8M
,,MN0803,14402.0,
General,24 RCNY §8-05(f)(1),MN0501,7600.0,AH8Q
,,MN0401,8100.0,
Critical,24 RCNY §8-03,MN0803,13800.0,AH8B
,,MN0202,5700.0,
Critical,24 RCNY §8-06(b)(1),MN0501,7600.0,AH8W
,,BK0102,51700.0,
General,24 RCNY §8-04(c),BK0601,4900.0,AH8E
,,MN0604,9000.0,
Critical,24 RCNY §8-04(b),MN0501,5400.0,AH8D
Critical,24 RCNY §8-06(b)(1),MN0501,7600.0,AH8W
,,BK0801,16100.0,
,,MN0401,8100.0,
,,MN0201,4300.0,
Critical,24 RCNY §8-05(f)(2),MN0101,700.0,AH8R
,,MN0401,8900.0,
,,MN0401,11100.0,
,,MN0501,5400.0,
,,MN0604,10601.0,
,,MN0401,8900.0,
,,MN0601,4400.0,
PHH,24 RCNY §8-05(f)(3),QN0401,47300.0,AH8S
,,MN0201,4300.0,
,,MN0501,7600.0,
Critical,24 RCNY §8-05(f)(4),MN0501,7600.0,AH8T
,,MN0601,4400.0,
,,BK0801,16100.0,
,,MN0201,4300.0,
,,MN0604,10601.0,
,,BK0601,4500.0,
,,MN0602,6400.0,
,,MN1002,23400.0,
Critical,24 RCNY §8-04(a),BK0601,4900.0,AH8C
,,MN0604,9000.0,
,,BK0801,16100.0,
Critical,24 RCNY §8-05(f)(2),MN0501,5200.0,AH8R
General,24 RCNY §8-05(f)(1),MN0501,5400.0,AH8Q
,,BK0102,51700.0,
,,MN0501,7600.0,
,,MN0501,5400.0,
,,MN0604,11203.0,
PHH,24 RCNY §8-05(f)(3),BK0401,38900.0,AH8S
Critical,24 RCNY §8-05(c)(3),MN0101,700.0,AH8L
,,MN0501,5400.0,
Critical,24 RCNY §8-04(d),BK0601,4900.0,AH8F
Critical,24 RCNY §8-04(a),MN0101,700.0,AH8C
Critical,24 RCNY §8-05(c)(3),BK0401,38900.0,AH8L
Critical,24 RCNY §8-04(d),BK0204,19500.0,AH8F
Critical,24 RCNY §8-05(c)(3),MN0601,4400.0,AH8L
,,MN0502,13700.0,
,,MN0701,15102.0,
,,MN0604,10601.0,
,,MN0701,15102.0,
,,MN0701,15301.0,
,,MN0803,14402.0,
,,BK0202,1502.0,
PHH,24 RCNY §8-05(f)(5),MN0501,7600.0,AH8U
General,24 RCNY §8-04(c),MN0501,7600.0,AH8E
General,24 RCNY §8-05(f)(1),MN0701,15301.0,AH8Q
,,MN0701,15102.0,
Critical,24 RCNY §8-05(f)(2),MN0501,5400.0,AH8R
,,MN0201,4900.0,
General,24 RCNY §8-05(c)(4),MN0501,7600.0,AH8M
Critical,24 RCNY §8-04(d),BK0401,38900.0,AH8F
Critical,24 RCNY §8-04(d),MN0502,13700.0,AH8F
Critical,24 RCNY §8-04(b),MN0501,7600.0,AH8D
,,MN0501,5400.0,
PHH,24 RCNY §8-05(f)(3),MN0101,700.0,AH8S
Critical,24 RCNY §8-04(b),MN0101,1502.0,AH8D
General,24 RCNY §8-06(a),MN0501,7600.0,AH8V
General,24 RCNY §8-06(b)(2),BK0401,38900.0,AH8X
Critical,24 RCNY §8-05(c)(3),BK0204,19500.0,AH8L
,,MN0502,10900.0,
,,MN0602,5000.0,
General,24 RCNY §8-06(a),MN0402,13501.0,AH8V
