latitude,summons_number,zip_code
40.734134,881244028.0,10009
40.692383,,10004
40.741349,,10011
40.734134,,10009
40.744912,,10001
40.738642,,10003
40.748943,,10001
40.734134,881244046.0,10009
40.720073,,11249
40.757504,881276743.0,10022
40.775262,881274103.0,10028
40.753245,,10001
40.73715,,11373
40.598656,,11691
40.824241,,10039
40.69096,,11201
40.738642,,10003
40.73715,,11373
40.703523,,10005
40.73503,881273966.0,10003
40.774184,,10023
40.703523,,10005
40.753014,,10018
40.677368,,11217
40.739329,881242771.0,10011
40.692383,,10004
40.757504,881276752.0,10022
40.739329,881242726.0,10011
40.70671,,10005
40.753014,,10018
40.750356,,10016
40.741349,,10011
40.74826,881249968.0,10001
40.775262,,10028
40.706599,,10005
40.70671,,10005
40.741349,,10011
40.852741,,10461
40.685952,,11231
40.738642,,10003
40.765834,,10019
40.748943,881252020.0,10001
40.745442,,10011
40.736858,,10003
40.70671,881200825.0,10005
40.73228,,10003
40.70671,881300530.0,10005
40.745442,,10011
40.736858,881273517.0,10003
40.739329,881242744.0,10011
40.691034,881217444.0,11205
40.74826,881241140.0,10001
40.7462,,10016
40.73715,881275982.0,11373
40.757963,,10036
40.685952,,11231
40.739329,,10011
40.734134,,10009
40.852741,,10461
40.761361,,10065
40.745442,,10011
40.736858,881273526.0,10003
40.760843,,10019
40.760843,,10019
40.739329,881242753.0,10011
40.753381,,10017
40.729852,,10003
40.736858,881273544.0,10003
40.706786,,10006
40.703523,,10005
40.69096,,11201
40.736858,,10003
40.734134,881244019.0,10009
40.753245,,10001
40.70671,881200834.0,10005
40.74826,881249959.0,10001
40.73503,881273975.0,10003
40.70671,,10005
40.778356,,10128
40.74826,,10001
40.741349,,10011
40.775262,881274094.0,10028
40.729852,,10003
40.748943,881252011.0,10001
40.720073,,11249
40.685952,,11231
40.753381,,10017
40.739329,881242735.0,10011
40.749967,881299971.0,10001
40.677368,,11217
40.741349,,10011
40.724798,,10012
40.70671,881200816.0,10005
40.745442,,10011
40.753245,,10001
40.739329,,10011
40.757504,,10022
40.745442,,10011
40.734134,,10009
40.73715,881275991.0,11373
40.724798,,10012
40.74826,,10001
40.749967,881299962.0,10001
40.734134,,10009
40.677368,,11217
40.724798,,10012
40.757504,,10022
40.690359,,11201
40.735889,,10003
40.824241,,10039
40.685952,881218571.0,11231
40.753381,,10017
40.677368,,11217
40.736858,881273535.0,10003
40.739329,,10011
40.720073,,11249
40.749967,,10001
40.736658,,10011
40.760635,,10022
40.703523,,10005
40.70671,881200807.0,10005
40.736658,,10011
40.685952,881218590.0,11231
40.70671,881200798.0,10005
40.703523,,10005
40.691034,881217426.0,11205
40.734134,881244037.0,10009
40.765834,,10019
40.775065,,10023
40.757504,,10022
40.775065,,10023
40.774184,,10023
40.778356,,10128
40.69096,,11201
40.74826,196816281.0,10001
40.74826,,10001
40.774184,881298716.0,10023
40.775065,,10023
40.739329,881242762.0,10011
40.724979,,10012
40.74826,,10001
40.703523,,10005
40.76495,880754207.0,10019
40.749967,881299944.0,10001
40.739329,,10011
40.70671,881300540.0,10005
40.707712,881086461.0,10038
40.74826,,10001
40.703523,,10005
40.691034,881217435.0,11205
40.752212,,10018
40.73503,,10003
40.766532,,10019
40.736858,,10003
40.735889,,10003
40.852741,,10461
40.707712,881086452.0,10038
40.736658,881275313.0,10011
40.757504,,10022
40.852045,,10461
40.74826,881249977.0,10001
40.748943,,10001
40.760843,,10019
40.753381,,10017
40.74826,,10001
40.74826,881249986.0,10001
40.757963,,10036
40.775065,,10023
40.775262,881274112.0,10028
40.761361,,10065
40.749967,881299953.0,10001
40.73503,,10003
40.744912,,10001
40.706599,,10005
40.720073,,11249
40.69096,,11201
40.757963,,10036
40.70671,,10005
40.775262,,10028
40.765834,,10019
40.703523,,10005
40.852741,,10461
40.760843,,10019
40.734134,881244055.0,10009
40.757504,881276761.0,10022
40.692383,,10004
40.761537,,10044
40.724979,,10012
40.824241,,10039
40.765834,,10019
40.753381,,10017
40.73503,881273984.0,10003
40.691034,,11205
40.677368,,11217
40.749967,,10001
40.753381,,10017
40.685952,,11231
40.729852,,10003
40.685952,881218580.0,11231
40.691034,881217453.0,11205
