active_equip,inspection_date,violation_text
1,2021-03-08T00:00:00.000,Twice yearly or other required cleaning not conducted or documented
1,2020-10-02T00:00:00.000,
1,2020-01-31T00:00:00.000,
1,2023-04-05T00:00:00.000,
1,2022-05-09T00:00:00.000,
1,2022-09-20T00:00:00.000,
1,2020-10-02T00:00:00.000,
1,2021-03-08T00:00:00.000,"Legionella samples not collected or analyzed, or results not recorded or reported to DOHMH as required"
2,2020-11-09T00:00:00.000,
1,2022-07-26T00:00:00.000,"Routine monitoring not conducted, documented at least once a week when tower is in use"
1,2022-06-07T00:00:00.000,Use of an unqualified biocide applicator
4,2024-01-02T00:00:00.000,
1,2023-06-23T00:00:00.000,
1,2024-12-17T00:00:00.000,
1,2023-09-13T00:00:00.000,
1,2022-10-13T00:00:00.000,
1,2020-09-30T00:00:00.000,
1,2020-10-05T00:00:00.000,
1,2021-10-18T00:00:00.000,"Compliance inspections not conducted, documented at least once every 90 days when the tower is in use"
1,2022-06-17T00:00:00.000,Maintenance Program and Plan incomplete or not on premises
1,2020-09-30T00:00:00.000,
1,2022-05-12T00:00:00.000,Failure to monitor and sample from representative locations and times
2,2023-01-09T00:00:00.000,
1,2021-09-28T00:00:00.000,
1,2020-02-11T00:00:00.000,Failure to monitor and sample from representative locations and times
1,2022-08-12T00:00:00.000,
1,2022-07-26T00:00:00.000,"Failure to collect, analyze or record weekly biological process control indicators"
1,2020-02-11T00:00:00.000,"Routine monitoring not conducted, documented at least once a week when tower is in use"
1,2022-08-29T00:00:00.000,
2,2021-07-01T00:00:00.000,
0,2021-08-10T00:00:00.000,
1,2021-05-21T00:00:00.000,
0,2021-05-21T00:00:00.000,"Compliance inspections not conducted, documented at least once every 90 days when the tower is in use"
1,2023-11-13T00:00:00.000,
1,2021-09-16T00:00:00.000,
1,2020-02-06T00:00:00.000,Routine maintenance according to Maintenance Program and Plan not conducted or documented
1,2021-02-19T00:00:00.000,
1,2023-10-20T00:00:00.000,
1,2021-06-02T00:00:00.000,
1,2021-07-22T00:00:00.000,
1,2022-04-06T00:00:00.000,
1,2021-08-05T00:00:00.000,"Legionella samples not collected, analyzed before system start-up"
1,2022-07-27T00:00:00.000,
1,2020-10-05T00:00:00.000,
1,2020-02-06T00:00:00.000,"Legionella samples not collected or analyzed, or results not recorded or reported to DOHMH as required"
1,2024-12-17T00:00:00.000,
1,2023-10-25T00:00:00.000,"Compliance inspections not conducted, documented at least once every 90 days when the tower is in use"
1,2020-10-07T00:00:00.000,
1,2022-06-14T00:00:00.000,"Routine monitoring not conducted, documented at least once a week when tower is in use"
1,2020-02-11T00:00:00.000,Twice yearly or other required cleaning not conducted or documented
1,2020-10-06T00:00:00.000,Required corrective actions not taken based on bacteriological results
0,2020-02-25T00:00:00.000,"Routine monitoring not conducted, documented at least once a week when tower is in use"
1,2024-12-17T00:00:00.000,
1,2022-06-23T00:00:00.000,"Compliance inspections not conducted, documented at least once every 90 days when the tower is in use"
1,2022-02-04T00:00:00.000,
1,2022-11-01T00:00:00.000,
1,2021-10-12T00:00:00.000,
1,2021-05-19T00:00:00.000,
1,2020-08-10T00:00:00.000,
1,2020-09-29T00:00:00.000,
1,2022-06-29T00:00:00.000,
1,2022-06-14T00:00:00.000,No records of all chemicals and biocides (C&B) added
1,2020-10-01T00:00:00.000,
1,2023-08-18T00:00:00.000,
1,2020-02-11T00:00:00.000,No records of all chemicals and biocides (C&B) added
1,2020-10-06T00:00:00.000,
1,2023-10-13T00:00:00.000,
1,2022-06-14T00:00:00.000,"Legionella samples not collected, analyzed before system start-up"
0,2020-03-04T00:00:00.000,
1,2022-05-12T00:00:00.000,"Failure to collect, analyze or record weekly biological process control indicators"
1,2021-08-11T00:00:00.000,"Legionella samples not collected or analyzed, or results not recorded or reported to DOHMH as required"
1,2022-06-14T00:00:00.000,"Minimum daily water quality measurements not taken or recorded (or if automated, not viewable)"
1,2021-03-08T00:00:00.000,"Compliance inspections not conducted, documented at least once every 90 days when the tower is in use"
4,2020-02-27T00:00:00.000,
1,2020-02-06T00:00:00.000,Failure to monitor and sample from representative locations and times
0,2021-05-21T00:00:00.000,"Routine monitoring not conducted, documented at least once a week when tower is in use"
