longitude,borough
-73.980104,Manhattan
-74.014448,Manhattan
-73.999065,Manhattan
-73.980104,Manhattan
-73.990989,Manhattan
-73.987955,Manhattan
-73.98648,Manhattan
-73.980104,Manhattan
-73.956868,Brooklyn
-73.962518,Manhattan
-73.954164,Manhattan
-73.994864,Manhattan
-73.877092,Queens
-73.753488,Queens
-73.940303,Manhattan
-73.98488,Brooklyn
-73.987955,Manhattan
-73.877092,Queens
-73.985094,Brooklyn
-73.986328,Manhattan
-73.979117,Manhattan
-73.985094,Brooklyn
-73.990861,Manhattan
-73.973073,Brooklyn
-73.995042,Manhattan
-74.014448,Manhattan
-73.962518,Manhattan
-73.995042,Manhattan
-74.008916,Manhattan
-73.990861,Manhattan
-73.982719,Manhattan
-73.999065,Manhattan
-73.988491,Manhattan
-73.954164,Manhattan
-74.008404,Manhattan
-74.008916,Manhattan
-73.999065,Manhattan
-73.846403,Bronx
-73.999859,Brooklyn
-73.987955,Manhattan
-73.981553,Manhattan
-73.98648,Manhattan
-74.001483,Manhattan
-73.990968,Manhattan
-74.008916,Manhattan
-73.99387,Manhattan
-74.008916,Manhattan
-74.001483,Manhattan
-73.990968,Manhattan
-73.995042,Manhattan
-73.968971,Brooklyn
-73.988491,Manhattan
-73.97853,Manhattan
-73.877092,Queens
-73.992265,Manhattan
-73.999859,Brooklyn
-73.995042,Manhattan
-73.980104,Manhattan
-73.846403,Bronx
-73.962834,Manhattan
-74.001483,Manhattan
-73.990968,Manhattan
-73.976255,Manhattan
-73.976255,Manhattan
-73.995042,Manhattan
-73.968277,Manhattan
-73.992749,Manhattan
-73.990968,Manhattan
-74.013302,Manhattan
-73.985094,Brooklyn
-73.98488,Brooklyn
-73.990968,Manhattan
-73.980104,Manhattan
-73.994864,Manhattan
-74.008916,Manhattan
-73.988491,Manhattan
-73.986328,Manhattan
-74.008916,Manhattan
-73.947872,Manhattan
-73.988491,Manhattan
-73.999065,Manhattan
-73.954164,Manhattan
-73.992749,Manhattan
-73.98648,Manhattan
-73.956868,Brooklyn
-73.999859,Brooklyn
-73.968277,Manhattan
-73.995042,Manhattan
-73.987141,Manhattan
-73.973073,Brooklyn
-73.999065,Manhattan
-73.996706,Manhattan
-74.008916,Manhattan
-74.001483,Manhattan
-73.994864,Manhattan
-73.995042,Manhattan
-73.962518,Manhattan
-74.001483,Manhattan
-73.980104,Manhattan
-73.877092,Queens
-73.996706,Manhattan
-73.988491,Manhattan
-73.987141,Manhattan
-73.980104,Manhattan
-73.973073,Brooklyn
-73.996706,Manhattan
-73.962518,Manhattan
-73.995673,Brooklyn
-73.982835,Manhattan
-73.940303,Manhattan
-73.999859,Brooklyn
-73.968277,Manhattan
-73.973073,Brooklyn
-73.990968,Manhattan
-73.995042,Manhattan
-73.956868,Brooklyn
-73.987141,Manhattan
-73.993638,Manhattan
-73.968989,Manhattan
-73.985094,Brooklyn
-74.008916,Manhattan
-73.993638,Manhattan
-73.999859,Brooklyn
-74.008916,Manhattan
-73.985094,Brooklyn
-73.968971,Brooklyn
-73.980104,Manhattan
-73.981553,Manhattan
-73.988425,Manhattan
-73.962518,Manhattan
-73.988425,Manhattan
-73.979117,Manhattan
-73.947872,Manhattan
-73.98488,Brooklyn
-73.988491,Manhattan
-73.988491,Manhattan
-73.979117,Manhattan
-73.988425,Manhattan
-73.995042,Manhattan
-73.998871,Manhattan
-73.988491,Manhattan
-73.985094,Brooklyn
-73.98169,Manhattan
-73.987141,Manhattan
-73.995042,Manhattan
-74.008916,Manhattan
-74.006229,Manhattan
-73.988491,Manhattan
-73.985094,Brooklyn
-73.968971,Brooklyn
-73.986895,Manhattan
-73.986328,Manhattan
-73.991617,Manhattan
-73.990968,Manhattan
-73.982835,Manhattan
-73.846403,Bronx
-74.006229,Manhattan
-73.993638,Manhattan
-73.962518,Manhattan
-73.844349,Bronx
-73.988491,Manhattan
-73.98648,Manhattan
-73.976255,Manhattan
-73.968277,Manhattan
-73.988491,Manhattan
-73.988491,Manhattan
-73.992265,Manhattan
-73.988425,Manhattan
-73.954164,Manhattan
-73.962834,Manhattan
-73.987141,Manhattan
-73.986328,Manhattan
-73.990989,Manhattan
-74.008404,Manhattan
-73.956868,Brooklyn
-73.98488,Brooklyn
-73.992265,Manhattan
-74.008916,Manhattan
-73.954164,Manhattan
-73.981553,Manhattan
-73.985094,Brooklyn
-73.846403,Bronx
-73.976255,Manhattan
-73.980104,Manhattan
-73.962518,Manhattan
-74.014448,Manhattan
-73.950344,Manhattan
-73.998871,Manhattan
-73.940303,Manhattan
-73.981553,Manhattan
-73.968277,Manhattan
-73.986328,Manhattan
-73.968971,Brooklyn
-73.973073,Brooklyn
-73.987141,Manhattan
-73.968277,Manhattan
-73.999859,Brooklyn
-73.992749,Manhattan
-73.999859,Brooklyn
-73.968971,Brooklyn
