received_a_referral_for_social,enrolled_in_college_readiness,council_district
0,0,19
94,94,24
56,56,24
10,10,27
1633,1633,8
0,0,33
453,453,17
315,315,1
309,309,17
642,642,42
895,895,9
0,0,21
0,0,48
554,554,36
308,308,47
0,0,25
0,0,44
171,171,38
475,475,2
116,116,10
837,837,16
179,179,38
0,0,30
214,214,13
0,0,4
965,965,41
576,576,18
209,209,13
13299,13299,Total
179,179,38
46,46,45
108,108,15
0,0,32
0,0,5
0,0,43
0,0,32
1,1,23
305,305,46
84,84,6
0,0,25
87,87,22
985,985,9
133,133,33
798,798,42
88,88,10
393,393,26
594,594,16
0,0,30
735,735,16
318,318,26
60,60,50
664,664,17
1,1,21
3,3,27
0,0,44
300,300,34
1067,1067,41
4,4,40
855,855,9
85,85,45
72,72,3
141,141,1
0,0,5
113,113,22
1,1,11
0,0,29
340,340,46
0,0,23
0,0,21
61,61,5
10100,10100,Total
46,46,14
296,296,35
696,696,36
187,187,38
88,88,10
142,142,14
459,459,34
723,723,18
0,0,51
180,180,39
0,0,48
143,143,37
133,133,37
113,113,22
407,407,26
398,398,7
397,397,12
267,267,33
0,0,39
8,8,27
87,87,15
0,0,44
139,139,24
430,430,49
317,317,7
0,0,32
477,477,2
213,213,1
0,0,4
481,481,34
0,0,43
5,5,27
0,0,4
0,0,25
0,0,29
426,426,26
801,801,42
26,26,20
162,162,14
74,74,3
299,299,31
0,0,40
3,3,39
99,99,6
0,0,11
53,53,50
347,347,12
471,471,49
129,129,6
380,380,31
1170,1170,8
26,26,20
56,56,50
157,157,39
13,13,20
820,820,36
106,106,28
887,887,42
0,0,43
428,428,7
290,290,47
807,807,18
735,735,9
701,701,16
0,0,30
298,298,35
124,124,37
23,23,20
221,221,47
144,144,37
972,972,41
0,0,21
0,0,48
107,107,28
0,0,30
106,106,6
163,163,15
411,411,2
345,345,1
247,247,13
0,0,11
168,168,13
449,449,7
1,1,11
0,0,25
0,0,33
177,177,46
1979,1979,8
81,81,15
717,717,18
82,82,45
60,60,14
374,374,34
779,779,41
0,0,32
80,80,3
134,134,10
1936,1936,8
401,401,31
82,82,3
0,0,19
124,124,22
0,0,19
0,0,29
59,59,28
0,0,43
2,2,23
107,107,28
813,813,36
4,4,40
419,419,35
13529,13529,Total
467,467,2
0,0,19
679,679,17
7,7,40
404,404,12
0,0,4
0,0,51
90,90,24
35,35,5
0,0,44
0,0,51
279,279,12
397,397,31
1,1,23
0,0,29
538,538,35
445,445,49
