enrolled_in_financial
0
94
56
10
1633
0
453
315
309
642
895
0
0
554
308
0
0
171
475
116
837
179
0
214
0
965
576
209
13299
179
46
108
0
0
0
0
1
305
84
0
87
985
133
798
88
393
594
0
735
318
60
664
1
3
0
300
1067
4
855
85
72
141
0
113
1
0
340
0
0
61
10100
46
296
696
187
88
142
459
723
0
180
0
143
133
113
407
398
397
267
0
8
87
0
139
430
317
0
477
213
0
481
0
5
0
0
0
426
801
26
162
74
299
0
3
99
0
53
347
471
129
380
1170
26
56
157
13
820
106
887
0
428
290
807
735
701
0
298
124
23
221
144
972
0
0
107
0
106
163
411
345
247
0
168
449
1
0
0
177
1979
81
717
82
60
374
779
0
80
134
1936
401
82
0
124
0
0
59
0
2
107
813
4
419
13529
467
0
679
7
404
0
0
90
35
0
0
279
397
1
0
538
445
