year,applied_for_the_program
2022,0
2023,119
2021,175
2024,13
2022,2315
2023,0
2022,695
2023,492
2021,669
2021,1073
2023,1248
2023,0
2023,0
2021,934
2022,510
2024,0
2022,0
2024,234
2022,740
2021,192
2022,1241
2023,275
2022,0
2023,307
2024,0
2023,1412
2021,1019
2022,298
2022,19179
2021,281
2021,113
2021,216
2022,1
2023,0
2023,0
2021,0
2024,1
2022,423
2021,180
2022,0
2021,167
2022,1422
2021,281
2022,1114
2024,120
2024,526
2021,1145
2024,0
2024,1072
2021,573
2023,82
2023,893
2022,2
2021,15
2023,0
2021,451
2024,1329
2022,9
2024,1192
2023,115
2024,111
2021,335
2024,0
2023,153
2021,5
2024,0
2023,424
2021,0
2021,0
2022,86
2021,18355
2021,115
2024,629
2022,1026
2022,258
2023,115
2023,191
2023,589
2023,1021
2021,0
2023,244
2022,0
2024,182
2022,194
2024,142
2022,570
2022,597
2024,548
2022,337
2022,0
2022,18
2023,118
2021,0
2024,179
2022,589
2021,586
2023,0
2024,674
2022,365
2023,0
2024,623
2024,0
2023,8
2022,0
2023,0
2021,0
2023,583
2023,1093
2022,46
2024,209
2021,153
2021,482
2021,6
2021,3
2024,148
2024,0
2021,80
2022,509
2021,629
2022,192
2023,501
2021,2158
2023,39
2022,82
2024,222
2021,38
2024,1176
2024,129
2024,1136
2022,0
2024,592
2023,459
2022,1150
2021,1272
2023,1011
2023,0
2023,664
2021,203
2024,35
2021,514
2023,184
2022,1350
2024,0
2021,0
2023,142
2021,0
2023,152
2022,234
2021,805
2024,513
2024,315
2023,0
2021,267
2023,604
2022,4
2021,0
2024,0
2021,408
2023,2834
2024,98
2024,935
2022,121
2022,102
2022,470
2021,1361
2024,0
2023,118
2022,203
2024,2875
2024,489
2022,128
2023,0
2022,183
2021,1
2022,0
2021,127
2021,0
2022,7
2022,159
2023,1183
2023,4
2021,719
2023,19215
2023,687
2024,0
2024,869
2024,7
2023,546
2021,0
2023,0
2022,138
2021,79
2024,0
2022,0
2021,525
2022,508
2023,1
2023,0
2022,783
2023,604
