of_8th_grade_students_that,of_8th_grade_students_that_2,of_8th_grade_students_that_1
2961.0,1991.0,0.979
617.0,410.0,0.779
955.0,446.0,0.939
1655.0,548.0,0.844
2380.0,926.0,0.81
4112.0,2135.0,0.957
874.0,317.0,0.848
1754.0,471.0,0.714
1310.0,755.0,0.921
1058.0,572.0,0.94
288.0,176.0,0.983
604.0,213.0,0.895
1487.0,837.0,0.967
2933.0,1673.0,0.804
1929.0,1011.0,0.965
2549.0,1278.0,0.977
1224.0,587.0,0.931
3899.0,2013.0,0.914
2275.0,927.0,0.939
2723.0,1735.0,0.996
,,
1328.0,505.0,0.855
870.0,433.0,0.941
1433.0,677.0,0.956
665.0,93.0,0.993
,,
1899.0,1476.0,0.954
2853.0,1978.0,0.944
59263.0,33107.0,0.919
3153.0,2368.0,0.925
965.0,670.0,0.991
1866.0,946.0,0.951
3870.0,3030.0,0.961
715.0,567.0,0.919
2059.0,1343.0,0.963
