of_8th_grade_students,of_schools_serving_grades_2,of_schools_serving_grades_1,number_of_part_time_teachers,of_schools_serving_grade_2,of_8th_grade_students_that_3
1960.0,0.727,16.0,2.0,0.286,0.28
,,,,,
1963.0,0.346,9.0,1.0,0.25,0.482
2138.0,0.357,10.0,3.0,0.0,0.628
293.0,0.429,6.0,1.0,0.0,0.601
3647.0,0.262,11.0,4.0,0.074,0.459
675.0,0.5,8.0,2.0,0.091,0.316
4296.0,0.563,18.0,5.0,0.438,0.497
3022.0,0.318,7.0,3.0,0.063,0.655
1315.0,0.143,3.0,1.0,0.0,0.446
2455.0,0.2,6.0,0.0,0.038,0.192
974.0,0.143,2.0,0.0,0.111,0.688
3407.0,0.564,22.0,1.0,0.174,0.695
4267.0,0.28,14.0,2.0,0.333,0.472
778.0,0.176,3.0,1.0,0.111,0.729
1422.0,0.261,6.0,0.0,0.059,0.531
4027.0,0.484,15.0,0.0,0.267,0.752
1554.0,0.364,8.0,1.0,0.063,0.325
1999.0,0.182,4.0,3.0,0.0,0.506
1031.0,0.308,4.0,0.0,0.111,0.307
1990.0,0.37,10.0,2.0,0.3,0.742
64508.0,0.377,302.0,56.0,0.111,0.513
2609.0,0.324,12.0,5.0,0.0,0.49
1017.0,0.353,6.0,1.0,0.077,0.439
925.0,0.211,4.0,0.0,0.071,0.468
670.0,0.263,5.0,3.0,0.2,0.139
1499.0,0.409,9.0,1.0,0.0,0.452
2939.0,0.097,3.0,1.0,0.05,0.315
2423.0,0.593,16.0,2.0,0.214,0.383
3025.0,0.563,18.0,2.0,0.118,0.658
,,,,,
2734.0,0.692,18.0,0.0,0.133,0.635
1537.0,0.192,5.0,2.0,0.053,0.545
1125.0,0.75,15.0,1.0,0.1,0.508
792.0,0.6,9.0,6.0,0.077,0.518
