of_graduates,of_8th_grade_students_that,number_of_part_time_teachers_2,number_of_full_time_teachers_3,of_schools_serving_grades,number_of_full_time_teachers_2,number_of_full_time_teachers
813.0,604.0,1.0,9.0,16.0,4.0,1.0
2298.0,2723.0,1.0,38.0,26.0,2.0,2.0
1616.0,1754.0,2.0,27.0,30.0,7.0,3.0
1180.0,1433.0,0.0,17.0,22.0,2.0,3.0
2425.0,2961.0,0.0,43.0,32.0,12.0,6.0
3157.0,1655.0,1.0,27.0,22.0,6.0,9.0
915.0,870.0,0.0,15.0,19.0,1.0,4.0
1647.0,1310.0,0.0,23.0,23.0,7.0,6.0
1549.0,1929.0,2.0,35.0,22.0,7.0,9.0
,,,,,,
1297.0,1058.0,3.0,24.0,20.0,1.0,4.0
64852.0,59263.0,59.0,905.0,802.0,168.0,168.0
2030.0,1224.0,4.0,42.0,21.0,17.0,15.0
8083.0,2549.0,5.0,106.0,37.0,14.0,6.0
1086.0,1328.0,1.0,17.0,22.0,2.0,4.0
839.0,715.0,0.0,13.0,17.0,2.0,5.0
,,,,,,
2430.0,3153.0,0.0,39.0,39.0,2.0,2.0
2438.0,1899.0,2.0,28.0,27.0,5.0,4.0
2483.0,2853.0,4.0,35.0,22.0,9.0,8.0
333.0,617.0,4.0,9.0,15.0,1.0,1.0
3345.0,2275.0,3.0,25.0,27.0,7.0,5.0
999.0,874.0,0.0,13.0,13.0,2.0,1.0
1542.0,955.0,0.0,21.0,17.0,2.0,0.0
957.0,2059.0,2.0,22.0,28.0,1.0,8.0
4169.0,3899.0,5.0,36.0,50.0,9.0,6.0
2723.0,665.0,2.0,18.0,19.0,5.0,7.0
1350.0,1866.0,3.0,32.0,26.0,9.0,11.0
3041.0,4112.0,3.0,45.0,32.0,6.0,9.0
304.0,288.0,0.0,3.0,14.0,2.0,2.0
2747.0,3870.0,3.0,40.0,31.0,8.0,7.0
556.0,965.0,1.0,11.0,14.0,1.0,4.0
1130.0,1487.0,2.0,19.0,26.0,3.0,4.0
1847.0,2380.0,3.0,30.0,31.0,3.0,3.0
3523.0,2933.0,2.0,43.0,42.0,9.0,9.0
