community_school_district,of_8th_grade_students,number_of_part_time_teachers_3
26,1960.0,6.0
New York City Department of Education,,
15,1963.0,9.0
29,2138.0,6.0
16,293.0,2.0
10,3647.0,12.0
5,675.0,0.0
24,4296.0,6.0
21,3022.0,7.0
3,1315.0,3.0
9,2455.0,9.0
32,974.0,1.0
27,3407.0,10.0
31,4267.0,7.0
1,778.0,7.0
17,1422.0,7.0
20,4027.0,7.0
19,1554.0,4.0
8,1999.0,6.0
18,1031.0,4.0
22,1990.0,5.0
Citywide,64508.0,211.0
2,2609.0,30.0
7,1017.0,7.0
4,925.0,3.0
13,670.0,4.0
12,1499.0,3.0
11,2939.0,5.0
28,2423.0,12.0
30,3025.0,8.0
Arts Reporting 2019-20 -- Community School District Summary,,
25,2734.0,7.0
6,1537.0,7.0
14,1125.0,4.0
23,792.0,3.0
