community_school_district,of_graduates,of_graduates_that_met,of_graduates_that_met_1,of_schools_serving_grade_1
26,3157.0,3157.0,1.0,2.0
New York City Department of Education,,,,
15,1350.0,1348.0,0.999,3.0
29,957.0,957.0,1.0,0.0
16,304.0,303.0,0.997,0.0
10,3523.0,3522.0,1.0,2.0
5,813.0,813.0,1.0,1.0
24,3041.0,3039.0,0.999,7.0
21,2483.0,2462.0,0.992,1.0
3,2030.0,2030.0,1.0,0.0
9,1616.0,1616.0,1.0,1.0
32,556.0,556.0,1.0,1.0
27,2430.0,2428.0,0.999,4.0
31,4169.0,4169.0,1.0,5.0
1,839.0,839.0,1.0,1.0
17,1647.0,1647.0,1.0,1.0
20,2747.0,2744.0,0.999,4.0
19,1086.0,1082.0,0.996,1.0
8,1549.0,1538.0,0.993,0.0
18,999.0,998.0,0.999,1.0
22,2438.0,2438.0,1.0,3.0
Citywide,64852.0,64789.0,0.999,53.0
2,8083.0,8081.0,1.0,0.0
7,1542.0,1540.0,0.999,1.0
4,915.0,915.0,1.0,1.0
13,2723.0,2718.0,0.998,2.0
12,1180.0,1180.0,1.0,0.0
11,1847.0,1847.0,1.0,1.0
28,3345.0,3342.0,0.999,3.0
30,2425.0,2425.0,1.0,2.0
Arts Reporting 2019-20 -- Community School District Summary,,,,
25,2298.0,2298.0,1.0,2.0
6,1130.0,1127.0,0.997,1.0
14,1297.0,1297.0,1.0,1.0
23,333.0,333.0,1.0,1.0
