of_graduates_that_met,number_of_full_time_teachers_1,of_schools_serving_grade
3157.0,23.0,7.0
,,
1348.0,18.0,12.0
957.0,14.0,17.0
303.0,3.0,6.0
3522.0,33.0,27.0
813.0,10.0,11.0
3039.0,33.0,16.0
2462.0,32.0,16.0
2030.0,33.0,19.0
1616.0,8.0,26.0
556.0,5.0,9.0
2428.0,30.0,23.0
4169.0,42.0,15.0
839.0,9.0,9.0
1647.0,18.0,17.0
2744.0,38.0,15.0
1082.0,10.0,16.0
1538.0,15.0,16.0
998.0,8.0,9.0
2438.0,32.0,10.0
64789.0,643.0,479.0
8081.0,42.0,23.0
1540.0,7.0,13.0
915.0,13.0,14.0
2718.0,12.0,10.0
1180.0,14.0,15.0
1847.0,21.0,20.0
3342.0,26.0,14.0
2425.0,37.0,17.0
,,
2298.0,25.0,15.0
1127.0,15.0,19.0
1297.0,14.0,10.0
333.0,3.0,13.0
