admitted_dt,inmateid,gender
2018-08-24T16:57:00.000,20193263,M 
2018-08-01T16:15:34.000,20197121,M 
2018-08-01T12:13:51.000,20045740,M 
2018-08-20T17:38:00.000,20046629,M 
2018-08-07T03:33:46.000,20197275,M 
2018-08-25T11:09:00.000,10010679,M 
2018-08-14T16:46:00.000,20108743,M 
2018-08-21T13:56:00.000,20160163,M 
2018-08-03T01:04:00.000,20187899,M 
2018-08-16T01:21:00.000,42481,M 
2018-08-08T11:48:20.000,20043962,M 
2018-08-15T16:47:28.000,82039,M 
2018-08-25T21:13:19.000,122043,M 
2018-08-12T20:18:01.000,20197446,M 
2018-08-05T13:04:57.000,123424,M 
2018-08-24T20:59:00.000,20197793,F 
2018-08-09T16:16:42.000,20056735,M 
2018-08-10T21:13:23.000,138886,M 
2018-08-14T01:45:00.000,20197482,M 
2018-08-18T19:15:53.000,52336,M 
2018-08-11T20:24:17.000,20152561,M 
2018-08-23T18:34:24.000,20122449,M 
2018-08-16T15:45:18.000,20197574,M 
2018-08-21T18:38:00.000,20084821,M 
2018-08-28T19:28:30.000,20197883,M 
2018-08-25T19:35:30.000,10011661,M 
2018-08-25T20:13:00.000,62964,M 
2018-08-11T19:37:56.000,20166572,M 
2018-08-06T23:54:50.000,90850,M 
2018-08-05T12:19:31.000,137314,F 
2018-08-03T16:07:00.000,20131366,M 
2018-08-18T16:59:55.000,20165094,M 
2018-08-29T09:51:53.000,106560,M 
2018-08-22T16:37:00.000,20030255,M 
2018-08-06T01:13:00.000,35705,M 
2018-08-22T10:18:31.000,20059742,M 
2018-08-25T02:39:17.000,20048091,M 
2018-08-09T01:34:42.000,20015128,F 
2018-08-28T16:37:00.000,161247,M 
2018-08-17T16:20:29.000,20120013,M 
2018-08-22T17:00:17.000,20146450,F 
2018-08-17T13:14:32.000,20170627,M 
2018-08-14T19:55:06.000,20167263,M 
2018-08-29T13:41:22.000,111199,M 
2018-08-07T21:45:18.000,20197301,M 
2018-08-31T23:03:00.000,20188950,M 
2018-08-19T16:14:23.000,20174448,M 
2018-08-07T00:30:02.000,20072732,M 
2018-08-21T11:30:00.000,17274,M 
2018-08-28T16:33:26.000,20171425,M 
2018-08-31T19:08:20.000,20067101,M 
2018-08-21T16:51:00.000,20196403,M 
2018-08-09T17:19:18.000,163077,M 
2018-08-01T18:45:09.000,5698,M 
2018-08-15T11:43:01.000,134879,M 
2018-08-01T13:42:30.000,20025194,M 
2018-08-05T19:13:46.000,20037818,M 
2018-08-31T11:52:00.000,75202,M 
2018-08-08T17:15:29.000,20175419,M 
2018-08-02T00:05:22.000,20150289,M 
2018-08-28T16:26:00.000,20153284,M 
2018-08-03T17:28:26.000,118515,M 
2018-08-09T06:14:10.000,20078571,M 
2018-08-30T00:02:24.000,10015263,M 
2018-08-09T20:05:59.000,20168689,F 
2018-08-22T00:10:26.000,20197716,M 
2018-08-28T11:23:43.000,20166368,M 
