admitted_dt,inmate_status_code
2018-08-01T15:18:00.000,DE
2018-08-30T19:35:11.000,DE
2018-08-01T13:54:40.000,DE
2018-08-08T18:43:24.000,DPV
2018-08-15T00:56:56.000,DE
2018-08-11T19:51:44.000,DE
2018-08-12T00:07:00.000,DE
2018-08-24T13:09:54.000,DE
2018-08-04T01:29:00.000,DE
2018-08-11T12:40:30.000,CS
2018-08-28T15:22:30.000,CS
2018-08-30T16:33:59.000,DE
2018-08-25T06:46:49.000,SSR
2018-08-02T11:18:45.000,DE
2018-08-10T18:50:39.000,DPV
2018-08-15T17:47:15.000,DE
2018-08-17T15:04:56.000,DE
2018-08-30T17:57:24.000,DE
2018-08-13T18:06:48.000,DE
2018-08-14T14:38:24.000,CS
2018-08-21T13:54:40.000,DE
2018-08-30T01:47:33.000,DE
2018-08-29T22:30:00.000,DE
2018-08-23T10:15:28.000,DE
2018-08-23T11:20:00.000,DPV
2018-08-05T22:30:00.000,DE
2018-08-06T18:43:14.000,DE
2018-08-06T13:51:14.000,DE
2018-08-21T17:06:35.000,DE
2018-08-30T17:37:32.000,DE
2018-08-20T19:13:10.000,DE
2018-08-14T16:33:58.000,DE
2018-08-13T12:30:00.000,DE
2018-08-23T17:24:23.000,DE
2018-08-15T17:29:18.000,DE
2016-02-01T13:14:49.000,DE
2018-08-11T17:06:04.000,DE
2018-08-11T16:38:06.000,DE
2018-08-01T23:30:00.000,DPV
2018-08-26T14:01:03.000,DE
2018-08-13T02:03:38.000,DE
2018-08-12T17:49:13.000,DEP
2018-08-03T00:45:09.000,DE
2018-08-15T16:31:22.000,DE
2018-08-14T13:11:51.000,DE
2018-08-18T01:38:17.000,DE
2018-08-06T20:22:19.000,DE
2018-08-21T00:05:15.000,DE
2018-08-01T10:42:46.000,DE
2018-08-06T13:31:22.000,DE
2018-08-10T01:29:00.000,DE
2018-08-23T01:38:00.000,DE
2018-08-02T00:10:45.000,DE
2018-08-09T18:29:43.000,CS
2016-02-01T13:12:35.000,DE
2018-08-03T00:30:47.000,DE
2018-08-07T12:45:28.000,DE
2018-08-20T00:34:00.000,DE
2018-08-04T03:28:34.000,DPV
2018-08-27T17:57:50.000,DE
2018-08-19T01:24:31.000,DE
2018-08-26T02:30:11.000,DE
2018-08-26T12:20:28.000,DE
2018-08-18T12:11:12.000,DE
2018-08-30T16:13:23.000,DPV
2018-08-14T22:37:05.000,DEP
2018-08-08T23:43:00.000,DE
