inmateid,discharged_dt,top_charge,race
20063103,,220.03,UNKNOWN
20102269,,120.05,UNKNOWN
20145065,,265.03,UNKNOWN
20197967,,120.05,BLACK
20197621,2018-08-17T00:13:05.000,,UNKNOWN
20188740,,260.10,UNKNOWN
19389,,AC 999.99,BLACK
20197369,2018-08-30T16:57:04.000,,BLACK
20194723,,155.40,UNKNOWN
20197484,,120.05,BLACK
116997,2018-08-22T21:29:03.000,170.20,BLACK
20176309,2018-08-09T00:26:01.000,,UNKNOWN
20172926,,,BLACK
20195731,2018-08-14T03:33:05.000,155.25,UNKNOWN
20197300,2018-08-09T14:30:05.000,,UNKNOWN
20176038,,120.00,BLACK
20197277,2018-08-17T08:12:02.000,VTL 1190,UNKNOWN
20014341,,140.20,BLACK
20176346,2018-08-22T00:48:02.000,220.03,BLACK
85829,2018-08-16T00:13:04.000,,BLACK
22739,2018-08-15T21:58:04.000,,BLACK
110299,,,UNKNOWN
69806,2018-08-06T02:23:03.000,220.03,UNKNOWN
83587,2018-09-01T00:30:01.000,,BLACK
10005270,,,UNKNOWN
7492,2018-08-10T02:35:00.000,,UNKNOWN
74629,,,UNKNOWN
20177161,,220.16,ASIAN
20197573,2018-08-31T16:38:00.000,,BLACK
31579,2018-08-11T00:48:03.000,,BLACK
10004536,,VTL 1192.3,BLACK
20070147,,,BLACK
20031992,,120.13,BLACK
20197847,2018-08-28T20:55:05.000,,UNKNOWN
20112400,2018-08-20T21:31:01.000,,BLACK
20133949,2018-08-15T02:38:01.000,CO,UNKNOWN
4608,,125.25,BLACK
20197343,2018-08-13T17:33:02.000,,UNKNOWN
20197179,2018-08-06T10:26:03.000,,UNKNOWN
20019118,2018-08-21T14:33:01.000,,BLACK
20153625,,140.25,BLACK
20026021,,120.00,BLACK
20185903,,220.39,UNKNOWN
20004496,,125.25,UNKNOWN
20197623,,220.21,ASIAN
20180558,,155.25,UNKNOWN
20166653,,,UNKNOWN
20197230,2018-08-04T21:22:03.000,,UNKNOWN
20073991,,,UNKNOWN
169718,,,UNKNOWN
98440,,220.39,UNKNOWN
20084861,2018-08-17T17:55:05.000,,UNKNOWN
20119618,,,UNKNOWN
20191402,2018-08-31T13:04:02.000,,BLACK
123490,,120.10,BLACK
20197361,,220.43,BLACK
112485,,220.39,UNKNOWN
99616,2018-08-18T06:27:00.000,,BLACK
20131970,,,BLACK
20197806,2018-08-28T08:50:05.000,,BLACK
20197267,2018-08-23T21:21:02.000,,UNKNOWN
20013823,2018-08-30T05:16:05.000,,UNKNOWN
20126037,2018-08-13T22:37:00.000,,UNKNOWN
20046012,,160.10,UNKNOWN
20197366,2018-08-12T01:25:02.000,,BLACK
20197315,2018-08-14T21:21:00.000,,UNKNOWN
