change_order_project_to_status_name,change_order_project_identifier,change_order_project_ball_in_court_code
NEW,HSLINK12,PADILLA
NEW,HSBAHK01,NEHAL
NEW,HSBAHK01,NEHAL
APP,HSBTHK14,ASHNU
NEW,HSAUTK08,ADAM
NEW,HSBTHK13,NESCO
NEW,HSAUTK08,ADAM
CLO,HSBAHK01,NEHAL
CLO,HSARTK04,IND.TEMP
CLO,HSAUTK08,ADAM
NEW,HSBTHK13,NESCO
CLO,HSLINK12,PADILLA
NEW,HSALCK02,EUROCAST
NEW,HS743K01,RICI
NEW,HS743K01,RICI
CLO,HSBTHK17,ATJ
APP,HS743K01,RICI
CLO,HSLINK12,PADILLA
CLO,HSAUTK08,ADAM
CLO,HSBTHK17,ATJ
NEW,HSBTHK13,NESCO
CLO,HSALCK02,EUROCAST
CLO,HSBTHK14,ASHNU
CLO,HSBAHK01,NEHAL
APP,HSBACK03,KGCONST
NEW,HSARTK04,IND.TEMP
CLO,HSBTHK13,NESCO
NEW,HSBAHK01,NEHAL
NEW,HSBTHK17,ATJ
CLO,PS333K02,NORTHEAS
CLO,HSALCK02,EUROCAST
NEW,HSAUTK08,ADAM
CLO,HSALCK02,EUROCAST
CLO,HSAUTK08,ADAM
CLO,HSALCK02,EUROCAST
CLO,HSLINK12,PADILLA
CLO,PS333K02,NORTHEAS
NEW,HSBTHK19,IND.TEMP
NEW,HS743K01,RICI
CLO,HSBTHK17,ATJ
APP,HSBAHK01,NEHAL
CLO,HSBTHK13,NESCO
NEW,HSARTK03,ARK
NEW,HS743K01,RICI
NEW,HSBTHK13,NESCO
NEW,HSBTHK16,RED&BLUE
NEW,HSBAHK01,NEHAL
APP,HSBTHK11,NEELAM
NEW,HSBTHK17,ATJ
NEW,HSBTHK16,RED&BLUE
NEW,HSBTHK11,NEELAM
NEW,HSBACK03,KGCONST
APP,HSLINK12,PADILLA
NEW,HSAUTK08,ADAM
CLO,HSBTHK14,ASHNU
NEW,HSBAHK01,NEHAL
CLO,HSBTHK17,ATJ
CLO,HSALCK02,EUROCAST
NEW,HSLINK12,PADILLA
NEW,HSARTK04,IND.TEMP
APP,HSALCK02,EUROCAST
CLO,HSAUTK08,ADAM
