change_management_number,change_order_project_sca_contract_identifier,change_order_document_date,change_order_boro_identifier
00018,C000013858,2017-02-08,K
00011,C000014737,2018-11-20,K
00037,C000014737,2020-11-19,K
00006,C000014970,2021-03-08,K
00015,C000015489,2021-06-17,K
00016,C000014866,2021-07-02,K
00016,C000015489,2021-06-25,K
00021,C000014737,2019-08-26,K
00001,C000014938,2019-05-23,K
00005,C000015489,2020-09-17,K
00017,C000014866,2021-07-27,K
00018,C000013858,2017-02-08,K
00022,C000014913,2020-04-17,K
00037,C000015067,2021-05-03,K
00040,C000015067,2021-05-19,K
00002,C000015498,2020-09-25,K
00002,C000015067,2019-02-01,K
00018,C000013858,2017-02-08,K
00004,C000015489,2020-08-17,K
00005,C000015498,2021-07-14,K
00007,C000014866,2020-04-09,K
00020,C000014913,2020-01-14,K
00006,C000014970,2021-03-08,K
00021,C000014737,2019-08-26,K
00007,C000015369,2021-09-29,K
00007,C000014938,2020-04-01,K
00003,C000014866,2019-08-06,K
00022,C000014737,2019-10-18,K
00003,C000015498,2021-07-14,K
00062,C000013537,2021-02-10,K
00004,C000014913,2019-02-20,K
00011,C000015489,2021-03-22,K
00004,C000014913,2019-02-20,K
00005,C000015489,2020-09-17,K
00020,C000014913,2020-01-14,K
00038,C000013858,2018-01-12,K
00062,C000013537,2021-02-10,K
00002,C000015521,2020-04-28,K
00015,C000015067,2019-09-03,K
00004,C000015498,2021-07-14,K
00004,C000014737,2018-08-28,K
00003,C000014866,2019-08-06,K
00034,C000014034,2020-12-28,K
00027,C000015067,2020-11-18,K
00014,C000014866,2021-04-05,K
00012,C000015477,2021-07-21,K
00035,C000014737,2020-04-06,K
00016S,C000013649,2016-12-08,K
00008,C000015498,2021-08-26,K
00007,C000015477,2020-03-09,K
00032,C000013649,2020-08-26,K
00007,C000015369,2021-09-29,K
00018,C000013858,2017-02-08,K
00014,C000015489,2021-05-28,K
00010,C000014970,2021-10-28,K
00044,C000014737,2021-07-14,K
00005,C000015498,2021-07-14,K
00020,C000014913,2020-01-14,K
00084,C000013858,2020-07-17,K
00006S1,C000014938,2020-07-14,K
00004,C000014913,2019-02-20,K
00016,C000015489,2021-06-25,K
00002,C000014982,2020-01-17,K
00005,C000015521,2021-01-20,K
00004,C000014866,2019-11-05,K
00006,C000015498,2021-07-14,K
00018,C000013858,2017-02-08,K
00035,C000013649,2021-07-16,K
00010,C000014866,2021-01-11,K
00006,C000014866,2020-03-02,K
00005,C000015319,2021-04-21,K
00019,C000015489,2021-09-16,K
00003,C000015477,2019-11-08,K
00013,C000015477,2021-07-21,K
00010,C000014866,2021-01-11,K
00003,C000015369,2021-01-22,K
00005,C000015498,2021-07-14,K
00035,C000013649,2021-07-16,K
00003,C000015490,2021-01-20,K
00031,C000014737,2020-01-27,K
00032,C000014737,2020-01-30,K
00002,C000015067,2019-02-01,K
00006,C000015498,2021-07-14,K
00003,C000014866,2019-08-06,K
00003,C000015498,2021-07-14,K
00010,C000015477,2021-04-07,K
00041,C000014737,2021-03-16,K
00004,C000014737,2018-08-28,K
00004,C000014913,2019-02-20,K
00018,C000014866,2021-07-29,K
00029,C000013649,2020-01-31,K
00016S,C000013649,2016-12-08,K
00006,C000014866,2020-03-02,K
00006,C000014866,2020-03-02,K
00021,C000014737,2019-08-26,K
00009,C000014875,2018-12-12,K
00002,C000015067,2019-02-01,K
00005,C000015521,2021-01-20,K
00010,C000014866,2021-01-11,K
00041,C000015067,2021-05-19,K
00004,C000015489,2020-08-17,K
00003,C000015521,2020-12-03,K
00006,C000015498,2021-07-14,K
00038,C000013858,2018-01-12,K
00038,C000014737,2020-12-11,K
00038,C000015067,2021-05-03,K
00038,C000013858,2018-01-12,K
00018,C000014866,2021-07-29,K
00006,C000015498,2021-07-14,K
00036,C000013649,2021-09-23,K
00008,C000015521,2021-06-02,K
00011,C000014765,2020-04-13,K
00031,C000013858,2017-10-17,K
00043,C000015067,2021-06-23,K
00001,C000014938,2019-05-23,K
00009,C000014982,2020-06-17,K
00033,C000014737,2020-01-30,K
00020,C000014913,2020-01-14,K
00009,C000015477,2020-07-15,K
00004,C000015498,2021-07-14,K
00004,C000015498,2021-07-14,K
00030,C000013649,2020-04-06,K
00016,C000015489,2021-06-25,K
00008,C000015521,2021-06-02,K
00015,C000014866,2021-06-15,K
00020,C000015489,2021-09-16,K
00011,C000014866,2021-01-27,K
00036,C000015067,2021-05-03,K
00011,C000014982,2021-09-13,K
00005,C000015521,2021-01-20,K
00004,C000015498,2021-07-14,K
00002,C000015067,2019-02-01,K
00011,C000015477,2021-04-07,K
00001,C000015490,2020-04-13,K
00042,C000015067,2021-06-22,K
00042,C000015067,2021-06-22,K
00039,C000014737,2020-12-17,K
00003,C000014666,2020-04-13,K
00021,C000014737,2019-08-26,K
00016,C000015489,2021-06-25,K
00004,C000015489,2020-08-17,K
00019,C000014866,2021-08-09,K
00062,C000013537,2021-02-10,K
00016,C000014737,2019-05-16,K
00005,C000015489,2020-09-17,K
00058,C000013858,2019-05-22,K
00031,C000013858,2017-10-17,K
00019,C000013088,2016-07-27,K
00043,C000014737,2021-05-03,K
00020,C000015489,2021-09-16,K
00014,C000014938,2021-07-02,K
00005,C000015319,2021-04-21,K
00026,C000014737,2019-11-26,K
00087,C000013858,2021-06-08,K
00016,C000015067,2019-10-21,K
00020,C000014866,2021-09-29,K
00015,C000015067,2019-09-03,K
00003,C000015477,2019-11-08,K
00016S,C000013649,2016-12-08,K
00006,C000015369,2021-06-02,K
00005,C000015489,2020-09-17,K
00034,C000014737,2020-04-01,K
00004,C000014737,2018-08-28,K
00001,C000014666,2018-08-23,K
00004,C000014866,2019-11-05,K
00011,C000015521,2021-07-26,K
00007,C000015477,2020-03-09,K
00005,C000015319,2021-04-21,K
00019,C000014737,2019-08-26,K
00016,C000015067,2019-10-21,K
00038,C000013858,2018-01-12,K
00002,C000015498,2020-09-25,K
00014,C000015067,2019-08-30,K
00026,C000014913,2021-08-20,K
00039,C000015067,2021-05-17,K
00013S,C000015489,2021-06-02,K
00010,C000014938,2020-04-30,K
00003,C000015477,2019-11-08,K
00013,C000014034,2018-05-01,K
00006,C000014866,2020-03-02,K
00018,C000013858,2017-02-08,K
00004,C000015490,2021-01-22,K
00004,C000015369,2021-01-28,K
00057,C000013858,2019-05-22,K
00004,C000015489,2020-08-17,K
00007,C000015477,2020-03-09,K
00010,C000014866,2021-01-11,K
00021,C000014866,2021-10-15,K
00005,C000015498,2021-07-14,K
00011,C000014938,2021-04-16,K
00004,C000014737,2018-08-28,K
00020,C000015067,2020-01-13,K
00046,C000015067,2021-09-14,K
00003,C000014866,2019-08-06,K
00006,C000015521,2021-01-25,K
00062,C000013537,2021-02-10,K
00001,C000015521,2020-04-06,K
00086,C000013858,2021-03-04,K
00010,C000014970,2021-10-28,K
00010,C000014982,2021-07-29,K
