change_order_project_title,change_order_project_stage_date
"A.Lincoln HS(K)Sandy-Htg Plnt,Flood",2018-10-23
Bklyn Academy HS(K) CofO Work,2018-11-20
Bklyn Academy HS(K) CofO Work,2020-11-19
"Bklyn Tech(K) Roofs,Prpts,Ext Mas",2021-03-31
"A-Tech@K610 Ext Mas,Wndws,Prpts,Roof",2021-06-17
Bklyn Tech(K) Athletic Fld Upgr,2021-07-02
"A-Tech@K610 Ext Mas,Wndws,Prpts,Roof",2021-10-22
Bklyn Academy HS(K) CofO Work,2021-05-06
"Bklyn HS of Arts(K) Boiler, Climate",2019-05-23
"A-Tech@K610 Ext Mas,Wndws,Prpts,Roof",2021-01-28
Bklyn Tech(K) Athletic Fld Upgr,2021-07-27
"A.Lincoln HS(K)Sandy-Htg Plnt,Flood",2018-10-23
"ALC @ K799 Ext Mas,Wndws,Roofs,Prpts",2020-04-17
"Adult&Cont Ed @K743 Ext Mas,Vent",2021-05-03
"Adult&Cont Ed @K743 Ext Mas,Vent",2021-05-19
Bklyn Tech(K) PA Systems,2020-09-25
"Adult&Cont Ed @K743 Ext Mas,Vent",2019-09-17
"A.Lincoln HS(K)Sandy-Htg Plnt,Flood",2019-08-07
"A-Tech@K610 Ext Mas,Wndws,Prpts,Roof",2021-06-30
Bklyn Tech(K) PA Systems,2021-07-14
Bklyn Tech(K) Athletic Fld Upgr,2020-04-09
"ALC @ K799 Ext Mas,Wndws,Roofs,Prpts",2020-01-14
"Bklyn Tech(K) Roofs,Prpts,Ext Mas",2021-03-08
Bklyn Academy HS(K) CofO Work,2020-12-18
"Bedford Sty@K458(K) Ext Mas, Prpts",2021-09-29
"Bklyn HS of Arts(K) Boiler, Climate",2020-04-01
Bklyn Tech(K) Athletic Fld Upgr,2019-08-06
Bklyn Academy HS(K) CofO Work,2019-10-18
Bklyn Tech(K) PA Systems,2021-10-19
516 Sunset Park School(K) Int Reno,2021-04-02
"ALC @ K799 Ext Mas,Wndws,Roofs,Prpts",2019-04-02
"A-Tech@K610 Ext Mas,Wndws,Prpts,Roof",2021-03-22
"ALC @ K799 Ext Mas,Wndws,Roofs,Prpts",2019-02-20
"A-Tech@K610 Ext Mas,Wndws,Prpts,Roof",2020-09-17
"ALC @ K799 Ext Mas,Wndws,Roofs,Prpts",2020-03-16
"A.Lincoln HS(K)Sandy-Htg Plnt,Flood",2018-01-12
516 Sunset Park School(K) Int Reno,2021-04-02
"Bklyn Tech(K) Boiler, Climate Cntrl",2020-04-28
"Adult&Cont Ed @K743 Ext Mas,Vent",2021-10-20
Bklyn Tech(K) PA Systems,2021-07-14
Bklyn Academy HS(K) CofO Work,2019-08-23
Bklyn Tech(K) Athletic Fld Upgr,2021-01-14
"Bklyn HS of Arts(K) FA, Sprnk, Vent",2020-12-28
"Adult&Cont Ed @K743 Ext Mas,Vent",2020-11-18
Bklyn Tech(K) Athletic Fld Upgr,2021-04-05
Bklyn Tech(K) Science Lab Upgr,2021-07-21
Bklyn Academy HS(K) CofO Work,2020-04-06
"Brklyn Tech (K) Low Volt,Fire Supp",2017-06-05
Bklyn Tech(K) PA Systems,2021-08-26
Bklyn Tech(K) Science Lab Upgr,2021-06-17
"Brklyn Tech (K) Low Volt,Fire Supp",2020-08-26
