unique_key,major_category,problem_status,lot,bbl,house_number,census_tract,complaint_status,problem_code,post_code,council_district,longitude,space_type,nta,latitude
37580415.0,HEAT/HOT WATER,CLOSE,1,2026970001.0,889,87,CLOSE,NO HEAT,10459.0,17,-73.89762399999998,BUILDING-WIDE,Longwood,40.81977
55959629.0,UNSANITARY CONDITION,CLOSE,41,1019500041.0,270,257,CLOSE,ACCUMULATION,10027.0,9,-73.953035,COMPACTOR CLOSET,Harlem (South),40.809727
40272733.0,PAINT/PLASTER,CLOSE,54,2024890054.0,1265,197,CLOSE,DIRTY OR UNSANITARY,10452.0,16,-73.919613,ENTIRE APARTMENT,Concourse-Concourse Village,40.836588
40274064.0,GENERAL,CLOSE,21,3057910021.0,430,122,CLOSE,NO JANITOR AVAILABLE,11220.0,38,-74.01815999999998,BUILDING-WIDE,Sunset Park (Central),40.639731
38624164.0,HEAT/HOT WATER,CLOSE,113,2033190113.0,2871,40701,CLOSE,NO HEAT AND NO HOT WATER,10468.0,14,-73.89035699999998,BUILDING-WIDE,Bedford Park,40.870538
58709871.0,PAINT/PLASTER,CLOSE,23,1022370023.0,25,295,CLOSE,TILE BROKEN OR MISSING,10034.0,10,-73.92648599999998,BATHROOM,Inwood,40.866699
52336874.0,ELECTRIC,CLOSE,51,1017960051.0,2338,194,CLOSE,ONE ROOM OR AREA,10035.0,8,-73.93604499999998,STAIRS,East Harlem (North),40.799355
55622886.0,PLUMBING,CLOSE,52,3012230052.0,971,311,CLOSE,BASIN BROKEN/LEAKING,11213.0,36,-73.939161,BATHROOM,Crown Heights (North),40.674622
35965227.0,FLOORING/STAIRS,CLOSE,94,2025040094.0,1038,193,CLOSE,HOLE IN WALKING AREA,10452.0,8,-73.92648699999998,LIVING ROOM,Highbridge,40.833167
55492170.0,WATER LEAK,CLOSE,28,3030520028.0,141,505,CLOSE,AT WALL OR CEILING,11206.0,34,-73.943809,BEDROOM,East Williamsburg,40.707284
38631827.0,PAINT/PLASTER,CLOSE,17,1022200017.0,121,291,CLOSE,CHIPPED/PEELING/FLAKING,10034.0,10,-73.92460199999998,BEDROOM,Inwood,40.864085
58713833.0,FLOORING/STAIRS,CLOSE,23,1022370023.0,25,295,CLOSE,SAGGING OR SLOPING,10034.0,10,-73.92648599999998,ENTIRE APARTMENT,Inwood,40.866699
38624204.0,HEAT/HOT WATER,CLOSE,67,2028500067.0,65,22701,CLOSE,NO HEAT AND NO HOT WATER,10453.0,14,-73.91092999999998,BUILDING-WIDE,Mount Hope,40.847105
38603031.0,WATER LEAK,CLOSE,34,2024590034.0,888,5902,CLOSE,AT WALL OR CEILING,10451.0,16,-73.922751,LIVING ROOM,Concourse-Concourse Village,40.826613
55615108.0,DOOR/WINDOW,CLOSE,1,3050630001.0,59,50803,CLOSE,BROKEN OR MISSING,11226.0,40,-73.960519,ENTRANCE/FOYER,Flatbush,40.653128
