problem_id,minor_category,problem_status_date,street_name,complaint_anonymous_flag,complaint_status_date,received_date,borough,block,type,problem_duplicate_flag,building_id,bin
23135514,SLOW LEAK,2023-05-18T15:10:17.000,WEST 74 STREET,N,2023-05-19T05:20:25.000,2022-09-26T15:36:52.000,MANHATTAN,1184,NON EMERGENCY,N,35236,1031000.0
24441085,SMOKE DETECTOR,2023-10-18T21:08:46.000,1 AVENUE,N,2023-10-19T05:20:49.000,2023-09-14T17:41:03.000,MANHATTAN,1440,EMERGENCY,N,804808,1000000.0
18828503,HEAVY FLOW,2018-09-20T09:48:36.000,NEW LOTS AVENUE,N,2018-09-22T05:20:40.000,2018-09-13T19:41:49.000,BROOKLYN,3838,EMERGENCY,N,342754,3085508.0
18168892,APARTMENT ONLY,2018-01-08T15:58:33.000,ST MARKS AVENUE,N,2018-01-08T15:58:33.000,2018-01-03T16:04:59.000,BROOKLYN,1361,EMERGENCY,N,374378,3036097.0
23018010,WINDOW/FRAME,2023-05-18T17:43:55.000,PACIFIC STREET,N,2023-05-19T05:20:13.000,2022-08-10T14:16:19.000,BROOKLYN,1206,NON EMERGENCY,N,349485,3030002.0
23200595,ELECTRIC/GAS RANGE,2023-05-22T09:34:28.000,GLENMORE AVENUE,N,2023-05-23T05:20:25.000,2022-10-18T15:21:39.000,BROOKLYN,4209,EMERGENCY,N,301043,3094578.0
18362847,BATHTUB/SHOWER,2018-03-05T02:05:26.000,EAST 179 STREET,N,2018-03-05T05:20:27.000,2018-02-27T12:59:05.000,BRONX,3127,NON EMERGENCY,N,66168,2013208.0
23323807,SEWAGE,2023-05-18T13:19:40.000,SARATOGA AVENUE,N,2023-05-19T05:20:20.000,2022-11-11T19:37:19.000,BROOKLYN,1472,EMERGENCY,N,366394,3039476.0
17902817,VENTILATION SYSTEM,2017-11-21T11:05:34.000,EAST 115 STREET,N,2017-11-22T05:20:34.000,2017-11-01T21:03:41.000,MANHATTAN,1643,NON EMERGENCY,N,19518,1052243.0
17902815,BELL/BUZZER/INTERCOM,2017-11-21T11:05:34.000,EAST 115 STREET,N,2017-11-22T05:20:34.000,2017-11-01T21:03:41.000,MANHATTAN,1643,NON EMERGENCY,N,19518,1052243.0
17788026,PESTS,2017-09-15T10:26:19.000,SHERIDAN AVENUE,N,2017-09-16T05:20:21.000,2017-09-11T20:05:44.000,BRONX,2456,NON EMERGENCY,N,109421,2002728.0
18828606,WINDOW FRAME,2018-09-21T15:53:06.000,FRANKLIN STREET,N,2018-09-22T05:20:35.000,2018-09-13T20:20:48.000,BROOKLYN,2495,EMERGENCY,N,296177,3063803.0
23102100,HEAVY FLOW,2023-05-18T14:41:52.000,STERLING STREET,N,2023-05-19T05:20:12.000,2022-09-13T07:15:31.000,BROOKLYN,1314,EMERGENCY,N,377014,3034790.0
18388322,ENTIRE BUILDING,2018-03-09T20:37:29.000,ST NICHOLAS AVENUE,Y,2018-03-10T05:20:30.000,2018-03-07T17:51:06.000,MANHATTAN,2165,EMERGENCY,N,27999,1063957.0
23096749,COOKING GAS,2023-05-18T17:45:09.000,OCEAN AVENUE,Y,2023-05-19T05:20:21.000,2022-09-09T17:24:09.000,BROOKLYN,5062,EMERGENCY,N,347650,3116140.0
24320075,WINDOW FRAME,2023-12-26T08:04:01.000,RIVERSIDE LANE,N,2023-12-27T05:20:17.000,2023-08-02T13:23:19.000,STATEN ISLAND,1116,NON EMERGENCY,N,1004338,5169881.0
23166791,BELL/BUZZER/INTERCOM,2023-05-18T13:40:31.000,ST MARKS AVENUE,N,2023-05-19T05:20:21.000,2022-10-06T13:22:30.000,BROOKLYN,1223,NON EMERGENCY,N,375083,3030844.0
23026885,GARBAGE/RECYCLING STORAGE,2023-05-21T02:02:13.000,FOUNTAIN AVENUE,Y,2023-05-21T05:20:16.000,2022-08-15T21:37:23.000,BROOKLYN,4190,NON EMERGENCY,N,944365,3389570.0
23097703,DAMP SPOT,2023-06-26T09:39:22.000,85 STREET,N,2023-06-27T05:20:17.000,2022-09-10T15:35:15.000,QUEENS,2897,NON EMERGENCY,N,491066,4065868.0
18797032,WINDOW/FRAME,2018-09-12T21:27:10.000,ALBEMARLE ROAD,N,2018-09-13T05:20:45.000,2018-08-30T20:52:11.000,BROOKLYN,5123,NON EMERGENCY,N,183908,3117608.0
18379176,BELL/BUZZER/INTERCOM,2018-03-23T08:56:46.000,JEFFERSON STREET,N,2018-03-30T05:20:34.000,2018-03-05T01:09:17.000,BROOKLYN,3171,NON EMERGENCY,N,317840,3072195.0
24295939,CEILING,2023-10-18T14:43:44.000,BAY STREET,N,2023-10-19T05:20:50.000,2023-07-25T14:37:57.000,STATEN ISLAND,490,EMERGENCY,N,941851,5113073.0
24446345,PESTS,2023-10-18T19:29:43.000,CAMPBELL AVENUE,N,2023-10-19T05:20:45.000,2023-09-18T11:01:06.000,STATEN ISLAND,174,NON EMERGENCY,N,719895,5004838.0
23102101,LIGHTING,2023-05-18T14:41:52.000,STERLING STREET,N,2023-05-19T05:20:12.000,2022-09-13T07:15:31.000,BROOKLYN,1314,EMERGENCY,N,377014,3034790.0
23279388,COOKING GAS,2023-05-18T14:51:22.000,STERLING PLACE,N,2023-05-19T05:20:20.000,2022-11-05T08:48:30.000,BROOKLYN,1375,EMERGENCY,N,376516,3036656.0
23267475,WINDOW FRAME,2023-06-02T08:49:08.000,UNION STREET,N,2023-06-03T05:20:11.000,2022-11-03T09:39:44.000,BROOKLYN,1066,NON EMERGENCY,N,384009,3024702.0
23149830,DOOR,2023-05-18T11:53:13.000,LEFFERTS AVENUE,Y,2023-05-19T05:20:21.000,2022-10-02T12:32:24.000,BROOKLYN,1332,EMERGENCY,N,908285,3397935.0
24216536,FLOOR,2023-12-08T07:05:06.000,BROOKLYN AVENUE,N,2023-12-09T05:20:28.000,2023-06-28T11:55:33.000,BROOKLYN,5000,NON EMERGENCY,N,214559,3327269.0
23098535,JANITOR/SUPER,2023-05-18T11:49:41.000,AVENUE N,N,2023-05-19T05:20:13.000,2022-09-11T16:33:02.000,BROOKLYN,6748,NON EMERGENCY,N,192149,3181131.0
18828366,CEILING,2018-09-19T12:29:42.000,GERARD AVENUE,N,2018-09-20T05:20:40.000,2018-09-13T18:00:36.000,BRONX,2489,IMMEDIATE EMERGENCY,N,80084,2003014.0
18388263,WALL,2018-03-15T21:02:47.000,SHERMAN AVENUE,N,2018-03-16T05:20:37.000,2018-03-07T17:30:10.000,MANHATTAN,2220,NON EMERGENCY,N,27574,1064749.0
17932844,ENTIRE BUILDING,2017-11-15T02:07:48.000,ROSEDALE AVENUE,N,2017-11-15T05:20:22.000,2017-11-09T15:44:21.000,BRONX,3519,EMERGENCY,Y,107569,2021307.0
18384902,WATER SUPPLY,2018-03-13T10:19:30.000,WEST 145 STREET,Y,2018-03-14T05:20:35.000,2018-03-06T16:56:20.000,MANHATTAN,2014,IMMEDIATE EMERGENCY,N,41885,1060184.0
23240607,DOOR,2023-05-18T19:35:02.000,WEST 75 STREET,Y,2023-05-19T05:20:12.000,2022-10-28T21:00:49.000,MANHATTAN,1128,EMERGENCY,N,35379,1028752.0
23158938,HEAVY FLOW,2023-05-18T13:40:29.000,STERLING PLACE,N,2023-05-19T05:20:22.000,2022-10-04T12:21:30.000,BROOKLYN,1374,EMERGENCY,N,376496,3036618.0
18700582,PESTS,2018-08-22T12:04:06.000,LINCOLN PLACE,N,2018-08-23T05:20:36.000,2018-07-20T14:32:50.000,BROOKLYN,1179,NON EMERGENCY,N,326545,3029624.0
24748776,ENTIRE BUILDING,2023-11-23T15:30:21.000,WEST 94 STREET,Y,2023-11-24T05:20:16.000,2023-11-21T23:59:43.000,MANHATTAN,1253,EMERGENCY,N,37076,1034179.0
22965457,GARBAGE/RECYCLING STORAGE,2023-09-03T16:28:28.000,1 AVENUE,Y,2023-09-04T05:20:10.000,2022-07-18T12:58:51.000,MANHATTAN,1448,NON EMERGENCY,N,155,1044910.0
17902813,LIGHTING,2017-11-21T11:05:33.000,EAST 115 STREET,N,2017-11-22T05:20:34.000,2017-11-01T21:03:41.000,MANHATTAN,1643,NON EMERGENCY,N,19518,1052243.0
23068934,GARBAGE/RECYCLING STORAGE,2023-05-18T10:52:52.000,STARR STREET,Y,2023-05-19T05:20:21.000,2022-08-30T17:47:01.000,QUEENS,3396,NON EMERGENCY,N,893986,4537063.0
24170965,DAMP SPOT,2023-10-27T13:18:03.000,LEFFERTS AVENUE,N,2023-10-27T05:20:37.000,2023-06-10T12:24:12.000,BROOKLYN,1318,NON EMERGENCY,N,323660,3034914.0
23668748,WATER SUPPLY,2023-01-30T16:14:28.000,NEW LOTS AVENUE,N,2023-10-19T05:20:26.000,2023-01-29T08:48:44.000,BROOKLYN,4088,NON EMERGENCY,N,342863,3090700.0
18623741,FLOOR,2018-06-27T09:44:46.000,VALENTINE AVENUE,N,2018-06-28T05:20:28.000,2018-06-14T11:41:47.000,BRONX,3306,NON EMERGENCY,N,117194,2017207.0
18321828,APARTMENT ONLY,2018-02-12T21:41:46.000,MADISON STREET,N,2018-02-13T05:20:22.000,2018-02-10T09:23:20.000,QUEENS,3530,EMERGENCY,N,676694,4084960.0
18384909,PESTS,2018-03-13T02:10:23.000,DECATUR STREET,N,2018-03-13T05:20:28.000,2018-03-06T16:59:37.000,BROOKLYN,3432,NON EMERGENCY,N,231578,3079633.0
18384913,ENTIRE BUILDING,2018-03-13T02:10:23.000,DECATUR STREET,N,2018-03-13T05:20:28.000,2018-03-06T16:59:37.000,BROOKLYN,3432,EMERGENCY,N,231578,3079633.0
23298756,APARTMENT ONLY,2022-11-09T14:18:08.000,PENNSYLVANIA AVENUE,N,2023-05-21T05:20:21.000,2022-11-08T17:07:23.000,BROOKLYN,3806,EMERGENCY,N,353112,3084662.0
