the_geom,wpaa_id,sign_name,shape_leng,shape_area
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.99670570939774, 40.59334212205262], [-73.99649909732348, 40.59316885984783], [-73.9965529966307, 40.593141574733814], [-73.99659341994705, 40.59319546322773], [-73.99676859237476, 40.5931272500778], [-73.99700664586301, 40.59301401487315], [-73.99800018189617, 40.59253651798064], [-73.9980873190696, 40.59249490720022], [-73.9980873190696, 40.59249490720022], [-73.99882842839177, 40.592140193054725], [-73.99925063754395, 40.591938959418236], [-73.99941413043587, 40.59186051310999], [-73.99962523415594, 40.591759554559495], [-73.99958660717651, 40.59170907561074], [-73.9996261323785, 40.59168178989938], [-73.99964769247312, 40.591637450016144], [-73.99965128621996, 40.591591064087275], [-73.99963421786612, 40.59155627412894], [-73.99950935133755, 40.59140551800652], [-73.99947791028272, 40.591376186032115], [-73.99941772360516, 40.59135844994194], [-73.99935574001782, 40.591361178195875], [-73.99929465402717, 40.591380960526905], [-73.99905300728356, 40.59149488035436], [-73.99888771812337, 40.59157264533875], [-73.99879698795522, 40.59161493928861], [-73.99821577811473, 40.59188916259695], [-73.99811786113521, 40.59193486707852], [-73.99806126819848, 40.59186392383801], [-73.99796784265342, 40.59174795827684], [-73.99803072498663, 40.59172681148972], [-73.99809540395628, 40.59170839328269], [-73.99833974571469, 40.59162448904148], [-73.99854545981265, 40.591535127528644], [-73.99856881560365, 40.59151602682836], [-73.99865685099002, 40.59148669425455], [-73.9987332074193, 40.59142734705288], [-73.99881315715449, 40.59137072842205], [-73.99889580241502, 40.59131683834603], [-73.99897575278928, 40.59127795540261], [-73.99905839755368, 40.591241801910854], [-73.99914373787779, 40.59120974035633], [-73.99923087363146, 40.59118177162758], [-73.99931890939808, 40.59115926090814], [-73.99940963840547, 40.591140843012354], [-73.99950126746828, 40.59112719962193], [-73.99959469202159, 40.59111833163851], [-73.99967823498257, 40.59112992793802], [-73.99976088017424, 40.59114698224514], [-73.99983993191258, 40.59117085704929], [-73.9999153902198, 40.59120018986656], [-73.99998725510956, 40.5912349798035], [-74.00005462881332, 40.59127522686709], [-74.00009415482837, 40.59130455957816], [-74.00012649391064, 40.59133866775728], [-74.00015164723429, 40.59137618621756], [-74.00016871582547, 40.59141643326914], [-74.00017679952228, 40.59145804372404], [-74.00017679963244, 40.591499655091454], [-74.00016781717531, 40.59154126647214], [-74.00013457918475, 40.59159447481823], [-74.00009505309394, 40.591644953674546], [-74.00005103564779, 40.59169338653089], [-73.99999444203435, 40.5917288581428], [-73.99993335706627, 40.5917602368472], [-73.99974560908461, 40.59191917709032], [-73.99971147290331, 40.59194373517172], [-73.99967374319775, 40.59196351685892], [-73.99963152218287, 40.591978523946594], [-73.99955696290203, 40.5920051278334], [-73.9994752164297, 40.59204196428165], [-73.99939257088826, 40.592079481462186], [-73.9986164264898, 40.59242873986163], [-73.99809989489746, 40.592675674777425], [-73.99804599663831, 40.59270159632603], [-73.99724290239412, 40.593085639369136], [-73.99714947798712, 40.5931299779354], [-73.99670570939774, 40.59334212205262]]]]}",3110001,Brooklyn Bay Center,3735.94278632,127868.558666
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.98989288670451, 40.675866047280984], [-73.98994319264901, 40.67580609361251], [-73.99005278655035, 40.6758592344137], [-73.99029892526922, 40.67556355338023], [-73.99016148289675, 40.67518270947526], [-73.98868016158703, 40.67446598132062], [-73.98870890744737, 40.67443123417365], [-73.98878616219405, 40.67433857693871], [-73.98910775936908, 40.674493233456886], [-73.99014531275871, 40.67499330909933], [-73.99024861953919, 40.67504304343331], [-73.99028634863373, 40.67506075705115], [-73.99036540058646, 40.67528149790433], [-73.99038246859094, 40.675327144629584], [-73.9904166041804, 40.67542184471943], [-73.99046780878321, 40.675564916467245], [-73.99039055376997, 40.67565757211604], [-73.99034024824101, 40.675718206770384], [-73.99017495760644, 40.67591782519983], [-73.99012465178603, 40.675977778968836], [-73.99007524415522, 40.67595461527819], [-73.99000248066424, 40.67591918812971], [-73.98995397203905, 40.675896024464926], [-73.98989288670451, 40.675866047280984]]]]}",3060007,Whole Foods PAA,1812.07530708,42254.7404808
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.96359820110467, 40.731372517654606], [-73.96328885737378, 40.731398155079134], [-73.96328154150754, 40.73140055800447], [-73.96328562017189, 40.73150052023948], [-73.96291279392248, 40.73152084500843], [-73.96291413448313, 40.73154117081497], [-73.96196999713953, 40.731587918041484], [-73.96196463313511, 40.731561495353795], [-73.96165215568244, 40.73157673908144], [-73.9616534968313, 40.73156657729091], [-73.96152743286356, 40.73157470735538], [-73.96152340893944, 40.73152186147696], [-73.96164813160271, 40.7315157643181], [-73.96164679050935, 40.73149086571478], [-73.96199078411755, 40.731476130389865], [-73.96199145469357, 40.731497979646456], [-73.96289401851492, 40.73145834547839], [-73.96289267700865, 40.73143548023737], [-73.96320448405808, 40.73141921985727], [-73.96319643660483, 40.7313551956405], [-73.96327623229249, 40.731351130106546], [-73.96327891536049, 40.73137145543698], [-73.96359539679517, 40.73134858935919], [-73.96359820110467, 40.731372517654606]]]]}",3010010,India Street Pier,1295.29799263,16295.675489
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.01765151208694, 40.676488310524235], [-74.01781270556941, 40.67596266781543], [-74.0178127051222, 40.675956565026716], [-74.01807019695838, 40.675618884946246], [-74.01760349307715, 40.67531985489168], [-74.01798168463723, 40.67502285702476], [-74.01793608658075, 40.674957761416906], [-74.01783952703782, 40.67484587754515], [-74.01751229818758, 40.67459363144864], [-74.01757667059626, 40.674536672166255], [-74.0178851244929, 40.67427425328958], [-74.01745194794024, 40.673948771031476], [-74.01732562312503, 40.67375938569818], [-74.01736987990958, 40.67372988805793], [-74.01774136577774, 40.67406045726635], [-74.01778696291241, 40.6740319777425], [-74.01783256040603, 40.67406249183937], [-74.0177815992701, 40.67409910836344], [-74.01780037406898, 40.6741113137421], [-74.01806591305156, 40.67432694569335], [-74.01811151049921, 40.67443883021159], [-74.01807932353037, 40.674581227401106], [-74.01799081164036, 40.67473176234874], [-74.01798544708456, 40.67482126896857], [-74.01803372660379, 40.67487822798538], [-74.01809809963372, 40.674933151988945], [-74.01811151007385, 40.67498604252255], [-74.01797471805243, 40.675106062088076], [-74.01773063730015, 40.6752850745935], [-74.01782183242545, 40.67536237510845], [-74.01800958680327, 40.675480360145905], [-74.01811419307025, 40.67554952397668], [-74.01817588411353, 40.67554748989015], [-74.01828853687537, 40.675525113155395], [-74.0187820626807, 40.67510199337251], [-74.01881424932942, 40.67512640467458], [-74.01832072305372, 40.675543420904695], [-74.01833145192725, 40.675590208146204], [-74.01841996475238, 40.675685816978785], [-74.01845483358855, 40.67578956150548], [-74.01837436695624, 40.67585669065413], [-74.0180417729699, 40.675874998525096], [-74.01799349359374, 40.67591771660255], [-74.01795862483115, 40.67597874273454], [-74.01790498037182, 40.67606621359475], [-74.01787815807792, 40.676149616241155], [-74.01786206498159, 40.676330660031496], [-74.01789961605766, 40.67647915628279], [-74.01765151208694, 40.676488310524235]]]]}",3060001,Fairway,3163.23145445,63178.5732672
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.78264795767122, 40.84806058480948], [-73.78264256801954, 40.84803951928586], [-73.78263807553861, 40.8480001060707], [-73.78262549925456, 40.84796137370482], [-73.78260663486945, 40.8479246790133], [-73.78258148238913, 40.84789002289363], [-73.78255004093647, 40.847858764186675], [-73.78251321057314, 40.847830903683814], [-73.78197242483822, 40.847941666661264], [-73.7819203217738, 40.84796273250126], [-73.78186552431823, 40.84797768156463], [-73.78180803262048, 40.84798719552233], [-73.78174964179642, 40.84798991351713], [-73.7816903533305, 40.84798719529754], [-73.78163286135285, 40.847978361586144], [-73.78157806356923, 40.84796341228428], [-73.78156548722475, 40.84793283288127], [-73.78156099588399, 40.84790157450532], [-73.78156279297427, 40.84786963645697], [-73.7815717752678, 40.84783837838012], [-73.78158794540808, 40.84780915912488], [-73.78163016593022, 40.84778401619691], [-73.781677777233, 40.847764309837984], [-73.78172808270557, 40.84775003944159], [-73.78178018481223, 40.847741884980834], [-73.7818340837086, 40.84774052632725], [-73.78185743956736, 40.847743244065825], [-73.78187899958144, 40.847749360473394], [-73.78189966115933, 40.84775751479909], [-73.7819176266977, 40.847768387120475], [-73.78193289856917, 40.8477819774433], [-73.78194547529905, 40.84779692691912], [-73.78195445801202, 40.84781323565077], [-73.7824602092436, 40.84770790871664], [-73.78251410871307, 40.847714703726936], [-73.78256531189325, 40.84772829416663], [-73.78261382086727, 40.84774732119639], [-73.78265694021198, 40.847771784243626], [-73.78269556865258, 40.847801004233204], [-73.78272700957025, 40.847834980593], [-73.78275126368705, 40.84787167551043], [-73.78276743330711, 40.84791108820009], [-73.7827746204216, 40.84795185992859], [-73.78277462024221, 40.847993311503195], [-73.78276473819498, 40.848034082605004], [-73.78264795767122, 40.84806058480948]]]]}",2100021,On The Sound,884.66367928,20834.7782544
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.94045500358153, 40.575552457569984], [-73.94039391749969, 40.57555177481246], [-73.94002201512708, 40.57556269192115], [-73.93943810996295, 40.57557906780568], [-73.93896649489336, 40.5755906673189], [-73.93840325152699, 40.575609089507665], [-73.93785977056407, 40.57562410033461], [-73.93732437457672, 40.57563911120074], [-73.93732347609392, 40.57561113591473], [-73.93756781809459, 40.5756063602026], [-73.93783641471043, 40.57559885500047], [-73.93823257093487, 40.57558793729781], [-73.93899703825178, 40.57556610372381], [-73.93959711260096, 40.575551092972695], [-73.94014059257199, 40.57553608203134], [-73.94045500304036, 40.57552789396139], [-73.94045500358153, 40.575552457569984]]]]}",3150008,Menorah Home and Hospital,1759.89289592,7808.93454325
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.98934221984068, 40.67812039916444], [-73.98939522060192, 40.67735805632039], [-73.98961710380593, 40.67745615971042], [-73.98972669863319, 40.67750384909595], [-73.9897213084558, 40.67751202438679], [-73.98970783432074, 40.67750861833649], [-73.98969346092989, 40.67750725547177], [-73.98967908732864, 40.67750725598434], [-73.98966471459353, 40.677509299762896], [-73.98965034164608, 40.67751270601827], [-73.98963327370855, 40.677519518675815], [-73.98961800215, 40.67752837476065], [-73.9896063238831, 40.677537912857645], [-73.98959374818602, 40.67755290078676], [-73.98958476438487, 40.677569932307314], [-73.98957937516653, 40.677586964152766], [-73.98957847689793, 40.67760535888338], [-73.98958117095907, 40.67762307224975], [-73.98958835737245, 40.67764078512205], [-73.98959913751686, 40.677656454150664], [-73.98961351010483, 40.677670761024025], [-73.98961351118152, 40.677671442713674], [-73.98962069715162, 40.67767689237601], [-73.98962608673591, 40.6776802986083], [-73.98964495124686, 40.67768983675727], [-73.98966471512969, 40.6776966491262], [-73.98968537591105, 40.6777014183045], [-73.98970783392657, 40.677702780993165], [-73.98972939331368, 40.6777020994291], [-73.98975095311918, 40.67769869290382], [-73.98977161439635, 40.677692561337466], [-73.98978598699405, 40.677699374106695], [-73.98978508912901, 40.677723218753044], [-73.98962878183582, 40.677721856699534], [-73.98962788349043, 40.67774842630175], [-73.98962788320725, 40.677765457734225], [-73.98958656152227, 40.67776409512526], [-73.98952727276857, 40.67776273266857], [-73.98952637372251, 40.67777090835869], [-73.98952098449426, 40.67781791563011], [-73.98949223798581, 40.67809042312636], [-73.98951739061083, 40.678091786098186], [-73.98951110294028, 40.67814288072098], [-73.98974825760766, 40.67822872023162], [-73.98971322398556, 40.678285946604774], [-73.98973298718374, 40.67829071569392], [-73.98975095324462, 40.67829820957663], [-73.98976802133106, 40.67830706585513], [-73.98978239343465, 40.67831796605969], [-73.98979496979497, 40.67833022858168], [-73.9898219203703, 40.67836292955194], [-73.98964225647703, 40.67829344062367], [-73.98967100304125, 40.67825392682897], [-73.98934221984068, 40.67812039916444]]]]}",3060004,Gowanus Waterfront Park,1083.64434935,16990.8394508
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.14343293536547, 40.53979031335185], [-74.14315445776825, 40.53958277843492], [-74.14308798226388, 40.539633979785314], [-74.14305743900105, 40.53960872020336], [-74.1427349436064, 40.53936636794576], [-74.14268643539076, 40.53932677257289], [-74.14245556857863, 40.539154053343495], [-74.1424447885285, 40.53915473581039], [-74.14224536277332, 40.53903116940756], [-74.1423028546447, 40.53898611227505], [-74.14234776992176, 40.5389506127045], [-74.14184651058449, 40.53859971001754], [-74.14184201915042, 40.53859629716059], [-74.14177554308333, 40.53854987417872], [-74.14177554308333, 40.53854987417872], [-74.14177105165432, 40.53854646041843], [-74.14181776379819, 40.5385089119343], [-74.14198215561001, 40.53837373937553], [-74.14229117644757, 40.53812865174482], [-74.14228758365869, 40.53806720954266], [-74.14227859946578, 40.53798323739734], [-74.142495991775, 40.537813928713014], [-74.14221302293933, 40.537587271645165], [-74.14239088889195, 40.537449365803546], [-74.14278974165552, 40.53773405251257], [-74.14273314790817, 40.537769553271474], [-74.14261816269578, 40.53780300490292], [-74.142530128275, 40.53782485117578], [-74.14247892452563, 40.53786513052571], [-74.14232082131552, 40.5379880164038], [-74.1423262102457, 40.53814571926238], [-74.14229836266522, 40.538167565477], [-74.14184740809684, 40.538519835645644], [-74.14185459512413, 40.53857035451202], [-74.14240436371296, 40.538953343170434], [-74.14266218019762, 40.53899293903952], [-74.14267745150856, 40.539003862383645], [-74.14273674069416, 40.53904277526654], [-74.14267655341764, 40.53927761960892], [-74.14308618554568, 40.53959916309764], [-74.14315805005607, 40.53954659613189], [-74.14343113797577, 40.53974866976558], [-74.14343293536547, 40.53979031335185]]]]}",5030011,Port Regalle,2537.79585781,28271.3123428
"{'type': 'MultiPolygon', 'coordinates': [[[[-74.00301278125939, 40.706023353517466], [-74.0027612529925, 40.7061711265389], [-74.00147306859222, 40.70499438169817], [-74.00124669395417, 40.705119684243975], [-74.00128621942764, 40.70515237147561], [-74.00124849002671, 40.70517280089458], [-74.00115686260884, 40.70508835818805], [-74.00117033672369, 40.70507678107605], [-74.00145151004827, 40.704890189188106], [-74.00206146559324, 40.70543906774565], [-74.00213422953247, 40.70539071795941], [-74.00216656863336, 40.70540161354392], [-74.00251511502161, 40.705539173087416], [-74.00255104701051, 40.70555551657937], [-74.00255643766505, 40.705572541529044], [-74.00254386131985, 40.70560182373802], [-74.00301278125939, 40.706023353517466]]]]}",1010003,Pier 17 (1of2),1539.47673825,35568.5683371
"{'type': 'MultiPolygon', 'coordinates': [[[[-73.84804129872596, 40.79565688930543], [-73.84799838337791, 40.7955644989345], [-73.8481660218171, 40.79549647540184], [-73.84851470833769, 40.795357382624196], [-73.84860724539014, 40.795318801564], [-73.84863809044133, 40.79528935876421], [-73.84866357147767, 40.795183768836466], [-73.8486371491957, 40.79514310532892], [-73.84864251399084, 40.79511569301274], [-73.84868274753421, 40.79505680623327], [-73.84859155137345, 40.79454611577416], [-73.84852717841311, 40.794529870799764], [-73.84850572066287, 40.794482152050435], [-73.84852047375257, 40.794440525056054], [-73.84856204773547, 40.79441209682969], [-73.84861837355356, 40.79440194382678], [-73.84863446759222, 40.79437554605576], [-73.84868542928676, 40.79434508777556], [-73.84873639162883, 40.794325796590414], [-73.84876857816107, 40.794307521728605], [-73.84879539928328, 40.79428620062742], [-73.84884554617526, 40.79418139761875], [-73.84880799528376, 40.79400473574087], [-73.84873557461498, 40.793771215456395], [-73.848628286355, 40.79346865381159], [-73.84851793567043, 40.79320484561018], [-73.8484640466075, 40.79311208255334], [-73.84843784977168, 40.79307065205481], [-73.84841345083449, 40.79301655025642], [-73.84849685880971, 40.79298942605537], [-73.84853709138343, 40.79305440689143], [-73.84873691686082, 40.7935569861321], [-73.84890857805695, 40.79394787850565], [-73.84891796509224, 40.79417327549178], [-73.84892869428957, 40.794282927392096], [-73.84881738235254, 40.794442328663585], [-73.84875032759248, 40.79453370550879], [-73.8487409392444, 40.79460376029286], [-73.84875569143558, 40.79475909991014], [-73.8488146998241, 40.79496926426264], [-73.84875971552077, 40.79529415509642], [-73.84859878283639, 40.79542817252445], [-73.8480435648247, 40.795654578905506], [-73.84804129872596, 40.79565688930543]]]]}",4070010,Soundview Pointe,2291.75935073,35089.1641089
