developerselectiondwid,projectid,method,rfpname,rfqname
18566,48579,Application,,
18589,48909,Application,,
18645,48621,RFQ,,
18520,47862,Application,,
18628,44306,Application,,
19321,48885,Application,,
18567,46264,Application,,
19218,48643,Direct Negotiation,,
19555,49445,RFQ,,TPT Round 8 & 9
18601,44249,Negotiated Sale,,
18550,47861,Application,,
18752,47841,Application,,
19404,48898,Application,,
18560,49272,Application,,
18498,48686,Application,,
19358,44332,RFQ,,NYC House Reconstruction
18474,49270,Application,,
18564,48639,Selected by Another Agency,,
18624,49067,Application,,
18505,48766,Application,,
18598,49534,Application,,
18597,47805,Application,,
19549,48014,RFQ,,TPT Round 8 & 9
18490,48892,Application,,
18503,48896,Application,,
18802,49562,Application,,
18593,48726,RFP,,
18397,48890,Application,,
18605,44362,Application,,
18615,45677,Application,,
18621,48937,RFQ,,
18491,48891,Application,,
18583,48676,Application,,
19348,44239,Negotiated Sale,,
18744,48870,Application,,
19254,44324,Negotiated Sale,,
19547,48908,RFQ,,TPT Round 8 & 9
18657,49173,Application,,
18487,47960,Application,,
18553,48746,Application,,
18662,49248,Application,,
18442,47767,Application,,
19604,48647,Application,,
19051,47888,Negotiated Sale,,
18578,48678,Application,,
18818,44409,Application,,
19274,44265,Negotiated Sale,,
19617,46143,Application,,
18538,49010,Negotiated Sale,,
19611,44256,RFQ,,Supportive Housing RFQ
18579,48677,Application,,
18508,48625,Application,,
19557,48608,RFQ,,TPT Round 8 & 9
19234,48906,Application,,
18439,47850,Application,,
18501,48754,Application,,
18693,48787,Application,,
18576,48690,Application,,
52976,64436,Application,,
18492,49275,Application,,
18644,49026,Application,,
18608,46076,Application,,
18613,45301,Selected by Another Agency,,
18507,48660,Application,,
19588,48768,Application,,
18846,48996,RFQ,,"ANCP, TPT-TP, & Special Projects RFQ"
19589,44285,RFP,New Foundations Homeownership Program,
19535,48002,RFQ,,
19421,44230,RFP,New Foundations RFP,
19259,48650,Direct Negotiation,,
19550,47962,RFQ,,
19392,49570,Application,,
19323,44282,RFP,West Side Sites RFP,
18545,44303,Application,,
19570,48132,RFQ,,TPT Round 8 & 9
19417,44339,RFP,Melrose Commons North,
19495,48646,Application,,
19443,44431,Negotiated Sale,,
19431,48679,Application,,
18517,48788,Application,,
18534,49281,Application,,
18596,46299,Application,,
19373,48753,Application,,
19593,44295,Negotiated Sale,,
19639,44319,RFP,Greenpoint - Williamsburg,
19388,49533,Application,,
18604,44258,RFP,Cornerstone IV,
18607,48771,Application,,
18622,48928,Application,,
18512,44350,Selected by Another Agency,,
18577,49070,Application,,
18502,48794,Application,,
19552,48731,RFQ,,TPT Round 8 & 9
19601,48763,RFQ,,
19356,44333,Application,,
18573,49575,Application,,
18787,48038,Direct Negotiation,,
19347,48128,RFQ,,
18772,49607,Direct Negotiation,,
19135,49501,RFQ,,TPT Round 8 & 9
18623,49276,Application,,
18522,48752,Application,,
19065,48973,RFQ,,TPT Round 8 & 9
18599,48003,Application,,
18506,48889,Application,,
18642,48929,Application,,
19584,49172,Application,,
19294,44218,Selected by Another Agency,,
18514,48897,Application,,
18364,48887,Application,,
18654,44405,RFP,BAM North Site II,
18532,45578,Application,,
18519,48902,Application,,
18617,48641,Application,,
18521,48895,Application,,
18509,48632,Application,,
18482,48733,Application,,
18632,48013,RFQ,,
18562,49060,Application,,
19420,44250,Negotiated Sale,,
19271,44348,Negotiated Sale,,
19430,49588,RFP,,
19304,44357,Negotiated Sale,,
18499,48683,Application,,
19247,47858,Application,,
19028,48742,Application,,
19215,44340,RFP,New Foundations Homeownership Program,
18495,49569,Application,,
19553,48607,RFQ,,
19551,48729,RFQ,,TPT Round 8 & 9
19548,48011,RFQ,,TPT Round 8 & 9
18513,48634,Application,,
19554,48732,RFQ,,TPT Round 8 & 9
18582,47838,Application,,
18565,44865,Negotiated Sale,,
19487,44223,RFP,New Foundations Homeownership Program,
18504,48886,Application,,
18500,49103,Application,,
18518,48657,Application,,
18561,48681,Application,,
18849,48940,Application,,
19185,49544,Application,,
18572,49576,Application,,
18636,49391,Application,,
18620,48735,RFQ,,
19437,48877,Negotiated Sale,,
18612,48772,RFP,,
19466,48688,Selected by Another Agency,,
18544,48049,RFQ,,TPT Round 8 & 9
19598,48879,RFP,,
19536,44281,Selected by Another Agency,,
18570,49273,Application,,
18857,47868,Negotiated Sale,,
18759,47878,Negotiated Sale,,
18851,49147,RFQ,,"ANCP, TPT-TP, & Special Projects RFQ"
18821,49418,Application,,
18586,48765,Application,,
19112,47948,Negotiated Sale,,
18652,49338,Application,,
18546,49481,Application,,
19385,48638,Application,,
18489,49058,Application,,
18551,48704,Application,,
18619,45223,Application,,
18631,44888,Application,,
18537,45675,Application,,
19355,45326,Direct Negotiation,,
18516,47772,Application,,
18563,48685,Application,,
19616,48143,RFQ,,TPT Round 8 & 9
18635,48899,Application,,
18515,48760,Application,,
18548,48626,RFQ,,
19546,48624,RFQ,,
18523,48254,Application,,
18542,48640,Application,,
19059,44225,RFP,Cornerstone IV,
18552,48748,Application,,
18549,49285,Application,,
19164,49171,Direct Negotiation,,
18648,48644,Application,,
18594,49143,RFP,,
19473,45303,Selected by Another Agency,,
18559,48730,Application,,
19278,44602,Negotiated Sale,,
18602,44369,RFP,,
19416,44280,RFP,Melrose Commons North,
19306,49625,Application,,
18761,49358,Application,,
19283,44288,RFP,New Foundations Homeownership Program,
19444,48775,Application,,
18877,44388,Application,,
18473,48755,Application,,
18609,45280,Application,,
19607,44353,Selected by Another Agency,,
18536,49455,Application,,
18664,45265,RFP,,
18471,48910,Application,,
18485,49517,Application,,
18649,48012,RFP,,
