site_id,site_street_address,ecers_r_language_reasoning,class_classroom_organization,class_instructional_support,site_district,class_emotional_support_score
11X016,4550 Carpenter Avenue,,6.7,3.0,11,6.7
11X153,650 Baychester Avenue,5.5,,,11,
06M513,560 West 169 Street,4.3,5.6,1.6,6,6.1
04M155,319 East 117 Street,6.0,6.5,2.5,4,6.5
01M015,333 East 4 Street,5.3,6.8,3.5,1,6.9
05M133,2121 5 Avenue,5.3,7.0,3.2,5,7.0
09X132,1245 Washington Avenue,6.0,,,9,
05M197,2230 5 Avenue,6.5,6.7,2.7,5,6.9
10X051,695 East 182 Street,5.0,7.0,3.4,10,7.0
05M175,175 West 134 Street,6.8,7.0,3.7,5,7.0
08X333,888 Rev James A Polite Avenue,4.8,6.1,1.9,8,6.1
11X108,1166 Neill Avenue,7.0,7.0,3.8,11,7.0
04M108,1615 Madison Avenue,5.5,6.9,2.9,4,6.9
04M007,160 East 120 Street,5.5,6.9,2.5,4,7.0
03M165,234 West 109 Street,6.3,7.0,3.9,3,7.0
01M063,121 East 3 Street,5.8,6.1,2.7,1,6.6
04M375,141 East 111 Street,5.5,6.9,3.6,4,7.0
06M004,500 West 160 Street,5.5,,,6,
10X086,2756 Reservoir Avenue,5.5,7.0,2.3,10,6.9
06M098,512 West 212 Street,5.8,6.9,3.0,6,6.9
09X555,1501 Jerome Avenue,5.3,6.8,2.7,9,6.8
02M033,281 9 Avenue,4.8,6.9,2.7,2,7.0
07X029,758 Courtlandt Avenue,,6.9,3.1,7,6.9
03M185,20 West 112 Street,7.0,7.0,4.2,3,7.0
10X360,2880 Kingsbridge Terrace,,6.8,2.3,10,6.8
03M145,150 West 105 Street,4.8,7.0,4.0,3,7.0
08X138,2060 Lafayette Avenue,,6.3,2.6,8,6.5
11X089,980 Mace Avenue,,6.6,2.1,11,6.7
11X106,1514 Olmstead Avenue,6.0,7.0,3.0,11,7.0
02M290,311 East 82 Street,6.3,6.3,1.7,2,6.5
03M180,370 West 120 Street,5.5,7.0,3.0,3,6.9
06M348,511 West 182 Street,5.3,6.3,2.5,6,6.6
04M057,176 East 115 Street,5.3,6.9,2.8,4,7.0
02M343,1 Peck Slip,5.3,6.5,3.7,2,6.9
06M005,3703 10 Avenue,5.5,,,6,
04M146,421 East 106 Street,5.3,7.0,3.0,4,7.0
05M046,2987 Frederick Douglas Boulevard,4.5,6.8,2.8,5,6.9
06M152,93 Nagle Avenue,6.0,,,6,
11X112,1925 Schieffelin Avenue,6.0,6.7,2.5,11,6.8
06M192,500 West 138 Street,5.0,6.9,2.8,6,6.9
02M040,319 East 19 Street,6.3,7.0,3.1,2,6.9
05M125,425 West 123 Street,4.8,7.0,3.7,5,7.0
08X072,2951 Dewey Avenue,6.3,6.9,2.5,8,7.0
09X042,1537 Washington Avenue,5.5,6.0,1.8,9,6.0
06M187,349 Cabrini Boulevard,6.3,6.8,3.1,6,6.9
07X157,757 Cauldwell Avenue,3.3,7.0,2.7,7,7.0
07X277,519 Saint Anns Avenue,,6.2,2.5,7,6.5
03M087,160 West 78 Street,5.0,6.9,3.8,3,7.0
08X392,650 Hollywood Avenue,5.5,6.8,3.3,8,7.0
07X049,383 East 139 Street,5.3,6.7,2.5,7,6.7
