site_name,ecers_r_program_structure,site_zip_code,ecers_r_personal_care_routines
P.S. 38 Roberto Clemente,3.0,10029,3.7
P.S. 076 A. Philip Randolph,3.5,10027,3.2
P.S. 242 - The Young Diplomats Magnet Academy,2.0,10027,2.5
P.S. 092 Mary McLeod Bethune,5.3,10030,3.2
P.S. 036 Margaret Douglas,3.3,10027,3.0
P.S. 030 Wilton,,10454,
P.S. 036 Unionport,7.0,10472,3.0
P.S. 188 The Island School,4.3,10002,2.3
P.S. 059 The Community School of Technology,5.3,10457,2.8
P.S. 134 Henrietta Szold,1.3,10002,3.3
The River School,2.7,10016,2.3
P.S. 062 Inocensio Casanova,4.0,10455,4.2
P.S. 123 Mahalia Jackson,4.8,10030,3.0
P.S. 093 Albert G. Oliver,4.0,10473,1.7
Earth School,3.8,10009,2.0
P.S. 209,5.5,10458,3.0
P.S. 207,4.3,10463,2.5
P.S. 154 Jonathan D. Hyatt,3.5,10454,2.8
The East Village Community School,2.7,10009,1.8
River East Elementary,5.3,10035,4.5
P.S. 116 Mary Lindley Murray,5.5,10016,2.7
P.S. 041 Greenwich Village,3.5,10011,2.0
P.S. 001 Alfred E. Smith,4.5,10038,3.2
P.S. 130 Hernando De Soto,4.5,10013,3.5
P.S. 048 P.O. Michael J. Buczek,3.7,10033,2.7
Neighborhood School,5.7,10009,2.2
P.S. 109 Sedgwick,2.7,10453,2.8
P.S. 018 John Peter Zenger,5.8,10451,2.8
P.S. 058,2.7,10457,1.8
P.S. 121 Throop,5.0,10469,3.7
Young Leaders Elementary School,4.5,10454,4.2
P.S. 142 Amalia Castro,4.8,10002,3.7
P.S. 083 Luis Munoz Rivera,2.7,10029,1.7
P.S. 89,4.3,10282,2.0
P.S. 396,2.8,10453,2.7
P.S. 033 Timothy Dwight,2.7,10468,2.7
P.S. 025 Bilingual School,,10455,
P.S. 194 Countee Cullen,5.0,10030,1.7
School for Environmental Citizenship,3.8,10453,2.7
P.S. 340,4.3,10468,2.3
P.S. 212 Midtown West,3.3,10036,1.8
P.S./M.S. 004 Crotona Park West,6.7,10457,2.5
P.S./I.S. 210 - Twenty-first Century Academy for Community Leadership,5.3,10031,3.5
P.S. 199X - The Shakespeare School,3.8,10452,3.8
P.S. 126 Dr Marjorie H Dunbar,2.7,10452,3.0
P.S. 030 Hernandez/Hughes,4.0,10035,4.3
P.S. 055 Benjamin Franklin,4.0,10456,2.8
Central Park East II,3.0,10029,2.2
P.S. 236 Langston Hughes,4.8,10453,4.3
P.S. 171 Patrick Henry,6.0,10029,4.3
