site_id,site_name,ecers_r_most_recent_assessment,ecers_r_activities_score,ecers_r_space_and_furnishings,ecers_r_observation_average,class_most_recent_assessment
09X073,P.S. 073 Bronx,FY18,4.5,3.3,3.9,FY19
02M126,P.S. 126 Jacob August Riis,FY18,4.2,4.4,4.3,FY19
10X310,P.S. 310 Marble Hill,FY18,4.9,4.3,4.5,FY19
06M115,P.S. 115 Alexander Humboldt,FY19,5.4,5.0,4.4,FY20
07X005,P.S. 5 Port Morris,FY18,5.3,4.0,4.6,FY19
03M084,P.S. 084 Lillian Weber,FY20,5.1,3.9,4.5,FY19
04M112,P.S. 112 Jose Celso Barbosa,FY20,6.3,4.9,5.3,FY19
02M150,P.S. 150,FY19,3.4,3.3,3.8,
03M452,P.S. 452,FY18,4.6,3.5,4.2,FY19
06M153,P.S. 153 Adam Clayton Powell,FY18,3.5,4.1,3.9,FY19
08X107,P.S. 107,FY18,3.7,3.5,3.6,FY18
10X344,Ampark Neighborhood,FY18,3.9,4.6,4.4,FY19
10X009,P.S. 9 Ryer Avenue Elementary School,FY20,4.3,3.5,4.0,FY18
07X161,P.S. 161 Juan Ponce De Leon School,,,,,FY18
02M276,Battery Park City School,FY19,4.8,4.0,4.9,
11X105,P.S. 105 Sen Abraham Bernstein,FY19,4.4,3.3,3.9,
01M064,P.S. 064 Robert Simon,FY18,5.1,3.4,4.5,
07X179,P.S. 179,FY20,4.1,2.9,3.8,FY19
07X065,P.S. 065 Mother Hale Academy,FY18,4.9,5.1,4.8,FY19
02M217,P.S./I.S. 217 Roosevelt Island,,,,,FY18
05M129,P.S. 129 John H. Finley,FY20,4.6,3.4,4.0,FY19
02M011,P.S. 011 William T. Harris,FY20,4.4,3.1,4.1,FY18
09X204,P.S. 204 Morris Heights,FY19,4.8,4.1,4.3,FY18
01M019,P.S. 019 Asher Levy,FY19,4.2,3.8,3.9,FY19
02M183,P.S. 183 Robert L. Stevenson,,,,,FY18
08X100,P.S. 100 Isaac Clason,FY19,3.7,3.5,3.5,FY19
02M051,P.S. 051 Elias Howe,FY20,5.1,4.9,4.6,FY19
10X032,P.S. 32 Belmont,FY19,4.9,3.5,4.3,
08X069,P.S. 069 Journey Prep School,FY19,6.3,4.4,4.9,
04M096,P.S. 096 Joseph Lanzetta,,,,,FY19
10X054,P.S./I.S. 54,,,,,FY19
07X031,P.S./M.S. 031 The William Lloyd Garrison,FY18,4.4,4.1,4.2,FY19
06M366,Washington Heights Academy,FY19,4.7,4.4,4.8,FY20
08X130,P.S. 130 Abram Stevens Hewitt,,,,,FY18
05M200,P.S. 200- The James Mccune Smith School,FY18,4.3,3.5,4.2,FY19
09X063,P.S. 063 Author's Academy,FY18,4.4,4.6,4.5,FY19
01M110,P.S. 110 Florence Nightingale,FY19,4.5,4.9,4.3,FY18
09X028,P.S. 028 Mount Hope,,,,,FY20
01M184,P.S. 184m Shuang Wen,FY18,3.1,3.0,3.4,FY19
06M028,P.S. 028 Wright Brothers,,,,,FY18
02M059,P.S. 059 Beekman Hill International,FY18,4.0,4.3,4.6,FY19
04M072,The Lexington Academy,FY18,4.8,3.8,4.2,FY19
08X182,P.S. 182,FY19,4.3,3.9,3.6,FY18
08X075,P.S. 75 School of Research and Discovery,FY18,6.0,4.8,5.0,
09X449,Grant Avenue Elementary School,FY18,5.6,4.1,4.9,FY19
06M128,P.S. 128 Audubon,FY19,4.6,4.9,4.7,FY18
02M225,Ella Baker School,FY18,2.9,2.9,3.3,FY19
07X043,P.S. 043 Jonas Bronck,FY19,5.7,5.3,4.8,FY19
11X078,P.S. 078 Anne Hutchinson,FY18,4.1,2.9,3.3,FY19
02M158,P.S. 158 Bayard Taylor,FY18,4.2,3.4,4.2,FY19
