site_street_address,ecers_r_interaction_score,site_borough
750 Concourse Village West,5.2,X
2100 Lafontaine Avenue,3.8,X
315 East 113 Street,4.4,M
242 Cooper Street,,K
168 Morningside Avenue,5.2,M
100 West 84 Street,6.0,M
1950 Sedgwick Avenue,5.0,X
12 Spruce Street,6.6,M
306 Fort Washington Avenue,4.0,M
580 Crotona Park South,5.2,X
730 East 12 Street,6.0,M
3177 Webster Avenue,4.2,X
335 East 152 Street,4.4,X
41 West 117 Street,5.2,M
421 East 88 Street,,M
4011 Monticello Avenue,5.4,X
916 Eagle Avenue,5.8,X
1116 Sheridan Avenue,4.2,X
360 East 168 Street,,X
465 West 167 Street,5.2,M
123 Ridge Street,5.2,M
2750 Lafayette Avenue,,X
3740 Baychester Avenue,6.0,X
250 West 127 Street,5.2,M
166 Essex Street,4.6,M
1075 Pugsley Avenue,4.6,X
490 Hudson Street,5.6,M
71 Hester Street,6.6,M
2075 Webster Avenue,5.2,X
1290 Spofford Avenue,5.4,X
2151 Washington Avenue,5.8,X
2580 Amsterdam Avenue,5.8,M
210 West 61 Street,3.4,M
40 Division Street,6.6,M
163 West 97 Street,5.0,M
2400 Marion Avenue,5.0,X
275 Harlem River Park Bridge,3.2,X
4140 Hutchinson River Parkway East,,X
45 East 81 Street,,M
122 Henry Street,6.6,M
440 West 53 Street,4.8,M
3050 Webster Avenue,5.2,X
3500 Edson Avenue,5.8,X
1116 Sheridan Avenue,6.0,X
1028 White Plains Road,6.0,X
590 6 Avenue,6.4,M
968 Cauldwell Avenue,4.4,X
1700 3 Avenue,5.4,M
610 East 12 Street,5.8,M
1573 Madison Avenue,5.6,M
