industry,count
Standardized Services,0
Human Services,0
Construction Services,0
Architecture/Engineering,0
Architecture/Engineering,0
Professional Services,0
Construction Services,0
Professional Services,0
Goods,0
Goods,2
Architecture/Engineering,0
Construction Services,0
Human Services,0
Standardized Services,0
Human Services,0
Goods,0
Construction Services,0
Architecture/Engineering,0
Human Services,0
Architecture/Engineering,0
Construction Services,0
Architecture/Engineering,0
Construction Services,0
Goods,0
Architecture/Engineering,0
Architecture/Engineering,0
Construction Services,0
Professional Services,0
Construction Services,0
Architecture/Engineering,0
Architecture/Engineering,0
Human Services,0
Human Services,0
Human Services,0
Human Services,0
Goods,0
Goods,10
Professional Services,0
Architecture/Engineering,0
Construction Services,0
Standardized Services,0
Architecture/Engineering,0
Professional Services,0
Professional Services,0
Human Services,0
Professional Services,0
Standardized Services,0
Construction Services,0
Standardized Services,0
Professional Services,0
Construction Services,0
Architecture/Engineering,0
Architecture/Engineering,0
Standardized Services,0
Human Services,0
Professional Services,0
Professional Services,0
Standardized Services,0
Human Services,0
Standardized Services,0
Construction Services,0
Standardized Services,0
Goods,0
Goods,0
Construction Services,0
Goods,4
Professional Services,0
Architecture/Engineering,0
Professional Services,0
Standardized Services,0
Construction Services,0
Goods,0
Professional Services,0
Goods,0
Human Services,0
Construction Services,0
Construction Services,0
Standardized Services,0
Standardized Services,0
Human Services,0
Standardized Services,0
Human Services,0
Human Services,0
Standardized Services,0
Architecture/Engineering,0
Construction Services,0
Architecture/Engineering,0
Standardized Services,0
Standardized Services,0
Standardized Services,0
Architecture/Engineering,0
Goods,21
Goods,0
Professional Services,0
Goods,0
Standardized Services,0
Architecture/Engineering,0
Architecture/Engineering,0
Architecture/Engineering,0
Standardized Services,1
Architecture/Engineering,0
Professional Services,0
Standardized Services,0
Construction Services,0
Construction Services,0
Human Services,0
Professional Services,0
Goods,0
Standardized Services,0
Goods,0
Goods,0
Construction Services,0
Professional Services,0
Architecture/Engineering,0
Architecture/Engineering,0
Professional Services,0
Construction Services,0
Construction Services,0
Standardized Services,0
Construction Services,0
Standardized Services,0
Human Services,0
Goods,0
Architecture/Engineering,0
Architecture/Engineering,0
Human Services,0
Professional Services,0
Professional Services,0
Human Services,0
Construction Services,0
Architecture/Engineering,0
Human Services,0
Architecture/Engineering,0
Goods,0
Goods,0
Standardized Services,0
Construction Services,0
Professional Services,0
Construction Services,0
Professional Services,0
Architecture/Engineering,0
Architecture/Engineering,0
Human Services,0
Professional Services,0
Construction Services,0
Construction Services,0
Standardized Services,0
Human Services,0
Professional Services,0
Goods,0
Goods,0
Standardized Services,0
Goods,1
Human Services,0
Goods,3
Construction Services,0
Construction Services,0
Standardized Services,0
Standardized Services,0
Architecture/Engineering,0
Goods,0
Human Services,0
Architecture/Engineering,0
Goods,0
Human Services,0
Goods,0
Human Services,0
Human Services,0
Goods,0
Professional Services,0
Professional Services,0
Standardized Services,0
Standardized Services,0
Construction Services,0
Construction Services,0
Professional Services,0
Standardized Services,0
Human Services,0
Standardized Services,0
Human Services,0
Human Services,0
Goods,1
Professional Services,0
Human Services,0
Goods,0
Goods,6
Construction Services,0
Professional Services,0
Human Services,0
Goods,0
Goods,0
Architecture/Engineering,0
Professional Services,0
Human Services,0
Architecture/Engineering,0
Construction Services,0
Professional Services,0
Professional Services,0
Standardized Services,0
Professional Services,0
