contract_value,percent_awarded_to_worker
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
"$   18,448.00",0.0017
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
"$   49,677.66",0.006
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
"$   32,222.46",0.0449
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
"$   873,603.10",0.0403
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
"$   1,124.32",0.0087
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
"$   3,200.00",0.0047
$   - 0,0.0
"$   40,000.00",0.0071
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
"$   20,000.00",0.0004
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
"$   185,000.00",0.0208
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
$   - 0,0.0
