fy3_amt,discpln_sys,agy_name
385000.0,Elevators/Escalators,DEPT. OF HOMELESS SERVICES
20000.0,Miscellaneous Buildings,DEPARTMENT FOR THE AGING
0.0,Site Pavements,DEPT. OF HOMELESS SERVICES
11000.0,Bulkheads,DEPARTMENT OF TRANSPORTATION
110000.0,Interior Architecture,DEPARTMENT OF SANITATION
0.0,Bridge Structure,DEPT. OF PARKS & RECREATION
92000.0,Electrical,DEPARTMENT FOR THE AGING
175000.0,Bulkheads,DEPT. OF PARKS & RECREATION
26044000.0,Bridge Structure,DEPARTMENT OF TRANSPORTATION
111000.0,Piers,DEPARTMENT OF TRANSPORTATION
67000.0,Piers,DEPT. OF SMALL BUSINESS SERV.
108000.0,Interior Architecture,BROOKLYN PUBLIC LIBRARY
0.0,Site Enclosure,BROOKLYN PUBLIC LIBRARY
605000.0,Electrical,POLICE DEPARTMENT
733000.0,Bridge Mechanical,DEPARTMENT OF TRANSPORTATION
397000.0,Exterior Architecture,HEALTH AND HOSPITALS CORP.
555000.0,Mechanical,DEPARTMENT OF TRANSPORTATION
437000.0,Electrical,NEW YORK PUBLIC LIBRARY
274000.0,Interior Architecture,QUEENS PUBLIC LIBRARY
37000.0,Elevators/Escalators,FIRE DEPARTMENT
125000.0,Site Pavements,DEPT. OF PARKS & RECREATION
847000.0,Exterior Architecture,DEPARTMENT OF CULTURAL AFFAIRS
0.0,Site Enclosure,DEPARTMENT OF EDUCATION
918000.0,Electrical,DEPARTMENT OF CORRECTION
104000.0,Mechanical,DIV. OF YOUTH & FAMILY JUSTICE
136000.0,Marinas/Docks,DEPARTMENT OF TRANSPORTATION
4000.0,Exterior Architecture,DIV. OF YOUTH & FAMILY JUSTICE
54000.0,Miscellaneous Buildings,FIRE DEPARTMENT
4000.0,Electrical,TAXI & LIMOUSINE COMMISSION
422000.0,Electrical,DEPARTMENT OF SANITATION
0.0,Piers,POLICE DEPARTMENT
595000.0,Interior Architecture,DEPT. OF PARKS & RECREATION
19000.0,Site Pavements,DEPARTMENT OF EDUCATION
1311000.0,Mechanical,DEPT. OF SMALL BUSINESS SERV.
13233000.0,Electrical,DEPARTMENT OF EDUCATION
465000.0,Elevators/Escalators,DEPT. OF SMALL BUSINESS SERV.
128000.0,Exterior Architecture,DEPT. OF SMALL BUSINESS SERV.
36356000.0,Traffic Signal System,DEPARTMENT OF TRANSPORTATION
1054000.0,Mechanical,FIRE DEPARTMENT
809000.0,Parks' Electrical Utilities,DEPT. OF PARKS & RECREATION
2300000.0,Rikers Island Utilities,DEPARTMENT OF CORRECTION
9000.0,Bulkheads,DEPARTMENT OF SANITATION
0.0,Site Pavements,NEW YORK PUBLIC LIBRARY
32000.0,Interior Architecture,DEPARTMENT FOR THE AGING
825000.0,Exterior Architecture,DEPT. OF PARKS & RECREATION
0.0,Site Pavements,HEALTH AND HOSPITALS CORP.
1654000.0,Vessels,FIRE DEPARTMENT
0.0,Site Enclosure,DEPARTMENT OF CORRECTION
11532000.0,Interior Architecture,DEPT. OF CITYWIDE ADMIN. SERV.
150000.0,Piers,DEPT. OF PARKS & RECREATION
1641000.0,Mechanical,DEPARTMENT OF CORRECTION
6927000.0,Mechanical,HEALTH AND HOSPITALS CORP.
0.0,Exterior Architecture,TAXI & LIMOUSINE COMMISSION
76000.0,Electrical,BROOKLYN PUBLIC LIBRARY
1351000.0,Electrical,DEPARTMENT OF CULTURAL AFFAIRS
514000.0,Elevators/Escalators,DEPARTMENT OF CORRECTION
43201000.0,Mechanical,DEPARTMENT OF EDUCATION
10000.0,Exterior Architecture,DEPARTMENT OF CORRECTION
32000.0,Mechanical,TAXI & LIMOUSINE COMMISSION
0.0,Site Enclosure,DEPT. OF SMALL BUSINESS SERV.
709000.0,Miscellaneous Buildings,DEPT. OF PARKS & RECREATION
0.0,Primary Streets,DEPARTMENT OF TRANSPORTATION
48000.0,Exterior Architecture,DEPT. OF HEALTH & MENTAL HYGIENE
314000.0,Elevators/Escalators,NEW YORK PUBLIC LIBRARY
0.0,Bulkheads,DEPARTMENT OF EDUCATION
0.0,Site Pavements,DEPT. OF SMALL BUSINESS SERV.
0.0,Interior Architecture,DIV. OF YOUTH & FAMILY JUSTICE
115000.0,Exterior Architecture,DEPARTMENT OF TRANSPORTATION
0.0,Arterial Streets,DEPARTMENT OF TRANSPORTATION
17000.0,Site Enclosure,FIRE DEPARTMENT
169000.0,Exterior Architecture,POLICE DEPARTMENT
6091000.0,Exterior Architecture,DEPARTMENT OF EDUCATION
397000.0,Interior Architecture,DEPT. OF SMALL BUSINESS SERV.
0.0,Site Pavements,POLICE DEPARTMENT
0.0,Site Pavements,CITY UNIVERSITY OF NEW YORK
412000.0,Elevators/Escalators,DEPT. OF HEALTH & MENTAL HYGIENE
0.0,Site Enclosure,DIV. OF YOUTH & FAMILY JUSTICE
0.0,Site Enclosure,CITY UNIVERSITY OF NEW YORK
42000.0,Elevators/Escalators,DEPARTMENT FOR THE AGING
61000.0,Electrical,HUMAN RESOURCES ADMINISTRATION
3000.0,Marinas/Docks,FIRE DEPARTMENT
6000.0,Miscellaneous Buildings,DEPT. OF SMALL BUSINESS SERV.
3331000.0,Interior Architecture,CITY UNIVERSITY OF NEW YORK
163000.0,Elevators/Escalators,DEPARTMENT OF SANITATION
206000.0,Exterior Architecture,DEPT. OF CITYWIDE ADMIN. SERV.
137000.0,Elevators/Escalators,DEPARTMENT OF TRANSPORTATION
0.0,Bulkheads,FIRE DEPARTMENT
16000.0,Exterior Architecture,BROOKLYN PUBLIC LIBRARY
564000.0,Electrical,FIRE DEPARTMENT
181000.0,Exterior Architecture,DEPARTMENT OF SANITATION
56000.0,Interior Architecture,TAXI & LIMOUSINE COMMISSION
3862000.0,Mechanical,DEPARTMENT OF CULTURAL AFFAIRS
2777000.0,Interior Architecture,HEALTH AND HOSPITALS CORP.
214000.0,Interior Architecture,DEPT. OF HOMELESS SERVICES
10000.0,Miscellaneous Buildings,CITY UNIVERSITY OF NEW YORK
0.0,Site Enclosure,DEPARTMENT FOR THE AGING
0.0,Site Enclosure,HUMAN RESOURCES ADMINISTRATION
446000.0,Electrical,DEPT. OF SMALL BUSINESS SERV.
5567000.0,Elevators/Escalators,DEPARTMENT OF EDUCATION
22000.0,Interior Architecture,ADMIN. FOR CHILDREN'S SERVICES
804000.0,Elevators/Escalators,CITY UNIVERSITY OF NEW YORK
1107000.0,Mechanical,NEW YORK PUBLIC LIBRARY
42000.0,Elevators/Escalators,HUMAN RESOURCES ADMINISTRATION
36000.0,Interior Architecture,HUMAN RESOURCES ADMINISTRATION
0.0,Site Enclosure,POLICE DEPARTMENT
63000.0,Exterior Architecture,HUMAN RESOURCES ADMINISTRATION
288000.0,Interior Architecture,POLICE DEPARTMENT
4000.0,Exterior Architecture,DEPARTMENT FOR THE AGING
4000.0,Site Pavements,DEPT. OF HEALTH & MENTAL HYGIENE
0.0,Site Enclosure,DEPARTMENT OF SANITATION
127000.0,Bridge Electrical,DEPARTMENT OF TRANSPORTATION
49000.0,Elevators/Escalators,ADMIN. FOR CHILDREN'S SERVICES
276000.0,Mechanical,HUMAN RESOURCES ADMINISTRATION
729000.0,Interior Architecture,NEW YORK PUBLIC LIBRARY
174000.0,Miscellaneous Buildings,DEPARTMENT OF CULTURAL AFFAIRS
357000.0,Mechanical,BROOKLYN PUBLIC LIBRARY
,Site Enclosure,BROOKLYN PUBLIC LIBRARY
0.0,Step Streets,DEPARTMENT OF TRANSPORTATION
1000.0,Bulkheads,POLICE DEPARTMENT
0.0,Local Streets,DEPARTMENT OF TRANSPORTATION
0.0,Site Pavements,ADMIN. FOR CHILDREN'S SERVICES
11000.0,Site Pavements,FIRE DEPARTMENT
474000.0,Electrical,DEPT. OF HOMELESS SERVICES
0.0,Site Enclosure,QUEENS PUBLIC LIBRARY
140000.0,Elevators/Escalators,BROOKLYN PUBLIC LIBRARY
0.0,Site Pavements,DEPARTMENT FOR THE AGING
197000.0,Electrical,QUEENS PUBLIC LIBRARY
42000.0,Electrical,DIV. OF YOUTH & FAMILY JUSTICE
0.0,Parks' Boardwalks,DEPT. OF PARKS & RECREATION
