total_days,days_present,school_name,chronically_absent
3041,2780,The STAR Academy - P.S.63,7
11209,10748,P.S. 020 Anna Silver,5
10332,9689,P.S. 020 Anna Silver,11
8886,8137,P.S. 020 Anna Silver,26
11618,10856,P.S. 020 Anna Silver,16
11894,10903,P.S. 020 Anna Silver,23
1902,1581,P.S. 034 Franklin D. Roosevelt,11
36697,34098,The STAR Academy - P.S.63,57
2209,2104,P.S. 015 Roberto Clemente,2
5493,4996,The STAR Academy - P.S.63,12
7763,7180,P.S. 019 Asher Levy,13
5857,5314,P.S. 015 Roberto Clemente,10
27491,25249,P.S. 019 Asher Levy,72
2987,2767,P.S. 015 Roberto Clemente,4
14626,13821,P.S. 020 Anna Silver,22
33896,29536,P.S. 034 Franklin D. Roosevelt,146
4174,3805,P.S. 019 Asher Levy,10
4949,4566,P.S. 015 Roberto Clemente,10
40842,37111,The STAR Academy - P.S.63,83
5278,4857,The STAR Academy - P.S.63,11
4018,3552,P.S. 034 Franklin D. Roosevelt,15
2269,2097,P.S. 019 Asher Levy,6
8389,7587,P.S. 019 Asher Levy,13
7556,6481,P.S. 020 Anna Silver,25
6849,6211,P.S. 020 Anna Silver,25
7436,6885,P.S. 019 Asher Levy,12
7709,6901,P.S. 034 Franklin D. Roosevelt,17
4275,3824,The STAR Academy - P.S.63,13
3107,2798,The STAR Academy - P.S.63,12
3862,3624,P.S. 015 Roberto Clemente,8
12614,11743,P.S. 020 Anna Silver,17
8303,7562,P.S. 020 Anna Silver,33
3536,3329,P.S. 015 Roberto Clemente,5
14130,13040,P.S. 020 Anna Silver,23
5633,5362,P.S. 015 Roberto Clemente,3
6508,5994,P.S. 034 Franklin D. Roosevelt,13
14430,13096,P.S. 020 Anna Silver,31
48074,42558,P.S. 034 Franklin D. Roosevelt,116
7297,6677,P.S. 019 Asher Levy,14
28,s,P.S. 034 Franklin D. Roosevelt,s
36452,33655,The STAR Academy - P.S.63,62
5092,4678,P.S. 034 Franklin D. Roosevelt,8
12434,11189,P.S. 020 Anna Silver,34
36681,34158,P.S. 019 Asher Levy,50
85659,78859,P.S. 020 Anna Silver,165
1922,1724,P.S. 019 Asher Levy,9
5810,5296,P.S. 034 Franklin D. Roosevelt,16
5141,4708,P.S. 019 Asher Levy,14
5984,5460,P.S. 019 Asher Levy,11
7979,7059,The STAR Academy - P.S.63,21
7767,6995,P.S. 019 Asher Levy,21
3901,3330,P.S. 019 Asher Levy,11
6650,6071,P.S. 019 Asher Levy,10
6369,5714,P.S. 034 Franklin D. Roosevelt,14
3934,3422,P.S. 034 Franklin D. Roosevelt,11
169,s,P.S. 015 Roberto Clemente,s
35246,32666,The STAR Academy - P.S.63,60
5413,4873,P.S. 015 Roberto Clemente,13
7066,6435,P.S. 034 Franklin D. Roosevelt,15
4783,4509,The STAR Academy - P.S.63,3
4811,4265,P.S. 034 Franklin D. Roosevelt,9
6144,5708,P.S. 020 Anna Silver,8
7158,6397,P.S. 034 Franklin D. Roosevelt,21
30887,28609,P.S. 015 Roberto Clemente,47
32686,28755,P.S. 015 Roberto Clemente,84
4796,4244,The STAR Academy - P.S.63,20
7468,6898,P.S. 019 Asher Levy,10
2830,2363,P.S. 015 Roberto Clemente,10
7972,7296,P.S. 019 Asher Levy,13
5012,4277,P.S. 015 Roberto Clemente,17
5448,5163,P.S. 015 Roberto Clemente,8
4274,4014,P.S. 015 Roberto Clemente,7
7228,6645,P.S. 019 Asher Levy,13
3304,3111,P.S. 015 Roberto Clemente,7
4512,3815,P.S. 015 Roberto Clemente,14
3091,2803,P.S. 015 Roberto Clemente,15
4247,3981,P.S. 015 Roberto Clemente,5
7449,s,P.S. 020 Anna Silver,s
4163,3655,P.S. 034 Franklin D. Roosevelt,17
6330,5844,The STAR Academy - P.S.63,9
2026,1766,P.S. 034 Franklin D. Roosevelt,10
4099,3846,P.S. 015 Roberto Clemente,5
10575,9827,P.S. 034 Franklin D. Roosevelt,15
21101,19601,P.S. 015 Roberto Clemente,58
4952,4534,P.S. 019 Asher Levy,15
1726,1519,P.S. 034 Franklin D. Roosevelt,9
7601,7125,P.S. 019 Asher Levy,8
59315,53236,P.S. 034 Franklin D. Roosevelt,155
4957,4622,P.S. 015 Roberto Clemente,7
2230,2042,P.S. 019 Asher Levy,3
10680,9652,P.S. 034 Franklin D. Roosevelt,17
4426,3772,P.S. 034 Franklin D. Roosevelt,13
7596,6924,P.S. 034 Franklin D. Roosevelt,15
16337,15427,P.S. 020 Anna Silver,23
7254,6465,P.S. 034 Franklin D. Roosevelt,22
9028,8164,P.S. 020 Anna Silver,18
338,s,P.S. 020 Anna Silver,s
3140,2930,P.S. 019 Asher Levy,5
5063,4499,P.S. 034 Franklin D. Roosevelt,17
3918,3381,P.S. 034 Franklin D. Roosevelt,15
61477,55876,P.S. 034 Franklin D. Roosevelt,121
6881,6065,P.S. 034 Franklin D. Roosevelt,20
7476,6544,P.S. 034 Franklin D. Roosevelt,19
6462,6017,The STAR Academy - P.S.63,11
3111,2985,P.S. 015 Roberto Clemente,1
46335,42341,P.S. 019 Asher Levy,97
4941,4430,P.S. 034 Franklin D. Roosevelt,17
4718,4134,P.S. 020 Anna Silver,25
3595,3280,P.S. 034 Franklin D. Roosevelt,6
8241,7492,P.S. 019 Asher Levy,19
4507,4242,P.S. 015 Roberto Clemente,4
5166,4793,P.S. 015 Roberto Clemente,10
54863,48554,P.S. 034 Franklin D. Roosevelt,158
10336,9674,P.S. 020 Anna Silver,29
2084,1677,P.S. 034 Franklin D. Roosevelt,9
4465,3760,P.S. 034 Franklin D. Roosevelt,15
2871,2653,P.S. 015 Roberto Clemente,9
2844,s,P.S. 015 Roberto Clemente,s
