days_present,grade,year,days_absent,contributing_10_total_days
2780,PK in K-12 Schools,2020-21,261,20
10748,5,2020-21,461,66
9689,2,2020-21,643,62
8137,3,2019-20,749,81
10856,5,2016-17,762,67
10903,1,2018-19,991,74
1581,PK in K-12 Schools,2019-20,321,17
34098,All Grades,2020-21,2599,222
2104,5,2019-20,105,20
4996,1,2020-21,497,33
7180,5,2018-19,583,47
5314,1,2018-19,543,35
25249,All Grades,2019-20,2242,250
2767,PK in K-12 Schools,2017-18,220,18
13821,4,2017-18,805,87
29536,All Grades,2019-20,4360,309
3805,1,2020-21,369,25
4566,0K,2016-17,383,31
37111,All Grades,2018-19,3731,251
4857,1,2017-18,421,30
3552,2,2017-18,466,26
2097,PK in K-12 Schools,2020-21,172,13
7587,2,2016-17,802,48
6481,PK in K-12 Schools,2018-19,1075,49
6211,1,2019-20,638,66
6885,5,2017-18,551,43
6901,7,2018-19,808,45
3824,PK in K-12 Schools,2016-17,451,27
2798,PK in K-12 Schools,2019-20,309,30
3624,3,2019-20,238,37
11743,5,2017-18,871,72
7562,2,2019-20,741,81
3329,4,2018-19,207,23
13040,1,2016-17,1090,88
5362,2,2017-18,271,33
5994,6,2016-17,514,42
13096,0K,2016-17,1334,90
42558,All Grades,2020-21,5516,286
6677,3,2018-19,620,42
s,9,2016-17,s,s
33655,All Grades,2017-18,2797,213
4678,4,2016-17,414,32
11189,0K,2017-18,1245,80
34158,All Grades,2020-21,2523,213
78859,All Grades,2018-19,6800,520
1724,PK in K-12 Schools,2019-20,198,18
5296,5,2017-18,514,39
4708,3,2019-20,433,46
5460,5,2016-17,524,34
7059,0K,2018-19,920,48
6995,4,2018-19,772,44
3330,PK in K-12 Schools,2016-17,571,24
6071,3,2020-21,579,38
5714,4,2017-18,655,38
3422,5,2020-21,512,23
s,6,2016-17,s,s
32666,All Grades,2016-17,2580,214
4873,4,2020-21,540,32
6435,7,2017-18,631,45
4509,2,2016-17,274,28
4265,2,2020-21,546,28
5708,PK in K-12 Schools,2020-21,436,39
6397,8,2018-19,761,44
28609,All Grades,2018-19,2278,192
28755,All Grades,2020-21,3931,199
4244,0K,2019-20,552,46
6898,4,2017-18,570,43
2363,PK in K-12 Schools,2020-21,467,18
7296,2,2018-19,676,49
4277,1,2020-21,735,32
5163,3,2016-17,285,34
4014,2,2019-20,260,42
6645,3,2016-17,583,42
3111,4,2019-20,193,32
3815,2,2020-21,697,27
2803,0K,2019-20,288,30
3981,4,2016-17,266,26
s,PK in K-12 Schools,2016-17,s,s
3655,1,2016-17,508,29
5844,2,2017-18,486,37
1766,3,2019-20,260,19
3846,3,2017-18,253,25
9827,7,2016-17,748,62
19601,All Grades,2019-20,1500,204
4534,5,2019-20,418,45
1519,2,2019-20,207,16
7125,4,2020-21,476,44
53236,All Grades,2017-18,6079,374
4622,5,2020-21,335,29
2042,PK in K-12 Schools,2017-18,188,14
9652,8,2016-17,1028,61
3772,1,2020-21,654,26
6924,4,2018-19,672,44
15427,4,2018-19,910,94
6465,6,2018-19,789,45
8164,1,2020-21,864,53
s,6,2016-17,s,s
2930,1,2019-20,210,29
4499,6,2019-20,564,46
3381,3,2018-19,537,24
55876,All Grades,2016-17,5601,374
6065,5,2018-19,816,41
6544,7,2020-21,932,44
6017,1,2016-17,445,40
2985,5,2016-17,126,18
42341,All Grades,2017-18,3994,276
4430,5,2019-20,511,43
4134,PK in K-12 Schools,2019-20,584,46
3280,0K,2016-17,315,21
7492,3,2017-18,749,48
4242,5,2017-18,265,27
4793,5,2018-19,373,30
48554,All Grades,2018-19,6309,329
9674,5,2019-20,662,96
1677,PK in K-12 Schools,2020-21,407,14
3760,0K,2018-19,705,25
2653,1,2019-20,218,28
s,PK in K-12 Schools,2016-17,s,s
2767,4,2020-21,208,17
4979,3,2018-19,299,33
5005,3,2016-17,518,35
81318,All Grades,2017-18,6689,533
12401,2,2018-19,1099,83
6976,2,2017-18,607,46
4339,2,2020-21,211,26
2590,PK in K-12 Schools,2018-19,400,19
4120,2,2016-17,343,29
1653,PK in K-12 Schools,2018-19,202,11
4938,PK in K-12 Schools,2017-18,923,40
2483,1,2019-20,498,26
4729,0K,2018-19,476,31
15390,2,2016-17,843,96
65656,All Grades,2020-21,5482,425
3475,0K,2017-18,758,28
3742,0K,2020-21,277,23
48932,All Grades,2019-20,4762,509
6935,1,2018-19,695,47
6273,0K,2019-20,901,68
6933,8,2020-21,802,47
2922,1,2017-18,240,20
6941,4,2019-20,487,71
42898,All Grades,2016-17,4484,281
15589,3,2016-17,1190,104
4071,2,2019-20,437,41
4609,0K,2017-18,359,28
5941,0K,2016-17,587,40
2214,0K,2019-20,340,24
3188,1,2018-19,481,22
3919,0K,2020-21,766,29
5164,4,2017-18,355,32
1292,PK in K-12 Schools,2019-20,198,15
13498,1,2017-18,1205,88
4559,4,2019-20,286,43
40744,All Grades,2018-19,3979,265
28607,All Grades,2016-17,1994,196
3887,PK in K-12 Schools,2018-19,488,28
2947,0K,2020-21,418,20
5740,0K,2016-17,618,38
7105,1,2016-17,749,48
5605,5,2016-17,605,36
s,PK in K-12 Schools,2016-17,s,s
5491,0K,2017-18,645,37
14750,3,2017-18,868,91
3554,1,2019-20,385,35
11875,4,2020-21,1103,75
6974,5,2020-21,389,43
2723,0K,2019-20,260,28
12614,4,2016-17,945,81
7690,3,2017-18,738,52
6512,0K,2017-18,762,43
4213,7,2019-20,482,43
4862,8,2019-20,725,51
87538,All Grades,2016-17,6998,574
9821,0K,2018-19,1168,70
8857,0K,2020-21,1009,63
4096,PK in K-12 Schools,2017-18,470,27
11379,2,2017-18,772,75
4886,3,2020-21,391,32
2883,2,2018-19,340,20
31186,All Grades,2017-18,2078,196
12838,5,2018-19,804,80
5066,1,2016-17,304,35
1969,4,2019-20,452,24
7658,6,2020-21,791,50
3208,0K,2018-19,283,22
10615,3,2020-21,966,67
6214,1,2018-19,650,41
1859,PK in K-12 Schools,2018-19,245,15
6032,0K,2020-21,567,38
9691,8,2017-18,936,64
5127,2,2018-19,328,34
10988,3,2018-19,753,70
7031,4,2016-17,637,47
6557,1,2017-18,684,45
2573,3,2020-21,246,17
5196,1,2017-18,355,33
6171,2,2016-17,529,41
2239,PK in K-12 Schools,2017-18,489,18
6222,6,2017-18,652,44
24137,All Grades,2019-20,2494,246
