total_days,attendance,chronically_absent_1,dbn,category
3041,91.4,35.0,01M063,All Students
11209,95.9,7.6,01M020,All Students
10332,93.8,17.7,01M020,All Students
8886,91.6,32.1,01M020,All Students
11618,93.4,23.9,01M020,All Students
11894,91.7,31.1,01M020,All Students
1902,83.1,64.7,01M034,All Students
36697,92.9,25.7,01M063,All Students
2209,95.2,10.0,01M015,All Students
5493,91.0,36.4,01M063,All Students
7763,92.5,27.7,01M019,All Students
5857,90.7,28.6,01M015,All Students
27491,91.8,28.8,01M019,All Students
2987,92.6,22.2,01M015,All Students
14626,94.5,25.3,01M020,All Students
33896,87.1,47.2,01M034,All Students
4174,91.2,40.0,01M019,All Students
4949,92.3,32.3,01M015,All Students
40842,90.9,33.1,01M063,All Students
5278,92.0,36.7,01M063,All Students
4018,88.4,57.7,01M034,All Students
2269,92.4,46.2,01M019,All Students
8389,90.4,27.1,01M019,All Students
7556,85.8,51.0,01M020,All Students
6849,90.7,37.9,01M020,All Students
7436,92.6,27.9,01M019,All Students
7709,89.5,37.8,01M034,All Students
4275,89.5,48.1,01M063,All Students
3107,90.1,40.0,01M063,All Students
3862,93.8,21.6,01M015,All Students
12614,93.1,23.6,01M020,All Students
8303,91.1,40.7,01M020,All Students
3536,94.1,21.7,01M015,All Students
14130,92.3,26.1,01M020,All Students
5633,95.2,9.1,01M015,All Students
6508,92.1,31.0,01M034,All Students
14430,90.8,34.4,01M020,All Students
48074,88.5,40.6,01M034,All Students
7297,91.5,33.3,01M019,All Students
28,s,s,01M034,All Students
36452,92.3,29.1,01M063,All Students
5092,91.9,25.0,01M034,All Students
12434,90.0,42.5,01M020,All Students
36681,93.1,23.5,01M019,All Students
85659,92.1,31.7,01M020,All Students
1922,89.7,50.0,01M019,All Students
5810,91.2,41.0,01M034,All Students
5141,91.6,30.4,01M019,All Students
5984,91.2,32.4,01M019,All Students
7979,88.5,43.8,01M063,All Students
7767,90.1,47.7,01M019,All Students
3901,85.4,45.8,01M019,All Students
6650,91.3,26.3,01M019,All Students
6369,89.7,36.8,01M034,All Students
3934,87.0,47.8,01M034,All Students
169,s,s,01M015,All Students
35246,92.7,28.0,01M063,All Students
5413,90.0,40.6,01M015,All Students
7066,91.1,33.3,01M034,All Students
4783,94.3,10.7,01M063,All Students
4811,88.7,32.1,01M034,All Students
6144,92.9,20.5,01M020,All Students
7158,89.4,47.7,01M034,All Students
30887,92.6,24.5,01M015,All Students
32686,88.0,42.2,01M015,All Students
